"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Bible","Dplus KIA Challengers","Support",9,"67%","33%",4,31,89,3,"68.4%","2.9%","29.5%","33%",122,84,0.2,1.1,"2.3%",133,"6.9%","5.6%",105,"8.6%",0,1.8,0.62,0.34
"Blessing","Nongshim Esports Academy","Support",14,"50%","79%",12,52,103,2.2,"65.3%","6.8%","27.1%","29%",-129,-108,-1.5,1.1,"2.6%",139,"7.6%","7.1%",96,"8.5%",0,1.6,0.57,0.29
"Bonnie","KT Rolster Challengers","Jungle",9,"56%","33%",33,23,41,3.2,"54.4%","24.3%","20.4%","33%",186,163,-0.1,5.3,"15.0%",215,"10.9%","10.3%",201,"17.5%",0,0.32,0.44,0.45
"Bull","Kwangdong Freecs Challengers","ADC",4,"25%","50%",11,11,11,2,"59.5%","29.7%","18.0%","0%",11,37,7.8,9.1,"28.8%",439,"27.0%","27.7%",285,"25.1%",0,0.47,0.19,0.29
"BuLLDoG","Kwangdong Freecs Challengers","Middle",4,"25%","100%",11,11,14,2.3,"67.6%","29.7%","18.0%","0%",-258,-228,-2.5,9.1,"25.9%",388,"24.3%","26.4%",265,"24.4%",0,0.42,0.24,0.34
"Castle","KT Rolster Challengers","Top",9,"56%","67%",18,25,56,3,"54.4%","13.2%","22.1%","11%",-214,120,-5.8,7.4,"20.2%",410,"22.1%","20.3%",225,"19.5%",0,0.46,0.32,0.23
"Citrus","Kwangdong Freecs Challengers","Jungle",4,"25%","25%",6,16,22,1.8,"75.7%","16.2%","26.2%","0%",-123,-87,7,5.6,"16.3%",262,"16.5%","18.0%",182,"17.1%",1,0.51,0.38,0.22
"Clear","DRX Challengers","Top",5,"40%","60%",4,17,17,1.2,"38.9%","7.4%","25.4%","0%",-203,-30,0.2,7.6,"23.1%",291,"20.5%","19.7%",208,"20.1%",0,0.3,0.18,0.21
"DnDn","Nongshim Esports Academy","Top",14,"50%","36%",34,30,55,3,"50.6%","19.3%","15.6%","29%",12,8,-3.9,7.8,"23.1%",373,"20.6%","17.6%",230,"20.4%",0,0.4,0.22,0.13
"FIESTA","Nongshim Esports Academy","Middle",14,"50%","64%",37,38,89,3.3,"71.6%","21.0%","19.8%","7%",-93,-11,0.1,8.6,"25.8%",552,"30.1%","30.1%",277,"24.5%",0,0.52,0.22,0.25
"Forest","T1 Esports Academy","Jungle",5,"40%","60%",17,21,36,2.5,"67.9%","21.8%","26.6%","40%",22,213,6.4,5.6,"14.5%",391,"17.8%","18.4%",220,"18.6%",0,0.39,0.3,0.48
"IlllIma","Kwangdong Freecs Challengers","Top",4,"25%","50%",6,12,8,1.2,"37.8%","16.2%","19.7%","0%",214,-150,7.3,8.3,"26.0%",349,"23.6%","20.4%",253,"24.0%",0,0.32,0.16,0.15
"Jun","DRX Challengers","Support",5,"40%","40%",2,15,41,2.9,"79.6%","3.7%","22.4%","40%",36,82,3,1.6,"4.1%",84,"5.3%","4.9%",107,"9.9%",0,2.44,0.45,0.72
"kabbie","T1 Esports Academy","Support",5,"40%","0%",6,15,36,2.8,"53.8%","7.7%","19.0%","40%",246,158,0.8,1.1,"1.8%",180,"8.0%","6.6%",101,"8.5%",0,1.84,0.67,0.27
"Lucid","Dplus KIA Challengers","Jungle",9,"67%","89%",27,20,76,5.2,"75.7%","19.9%","19.0%","22%",-231,-215,-5.3,5.2,"14.3%",276,"14.5%","14.6%",220,"18.1%",0,0.48,0.46,0.43
"Mask","KT Rolster Challengers","Middle",9,"56%","33%",31,14,53,6,"61.8%","22.8%","12.4%","33%",98,36,1.6,9.2,"27.9%",520,"28.8%","30.2%",296,"25.6%",0,0.63,0.13,0.4
"Minit","Kwangdong Freecs Challengers","Support",2,"50%","0%",2,5,19,4.2,"75.0%","7.1%","15.2%","0%",69,-30,1,1.3,"2.9%",134,"7.6%","6.8%",130,"10.6%",0,1.73,0.46,0.52
"Moham","Kwangdong Freecs Challengers","Support",2,"0%","0%",1,6,3,0.7,"44.4%","11.1%","21.4%","0%",-107,-45,-3,1,"3.1%",129,"9.4%","8.2%",78,"8.3%",0,1.37,0.51,0.39
"Noah","KT Rolster Challengers","ADC",9,"56%","56%",44,17,54,5.8,"72.1%","32.4%","15.0%","33%",-159,53,-2.8,9.9,"35.1%",593,"31.4%","33.7%",328,"28.1%",0,0.44,0.21,0.33
"Peach","DRX Challengers","Jungle",5,"40%","40%",12,15,28,2.7,"74.1%","22.2%","22.4%","40%",-226,294,7.4,6.4,"17.9%",219,"13.9%","14.4%",214,"19.8%",0,0.32,0.22,0.37
"Photon","T1 Esports Academy","Top",5,"40%","60%",21,15,22,2.9,"55.1%","26.9%","19.0%","0%",92,-70,5.2,8.7,"26.2%",503,"22.8%","20.6%",302,"25.7%",0,0.3,0.15,0.19
"Pleata","DRX Challengers","ADC",5,"40%","60%",19,9,23,4.7,"77.8%","35.2%","13.4%","40%",-323,-73,-11.8,8.8,"30.5%",419,"27.1%","29.1%",283,"26.1%",0,0.48,0.18,0.25
"Pullbae","Dplus KIA Challengers","Middle",9,"67%","44%",29,21,63,4.4,"67.6%","21.3%","20.0%","0%",54,124,-1.7,8.5,"25.1%",493,"24.5%","25.2%",277,"22.8%",0,0.32,0.17,0.29
"Rahel","Dplus KIA Challengers","ADC",9,"67%","33%",50,19,50,5.3,"73.5%","36.8%","18.1%","33%",275,14,3,9.7,"31.8%",567,"29.0%","31.0%",332,"26.7%",0,0.39,0.17,0.38
"Reble","KT Rolster Challengers","Support",3,"33%","67%",2,12,26,2.3,"66.7%","4.8%","28.6%","67%",-137,62,2.3,1.1,"2.3%",117,"5.9%","5.1%",95,"8.7%",0,1.84,0.6,0.4
"SeTab","DRX Challengers","Middle",5,"40%","20%",17,11,23,3.6,"74.1%","31.5%","16.4%","60%",1,-26,-0.2,8.2,"24.5%",505,"33.2%","31.8%",252,"24.0%",0,0.32,0.21,0.26
"Sylvie","Nongshim Esports Academy","Jungle",14,"50%","43%",39,37,73,3,"63.6%","22.2%","19.3%","36%",137,-123,-3.4,5.4,"13.7%",262,"14.1%","13.9%",203,"18.2%",1,0.38,0.46,0.32
"Thanatos","Dplus KIA Challengers","Top",9,"67%","44%",26,14,63,6.4,"65.4%","19.1%","13.3%","0%",162,-10,5.6,9.1,"26.4%",486,"25.1%","23.5%",297,"23.8%",0,0.32,0.17,0.36
"TolanD","T1 Esports Academy","Middle",5,"40%","40%",20,12,35,4.6,"70.5%","25.6%","15.2%","40%",192,-51,2.2,8.2,"24.4%",587,"26.4%","28.0%",265,"22.3%",1,0.48,0.2,0.31
"Trigger","T1 Esports Academy","ADC",5,"40%","80%",14,16,33,2.9,"60.3%","17.9%","20.3%","40%",287,149,4.6,9.3,"33.2%",551,"25.1%","26.3%",295,"24.9%",0,0.37,0.1,0.43
"vital","Nongshim Esports Academy","ADC",14,"50%","43%",54,35,64,3.4,"67.0%","30.7%","18.2%","29%",-64,-81,0.2,10.1,"34.9%",492,"27.6%","31.4%",324,"28.3%",0,0.44,0.15,0.43
"Way","KT Rolster Challengers","Support",6,"67%","83%",8,22,60,3.1,"72.3%","8.5%","31.0%","67%",-35,-80,-0.5,0.8,"1.5%",131,"7.2%","5.6%",114,"9.5%",0,1.58,0.56,0.19
