"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"BeryL","DRX","Support",5,"40%","80%",3,21,33,1.7,"66.7%","5.6%","27.6%","20%",-28,-126,-3,1.2,"3.7%",114,"5.7%","4.9%",96,"9.0%",0,1.75,0.58,0.56
"Burdol","Dplus KIA","Top",5,"80%","80%",18,13,28,3.5,"56.1%","22.0%","26.5%","20%",-103,101,-3.2,7.6,"23.1%",446,"23.4%","19.1%",264,"21.1%",1,0.33,0.23,0.22
"Canyon","Dplus KIA","Jungle",8,"63%","25%",29,20,46,3.8,"63.0%","24.4%","22.0%","38%",163,146,3.6,5.8,"16.9%",282,"14.7%","15.0%",224,"19.1%",1,0.52,0.37,0.33
"Chovy","Gen.G","Middle",9,"44%","89%",37,17,36,4.3,"64.0%","32.5%","13.8%","11%",306,282,9.3,9.6,"29.2%",448,"24.7%","25.6%",301,"27.3%",0,0.67,0.09,0.49
"Deft","DRX","ADC",5,"40%","20%",15,14,24,2.8,"72.2%","27.8%","18.4%","20%",-92,-62,-0.4,9.2,"33.7%",720,"35.5%","37.6%",285,"26.9%",0,0.52,0.19,0.28
"Delight","BRION","Support",3,"0%","33%",2,13,15,1.3,"85.0%","10.0%","20.3%","67%",-281,45,-9,0.9,"2.6%",92,"6.7%","6.1%",83,"8.9%",0,2.07,0.69,0.45
"deokdam","Dplus KIA","ADC",8,"63%","75%",31,14,43,5.3,"62.2%","26.1%","15.4%","25%",-92,7,-5.3,9.5,"33.6%",567,"30.1%","33.4%",309,"26.0%",0,0.42,0.17,0.22
"Doran","Gen.G","Top",9,"44%","56%",20,43,46,1.5,"57.9%","17.5%","35.0%","0%",-271,-235,-7.7,6.7,"19.4%",400,"21.9%","19.5%",214,"19.1%",0,0.38,0.18,0.19
"Ellim","Kwangdong Freecs","Jungle",8,"38%","63%",13,23,42,2.4,"58.5%","13.8%","21.7%","38%",-457,-416,-8.9,4.3,"11.0%",174,"10.4%","10.3%",147,"14.9%",0,0.55,0.45,0.36
"Faker","T1","Middle",7,"86%","29%",18,8,48,8.3,"55.0%","15.0%","12.9%","29%",-10,-70,-2.9,8.6,"23.5%",439,"21.1%","20.9%",270,"21.0%",1,0.6,0.24,0.29
