"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",5,"40%","0%",19,10,15,3.4,"64.2%","35.8%","15.4%","0%",-530,-315,-0.4,9.7,"33.3%",476,"26.0%","28.5%",308,"28.9%",0,0.42,0.14,0.63
"BeryL","DRX","Support",4,"25%","25%",0,14,37,2.6,"82.2%","0.0%","25.5%","50%",76,368,-0.5,0.9,"2.9%",176,"7.5%","6.8%",91,"8.5%",0,1.98,0.56,0.48
"Burdol","Dplus KIA","Top",9,"44%","22%",13,29,36,1.7,"48.0%","12.7%","27.9%","22%",-98,-14,-2.2,7.9,"25.2%",398,"20.2%","18.7%",232,"21.7%",0,0.38,0.26,0.21
"Canyon","Dplus KIA","Jungle",10,"50%","60%",18,19,69,4.6,"74.4%","15.4%","17.0%","40%",-108,-51,-0.9,4.9,"14.4%",274,"13.9%","13.5%",175,"16.6%",2,0.52,0.41,0.38
"Chovy","Gen.G","Middle",7,"86%","29%",28,6,62,15,"73.2%","22.8%","9.5%","29%",202,152,4.7,9.7,"28.0%",747,"30.5%","31.9%",330,"24.7%",0,0.39,0.15,0.42
"Clozer","Liiv SANDBOX","Middle",8,"50%","38%",21,17,50,4.2,"68.3%","20.2%","14.0%","0%",-58,-101,-4.1,8.9,"29.8%",565,"25.5%","26.0%",272,"24.7%",0,0.27,0.14,0.23
"Croco","Liiv SANDBOX","Jungle",8,"50%","63%",22,29,59,2.8,"77.9%","21.2%","24.0%","63%",103,54,3.3,4.8,"12.4%",312,"15.2%","15.2%",185,"17.2%",1,0.33,0.22,0.45
"Cuzz","KT Rolster","Jungle",5,"40%","40%",9,14,28,2.6,"69.8%","17.0%","21.5%","20%",199,223,7.8,4.9,"13.2%",279,"15.1%","15.2%",182,"17.1%",1,0.32,0.3,0.52
"Deft","DRX","ADC",4,"25%","50%",15,9,20,3.9,"77.8%","33.3%","16.4%","25%",-118,-60,-1.5,9.1,"32.2%",740,"31.2%","32.3%",289,"27.5%",0,0.45,0.15,0.46
"deokdam","Dplus KIA","ADC",10,"50%","100%",48,19,44,4.8,"78.6%","41.0%","17.0%","0%",175,193,-1.9,9.2,"32.9%",532,"27.4%","28.5%",322,"29.2%",0,0.49,0.13,0.28
"Doran","Gen.G","Top",7,"86%","71%",21,16,56,4.8,"62.6%","17.1%","25.4%","0%",252,305,6.6,8.2,"22.3%",494,"20.2%","17.1%",276,"20.7%",0,0.39,0.27,0.19
"Dove","Liiv SANDBOX","Top",8,"50%","13%",8,30,57,2.2,"62.5%","7.7%","24.8%","0%",-200,-305,-9.4,6.2,"18.2%",415,"20.0%","17.4%",186,"17.5%",0,0.36,0.2,0.18
"Faker","T1","Middle",8,"38%","50%",13,22,35,2.2,"67.6%","18.3%","22.2%","25%",-216,-109,-2.3,8.2,"24.1%",386,"22.1%","22.3%",240,"22.9%",0,0.34,0.18,0.32
"Gumayusi","T1","ADC",8,"38%","13%",25,16,26,3.2,"71.8%","35.2%","16.2%","50%",28,-69,6,10.7,"37.8%",516,"30.0%","34.9%",321,"30.1%",0,0.7,0.2,0.62
"Kael","Liiv SANDBOX","Support",8,"50%","75%",4,29,67,2.4,"68.3%","3.8%","24.0%","63%",-104,-245,4.1,0.9,"2.3%",161,"7.4%","6.4%",94,"8.6%",0,1.69,0.57,0.31
"Kellin","Dplus KIA","Support",10,"50%","20%",6,18,90,5.3,"82.1%","5.1%","16.1%","0%",161,-38,-0.2,0.7,"2.3%",224,"11.6%","10.8%",101,"9.4%",0,1.89,0.46,0.4
"Keria","T1","Support",8,"38%","63%",2,18,45,2.6,"66.2%","2.8%","18.2%","63%",-161,0,-1.9,0.7,"1.7%",161,"9.5%","7.8%",85,"8.0%",1,1.6,0.49,0.2
"Kingen","DRX","Top",4,"25%","100%",11,8,16,3.4,"60.0%","24.4%","14.5%","0%",230,348,17.5,8,"24.7%",491,"22.0%","20.7%",256,"24.1%",0,0.35,0.23,0.28
"Lehends","Gen.G","Support",7,"86%","29%",9,14,90,7.1,"80.5%","7.3%","22.2%","0%",100,264,-1.9,0.8,"1.8%",256,"10.0%","9.8%",123,"9.3%",1,1.55,0.45,0.24
"Life","KT Rolster","Support",5,"40%","100%",3,13,37,3.1,"75.5%","5.7%","20.0%","0%",-98,-195,-0.2,0.5,"1.6%",141,"7.8%","6.7%",86,"8.2%",0,1.82,0.37,0.25
"Nuguri","Dplus KIA","Top",1,"100%","0%",3,4,7,2.5,"66.7%","20.0%","50.0%","0%",1302,611,12,8.6,"28.1%",413,"20.9%","15.4%",295,"22.4%",0,0.29,0.21,0.29
"Oner","T1","Jungle",8,"38%","38%",16,19,38,2.8,"76.1%","22.5%","19.2%","75%",23,-153,-4.5,5.1,"13.7%",243,"13.7%","13.6%",184,"17.5%",2,0.33,0.24,0.47
"Peanut","Gen.G","Jungle",7,"86%","57%",17,15,74,6.1,"74.0%","13.8%","23.8%","29%",-166,23,-2.9,5.5,"13.8%",304,"12.2%","12.1%",216,"16.1%",0,0.35,0.29,0.43
"Prince","Liiv SANDBOX","ADC",8,"50%","63%",49,16,36,5.3,"81.7%","47.1%","13.2%","63%",84,320,-1.3,10.3,"37.3%",689,"31.9%","35.1%",356,"31.9%",0,0.87,0.17,0.47
"Pyosik","DRX","Jungle",4,"25%","25%",10,15,25,2.3,"77.8%","22.2%","27.3%","50%",60,7,0,5,"14.6%",340,"13.6%","13.6%",173,"16.7%",0,0.59,0.48,0.41
"Rascal","KT Rolster","Top",5,"40%","80%",7,12,27,2.8,"64.2%","13.2%","18.5%","0%",137,-56,1.8,7.2,"20.7%",420,"22.9%","20.0%",217,"20.4%",0,0.37,0.21,0.33
"Ruler","Gen.G","ADC",7,"86%","43%",48,12,40,7.3,"71.5%","39.0%","19.0%","0%",68,-304,-1.6,10.6,"34.1%",694,"27.1%","29.1%",400,"29.2%",0,1.04,0.25,0.58
"ShowMaker","Dplus KIA","Middle",10,"50%","70%",29,23,56,3.7,"72.6%","24.8%","20.5%","20%",-6,-1,-0.6,8.1,"24.9%",546,"26.9%","28.8%",248,"23.0%",0,0.62,0.29,0.32
"VicLa","KT Rolster","Middle",5,"40%","40%",15,16,24,2.4,"73.6%","28.3%","24.6%","20%",93,127,3.8,9.3,"31.2%",521,"28.2%","29.5%",269,"25.3%",0,0.5,0.33,0.27
"Zeka","DRX","Middle",4,"25%","75%",9,9,24,3.7,"73.3%","20.0%","16.4%","25%",93,-4,1.3,8.2,"25.6%",561,"25.7%","26.6%",236,"23.1%",0,0.4,0.23,0.38
"Zeus","T1","Top",8,"38%","63%",15,24,31,1.9,"64.8%","21.1%","24.2%","25%",-273,-162,-5.3,7.6,"22.7%",427,"24.7%","21.5%",227,"21.5%",0,0.34,0.18,0.28
