"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",3,"33%","33%",14,3,15,9.7,"80.6%","38.9%","9.7%","0%",451,100,29.3,11.3,"39.5%",776,"42.1%",,361,"33.4%",,0.74,0.15,0.86
"Bdd","Gen.G","Middle",3,"0%","67%",2,5,8,2,"55.6%","11.1%","11.1%","0%",-476,-281,-11.3,8.8,"25.8%",306,"19.9%",,216,"23.7%",,0.59,0.31,0.22
"BeryL","Dplus KIA","Support",8,"50%","38%",1,30,36,1.2,"52.1%","1.4%","26.3%","25%",23,1,12.6,2.1,"6.3%",141,"7.5%",,99,"9.6%",,1.76,0.52,0.57
"bonO","KT Rolster","Jungle",3,"33%","33%",9,5,18,5.4,"75.0%","25.0%","16.1%","0%",105,91,-0.3,5,"15.0%",234,"13.3%",,190,"17.6%",,0.69,0.38,0.51
"Canna","T1","Top",7,"86%","71%",25,13,44,5.3,"69.7%","25.3%","32.5%","43%",231,152,-2,8.3,"23.6%",428,"22.6%",,282,"23.3%",,0.53,0.24,0.16
"Canyon","Dplus KIA","Jungle",8,"50%","63%",14,27,33,1.7,"66.2%","19.7%","23.7%","50%",-214,-162,0,5,"13.5%",207,"10.5%",,174,"16.4%",,0.59,0.46,0.49
"Chovy","DRX","Middle",9,"44%","67%",33,15,23,3.7,"56.0%","33.0%","16.0%","0%",209,283,8.8,9.6,"27.1%",493,"24.1%",,293,"26.0%",,0.55,0.18,0.42
"Clid","Gen.G","Jungle",3,"0%","67%",5,10,6,1.1,"61.1%","27.8%","22.2%","0%",-571,-698,-11.7,4.7,"13.5%",126,"8.4%",,145,"16.6%",,0.77,0.45,0.7
"Cuzz","T1","Jungle",7,"86%","29%",18,4,49,16.8,"67.7%","18.2%","10.0%","43%",329,410,8.3,6.1,"16.2%",288,"14.8%",,216,"17.5%",,0.71,0.4,0.59
"Deft","DRX","ADC",9,"44%","33%",29,15,35,4.3,"64.0%","29.0%","16.0%","33%",403,393,23.7,10.2,"30.5%",749,"37.3%",,302,"26.8%",,0.46,0.18,0.43
"Doran","DRX","Top",9,"44%","67%",16,25,42,2.3,"58.0%","16.0%","26.6%","22%",-284,-97,-2.7,8.6,"24.2%",407,"20.6%",,252,"22.2%",,0.52,0.2,0.22
"Effort","T1","Support",7,"86%","57%",4,8,66,8.8,"70.7%","4.0%","20.0%","14%",290,132,16.7,2.7,"6.9%",170,"10.1%",,139,"11.6%",,1.63,0.56,0.41
"Faker","T1","Middle",7,"86%","43%",24,7,41,9.3,"65.7%","24.2%","17.5%","29%",204,53,1.4,9.7,"27.6%",489,"26.1%",,314,"25.7%",,0.52,0.21,0.29
"Ghost","Dplus KIA","ADC",8,"50%","88%",17,15,28,3,"63.4%","23.9%","13.2%","13%",-404,-253,-17.3,8.5,"27.6%",479,"24.3%",,252,"23.7%",,0.63,0.22,0.38
"Keria","DRX","Support",9,"44%","33%",7,20,53,3,"60.0%","7.0%","21.3%","22%",-172,-48,-17.3,1,"2.8%",164,"8.1%",,99,"8.5%",,1.71,0.61,0.44
"Kuro","KT Rolster","Middle",3,"33%","33%",8,6,17,4.2,"69.4%","22.2%","19.4%","0%",18,-68,1,7.6,"21.8%",347,"21.7%",,226,"20.9%",,0.59,0.28,0.32
"Life","Gen.G","Support",3,"0%","67%",1,9,7,0.9,"44.4%","5.6%","20.0%","0%",-10,91,0,0.7,"1.5%",162,"11.2%",,63,"7.2%",,1.59,0.53,0.19
"Nuguri","Dplus KIA","Top",8,"50%","25%",17,25,32,2,"69.0%","23.9%","21.9%","38%",522,308,12.8,9.5,"29.9%",629,"32.7%",,291,"27.6%",,0.49,0.19,0.34
"Pyosik","DRX","Jungle",9,"44%","56%",15,19,48,3.3,"63.0%","15.0%","20.2%","33%",90,27,-2.4,5.6,"15.4%",196,"9.9%",,186,"16.5%",,0.92,0.37,0.66
"Rascal","Gen.G","Top",3,"0%","0%",3,14,9,0.9,"66.7%","16.7%","31.1%","33%",-48,-149,0,7.3,"23.3%",407,"26.4%",,198,"22.7%",,0.57,0.25,0.34
"Ruler","Gen.G","ADC",3,"0%","67%",7,7,4,1.6,"61.1%","38.9%","15.6%","0%",-266,-152,-2,10,"35.9%",511,"34.1%",,269,"29.8%",,0.44,0.18,0.45
"ShowMaker","Dplus KIA","Middle",8,"50%","38%",22,17,22,2.6,"62.0%","31.0%","14.9%","13%",-241,-233,-7.3,8.1,"22.6%",483,"25.0%",,241,"22.7%",,0.53,0.22,0.21
"SoHwan","KT Rolster","Top",3,"33%","67%",3,10,23,2.6,"72.2%","8.3%","32.3%","0%",-1030,-734,-21.3,6.8,"22.0%",257,"15.3%",,210,"19.4%",,0.58,0.24,0.18
"Teddy","T1","ADC",7,"86%","29%",28,8,39,8.4,"67.7%","28.3%","20.0%","0%",-137,-194,-22.4,7.6,"25.7%",532,"26.5%",,272,"21.9%",,0.72,0.22,0.67
"TusiN","KT Rolster","Support",3,"33%","100%",2,7,19,3,"58.3%","5.6%","22.6%","0%",-211,-258,-20.7,0.7,"1.8%",135,"7.5%",,93,"8.6%",,1.64,0.5,0.21
