"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Canna","T1","Top",5,"60%","0%",17,15,20,2.5,"54.4%","25.0%","25.0%","20%",484,343,12.6,7.9,"24.0%",538,"28.7%","25.6%",271,"23.7%",0,0.31,0.21,0.25
"Chovy","Hanwha Life Esports","Middle",12,"67%","67%",51,16,82,8.3,"71.9%","27.6%","14.2%","42%",373,173,7.7,10,"28.9%",583,"30.2%","31.2%",320,"27.1%",0,0.52,0.12,0.44
"Croco","Liiv SANDBOX","Jungle",4,"25%","25%",8,10,17,2.5,"89.3%","28.6%","14.9%","25%",102,151,0.3,5.2,"13.3%",268,"14.4%","16.1%",186,"18.6%",0,0.32,0.29,0.45
"Deft","Hanwha Life Esports","ADC",12,"67%","17%",46,22,78,5.6,"67.0%","24.9%","19.5%","50%",369,210,11,9,"27.3%",642,"32.6%","33.2%",289,"24.7%",0,0.66,0.19,0.26
"deokdam","Nongshim RedForce","ADC",3,"0%","67%",5,10,5,1,"58.8%","29.4%","17.2%","0%",-545,-132,-14.7,8.3,"29.1%",492,"27.1%","29.6%",234,"24.9%",0,0.38,0.13,0.26
"Effort","Liiv SANDBOX","Support",4,"25%","25%",0,18,13,0.7,"46.4%","0.0%","26.9%","0%",-155,-289,-4.3,1,"2.5%",75,"4.1%","4.1%",77,"7.5%",0,1.67,0.58,0.4
"Faker","T1","Middle",5,"60%","20%",15,9,24,4.3,"57.4%","22.1%","15.0%","0%",-434,-284,-10.6,8.7,"25.2%",469,"24.7%","24.4%",263,"23.0%",0,0.58,0.29,0.31
"FATE","Liiv SANDBOX","Middle",4,"25%","50%",9,6,13,3.7,"78.6%","32.1%","9.0%","25%",-308,58,-2.3,9.3,"31.7%",479,"26.7%","28.3%",277,"26.8%",0,0.39,0.17,0.27
"Gori","Nongshim RedForce","Middle",3,"0%","33%",5,11,6,1,"64.7%","29.4%","19.0%","0%",-358,-298,-10,8.5,"25.8%",371,"21.9%","23.5%",220,"23.7%",0,0.43,0.22,0.17
"Gumayusi","T1","ADC",5,"60%","100%",16,7,22,5.4,"55.9%","23.5%","11.7%","0%",-165,-94,-9.2,10.1,"34.7%",463,"24.7%","27.2%",304,"26.6%",1,0.5,0.23,0.35
"Kellin","Nongshim RedForce","Support",3,"0%","33%",1,15,11,0.8,"70.6%","5.9%","25.9%","0%",-174,-323,2,1,"2.4%",90,"5.3%","4.0%",69,"7.4%",0,1.84,0.6,0.39
"Keria","T1","Support",5,"60%","0%",1,17,36,2.2,"54.4%","1.5%","28.3%","0%",-14,-114,5.6,1.1,"2.2%",104,"5.5%","5.3%",91,"7.9%",0,1.91,0.71,0.39
"Morgan","Hanwha Life Esports","Top",12,"67%","67%",41,29,52,3.2,"50.3%","22.2%","25.7%","17%",-542,-319,-18.3,7.8,"25.0%",335,"17.1%","16.2%",249,"21.1%",0,0.42,0.31,0.26
"Oner","T1","Jungle",5,"60%","80%",19,12,22,3.4,"60.3%","27.9%","20.0%","40%",190,275,-0.4,5.3,"14.0%",309,"16.4%","17.6%",216,"18.8%",0,0.37,0.27,0.5
"Peanut","Nongshim RedForce","Jungle",3,"0%","33%",3,10,9,1.2,"70.6%","17.6%","17.2%","0%",36,7,2.7,5.7,"16.0%",255,"14.3%","17.1%",176,"19.0%",0,0.34,0.3,0.69
"Prince","Liiv SANDBOX","ADC",4,"25%","75%",7,14,11,1.3,"64.3%","25.0%","20.9%","0%",-491,-414,-10.5,8.5,"27.3%",398,"21.1%","22.4%",253,"24.6%",0,0.53,0.22,0.24
"Rich","Nongshim RedForce","Top",3,"0%","33%",3,12,6,0.8,"52.9%","17.6%","20.7%","0%",398,381,14,8.4,"26.7%",537,"31.4%","25.8%",237,"25.1%",0,0.39,0.19,0.24
"Summit","Liiv SANDBOX","Top",4,"25%","75%",4,19,10,0.7,"50.0%","14.3%","28.4%","0%",721,242,28.5,8.2,"25.2%",577,"33.7%","29.1%",227,"22.5%",0,0.33,0.17,0.3
"Vsta","Hanwha Life Esports","Support",12,"67%","83%",5,19,131,7.2,"73.5%","2.7%","16.8%","33%",101,225,-1.4,1.1,"2.7%",138,"7.1%","5.6%",106,"8.9%",1,1.59,0.56,0.44
"Willer","Hanwha Life Esports","Jungle",12,"67%","50%",42,27,77,4.4,"64.3%","22.7%","23.9%","33%",-122,-167,-0.6,5.8,"16.1%",255,"13.1%","13.7%",215,"18.2%",1,0.54,0.58,0.45
