"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Bdd","Gen.G","Middle",4,"25%","75%",11,14,17,2,"65.1%","25.6%","22.6%","50%",81,170,2.5,7.8,"22.3%",413,"25.6%","24.4%",235,"21.8%",0,0.57,0.29,0.25
"BeryL","Dplus KIA","Support",7,"86%","57%",4,18,82,4.8,"62.3%","2.9%","20.7%","14%",41,27,-2.1,1.3,"4.0%",161,"7.3%","6.5%",111,"9.2%",0,1.67,0.45,0.55
"Canna","T1","Top",11,"64%","64%",41,35,61,2.9,"62.2%","25.0%","25.2%","27%",237,138,7.4,7.7,"24.5%",503,"24.5%","21.3%",258,"22.6%",0,0.36,0.23,0.25
"Canyon","Dplus KIA","Jungle",7,"86%","86%",37,18,65,5.7,"73.9%","26.8%","20.7%","43%",241,165,-0.9,5.1,"15.5%",400,"17.3%","17.6%",235,"19.1%",2,0.5,0.37,0.3
"Clid","Gen.G","Jungle",4,"25%","25%",6,10,28,3.4,"79.1%","14.0%","16.1%","25%",-465,-611,-14.8,5.5,"16.7%",254,"15.3%","14.8%",186,"17.2%",0,0.57,0.45,0.53
"Croco","Liiv SANDBOX","Jungle",3,"0%","33%",2,10,10,1.2,"48.0%","8.0%","18.9%","0%",-508,-236,-0.3,5.4,"15.6%",229,"15.3%","15.8%",164,"16.3%",1,0.25,0.23,0.43
"deokdam","Nongshim RedForce","ADC",7,"43%","57%",25,21,49,3.5,"70.5%","23.8%","17.9%","29%",128,-27,0.4,8.6,"28.1%",502,"26.3%","28.1%",291,"25.5%",0,0.44,0.1,0.24
"Dread","Kwangdong Freecs","Jungle",4,"25%","100%",10,14,31,2.9,"82.0%","20.0%","20.9%","50%",-282,-337,-6.8,5.4,"15.1%",331,"18.5%","19.2%",191,"18.3%",0,0.38,0.35,0.37
"Effort","Liiv SANDBOX","Support",3,"0%","67%",1,12,13,1.2,"56.0%","4.0%","22.6%","0%",0,-307,1.7,1,"2.2%",94,"6.2%","5.3%",80,"7.9%",0,1.75,0.62,0.41
"Faker","T1","Middle",11,"64%","27%",36,31,59,3.1,"57.9%","22.0%","22.3%","9%",89,76,3.3,8.6,"26.5%",481,"22.9%","21.0%",271,"23.6%",0,0.61,0.28,0.26
"FATE","Liiv SANDBOX","Middle",3,"0%","67%",8,10,8,1.6,"64.0%","32.0%","18.9%","0%",-400,-323,-3,7.4,"20.5%",298,"20.0%","18.2%",227,"22.6%",0,0.39,0.3,0.25
"Fly","Kwangdong Freecs","Middle",4,"25%","0%",13,13,21,2.6,"68.0%","26.0%","19.4%","50%",-112,154,0.8,8.9,"29.0%",475,"26.2%","24.7%",268,"25.1%",0,0.38,0.2,0.17
"Ghost","Dplus KIA","ADC",7,"86%","14%",23,14,68,6.5,"65.9%","16.7%","16.1%","14%",38,192,-2.7,8.5,"28.7%",566,"25.5%","26.9%",277,"23.0%",1,0.73,0.21,0.23
"Gori","Nongshim RedForce","Middle",7,"43%","71%",30,18,36,3.7,"62.9%","28.6%","15.4%","14%",-193,-135,0.9,8.8,"27.7%",475,"24.3%","23.3%",282,"24.6%",0,0.34,0.19,0.25
"Gumayusi","T1","ADC",2,"50%","100%",7,3,5,4,"46.2%","26.9%","12.5%","0%",109,-284,3,8.4,"26.7%",607,"29.9%","40.4%",264,"24.7%",0,0.69,0.22,0.4
"Kellin","Nongshim RedForce","Support",7,"43%","57%",3,31,69,2.3,"68.6%","2.9%","26.5%","29%",129,-49,1.1,1.2,"2.3%",128,"6.7%","5.8%",101,"8.7%",0,1.92,0.63,0.43
"Keria","T1","Support",11,"64%","55%",5,31,98,3.3,"62.8%","3.0%","22.3%","9%",-69,41,1.7,1.1,"2.6%",128,"6.4%","5.9%",97,"8.5%",0,1.96,0.69,0.34
"Khan","Dplus KIA","Top",7,"86%","0%",40,20,49,4.5,"64.5%","29.0%","23.0%","57%",241,118,4.4,7.9,"25.7%",591,"26.7%","26.0%",307,"24.6%",0,0.42,0.21,0.28
"Kiin","Kwangdong Freecs","Top",4,"25%","100%",15,10,17,3.2,"64.0%","30.0%","14.9%","25%",331,267,14,8.7,"28.0%",531,"29.2%","28.8%",289,"26.8%",0,0.36,0.2,0.18
"Lehends","Kwangdong Freecs","Support",4,"25%","50%",5,16,24,1.8,"58.0%","10.0%","23.9%","0%",-299,23,-2,1.2,"3.4%",79,"4.4%","4.2%",95,"8.8%",0,1.51,0.53,0.35
"Leo","Kwangdong Freecs","ADC",4,"25%","50%",7,14,18,1.8,"50.0%","14.0%","20.9%","0%",-391,-254,2.3,7.9,"24.6%",388,"21.6%","23.1%",222,"21.0%",0,0.85,0.24,0.26
"Life","Gen.G","Support",4,"25%","0%",3,12,30,2.8,"76.7%","7.0%","19.4%","25%",191,132,-2.3,0.9,"1.9%",96,"6.0%","5.4%",95,"8.7%",0,2.26,0.64,0.34
"Oner","T1","Jungle",11,"64%","55%",40,25,65,4.2,"64.0%","24.4%","18.0%","27%",343,328,7.3,5.7,"16.4%",359,"18.1%","19.8%",218,"19.3%",0,0.31,0.27,0.58
"Peanut","Nongshim RedForce","Jungle",7,"43%","0%",20,22,58,3.5,"74.3%","19.0%","18.8%","29%",-136,-38,1.9,6.4,"19.8%",363,"17.8%","18.8%",234,"20.3%",0,0.38,0.27,0.45
"Prince","Liiv SANDBOX","ADC",3,"0%","33%",2,13,7,0.7,"36.0%","8.0%","24.5%","0%",-542,-15,-0.3,9.1,"30.0%",348,"22.8%","23.7%",239,"23.0%",0,0.73,0.2,0.6
"Rascal","Gen.G","Top",4,"25%","75%",9,15,16,1.7,"58.1%","20.9%","24.2%","75%",-375,-246,-20.5,7.8,"26.6%",372,"22.0%","21.0%",252,"23.0%",0,0.32,0.19,0.33
"Rich","Nongshim RedForce","Top",7,"43%","43%",27,25,46,2.9,"69.5%","25.7%","21.4%","0%",-564,-418,-13,7.1,"22.1%",496,"25.0%","24.0%",240,"20.9%",0,0.35,0.16,0.31
"Ruler","Gen.G","ADC",4,"25%","50%",14,11,13,2.5,"62.8%","32.6%","17.7%","25%",466,6,9.8,9.8,"32.5%",497,"31.0%","34.5%",318,"29.2%",0,0.42,0.19,0.59
"ShowMaker","Dplus KIA","Middle",7,"86%","71%",34,17,64,5.8,"71.0%","24.6%","19.5%","14%",243,-32,-6.6,7.8,"26.0%",503,"23.2%","23.0%",292,"24.0%",0,0.51,0.32,0.29
"Summit","Liiv SANDBOX","Top",3,"0%","33%",12,8,8,2.5,"80.0%","48.0%","15.1%","0%",-57,166,1.7,9.4,"31.8%",542,"35.6%","37.1%",305,"30.2%",0,0.32,0.18,0.34
"Teddy","T1","ADC",9,"67%","67%",35,14,54,6.4,"64.5%","25.4%","12.2%","11%",-6,50,-4.1,9.5,"30.9%",553,"27.8%","30.2%",304,"26.2%",0,0.59,0.27,0.38
