"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",13,"54%","46%",63,16,60,7.7,"73.7%","37.7%","11.9%","8%",1,34,-4.5,10.6,"35.5%",626,"31.2%","34.4%",363,"30.5%",0,0.42,0.09,0.39
"Bdd","KT Rolster","Middle",13,"54%","54%",47,26,72,4.6,"71.3%","28.1%","19.4%","31%",86,-181,-4.2,8.3,"23.3%",546,"26.6%","25.9%",263,"22.1%",0,0.49,0.18,0.23
"BeryL","DRX","Support",3,"0%","67%",3,19,22,1.3,"59.5%","7.1%","24.7%","0%",11,30,2.3,1.3,"3.1%",184,"7.5%","7.6%",96,"9.1%",0,1.81,0.52,0.52
"Canna","Dplus KIA","Top",4,"25%","100%",10,10,9,1.9,"57.6%","30.3%","25.0%","25%",-128,-122,-5.5,7.5,"21.7%",288,"16.3%","14.1%",222,"21.2%",0,0.38,0.24,0.17
"Canyon","Dplus KIA","Jungle",4,"25%","0%",5,7,18,3.3,"69.7%","15.2%","17.5%","50%",365,243,4.5,4.9,"12.5%",241,"14.1%","13.9%",163,"15.7%",1,0.42,0.39,0.42
"Chovy","Gen.G","Middle",11,"82%","73%",41,17,78,7,"70.8%","24.4%","19.1%","36%",153,6,2.3,8.7,"23.8%",527,"25.8%","25.7%",295,"23.2%",1,0.5,0.21,0.44
"Croco","DRX","Jungle",3,"0%","100%",13,18,21,1.9,"81.0%","31.0%","23.4%","33%",418,301,8.3,6,"18.4%",411,"16.7%","17.1%",230,"21.6%",1,0.35,0.39,0.37
"Cuzz","KT Rolster","Jungle",13,"54%","38%",26,30,99,4.2,"74.9%","15.6%","22.4%","38%",-65,-20,1.2,5.6,"14.9%",315,"15.8%","16.6%",208,"17.4%",6,0.52,0.33,0.55
"Deft","Dplus KIA","ADC",4,"25%","100%",8,11,14,2,"66.7%","24.2%","27.5%","25%",263,421,1.5,9.8,"31.6%",567,"31.1%","34.3%",279,"26.7%",0,0.6,0.17,0.25
"Delight","Gen.G","Support",11,"82%","36%",8,22,125,6,"79.2%","4.8%","24.7%","36%",-44,93,0.6,1.3,"2.9%",165,"8.2%","7.3%",128,"10.0%",0,1.62,0.42,0.44
"Doran","Gen.G","Top",11,"82%","45%",34,20,64,4.9,"58.3%","20.2%","22.5%","27%",80,51,1.6,8.5,"24.7%",464,"22.6%","20.8%",283,"22.2%",0,0.45,0.22,0.19
"Faker","T1","Middle",22,"50%","36%",48,60,110,2.6,"67.8%","20.6%","20.7%","14%",-130,21,-0.7,8.4,"24.4%",578,"27.7%","28.1%",254,"22.3%",0,0.43,0.18,0.24
