"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Armao","Team Liquid Academy","Jungle",36,"58%","64%",85,95,272,3.8,"66.9%","15.9%","18.4%","22%",15,79,0.6,5.7,"13.5%",272,"13.0%","13.6%",199,"16.9%",1,0.24,0.23,0.25
"Arrow","Immortals Academy","ADC",26,"50%","58%",116,58,150,4.6,"72.7%","31.7%","16.4%","35%",210,104,0.3,8.5,"27.8%",548,"27.7%","29.8%",290,"25.8%",0,0.46,0.18,0.29
"Bjergsen","Team Liquid Academy","Middle",4,"25%","75%",9,10,26,3.5,"74.5%","19.1%","11.6%","25%",-204,0,1,8.8,"26.4%",464,"24.1%","24.9%",271,"24.0%",0,0.32,0.14,0.17
"Bradley","Team Liquid Academy","Top",36,"58%","58%",120,115,143,2.3,"49.3%","22.5%","22.2%","14%",5,-67,3.3,8.2,"25.4%",520,"24.4%","23.0%",277,"22.9%",0,0.36,0.13,0.15
"Breezy","CLG Academy","Support",35,"66%","31%",32,82,316,4.2,"64.9%","6.0%","19.6%","34%",82,102,0.5,1,"2.4%",162,"7.7%","6.3%",114,"9.2%",0,1.34,0.45,0.31
"Breezy","CLG Academy","Top",1,"0%","100%",10,7,3,1.9,"61.9%","47.6%","25.0%","0%",-390,-1171,10,6.8,"23.6%",386,"17.4%","15.1%",357,"25.9%",0,0.32,0.06,0.32
"Busio","100 Thieves Academy","Support",28,"36%","61%",26,105,211,2.3,"63.7%","7.0%","23.8%","18%",-62,22,0.1,0.9,"1.9%",193,"10.1%","9.4%",101,"8.7%",0,1.28,0.32,0.21
"Chad","Immortals Academy","Jungle",36,"50%","28%",98,135,243,2.5,"65.2%","18.7%","25.7%","39%",-45,-88,-0.1,6.1,"16.7%",280,"13.9%","13.9%",203,"17.8%",4,0.2,0.2,0.27
"Chime","Golden Guardians Academy","Support",36,"61%","64%",27,83,370,4.8,"70.6%","4.8%","18.9%","36%",38,-62,2.7,1.1,"2.9%",160,"8.3%","6.9%",115,"9.7%",0,1.45,0.47,0.33
"Concept","Immortals Academy","Top",36,"50%","56%",77,120,169,2.1,"47.0%","14.7%","22.9%","14%",-94,-18,-0.8,7.8,"24.8%",418,"20.0%","18.4%",243,"21.3%",1,0.29,0.09,0.17
"Copy","Cloud9 Academy","Middle",36,"61%","50%",125,97,219,3.5,"60.7%","22.0%","18.3%","8%",-84,-108,-3.9,8.4,"25.0%",499,"24.7%","25.9%",276,"23.2%",0,0.36,0.07,0.19
"Damonte","CLG Academy","Middle",4,"50%","75%",12,6,22,5.7,"68.0%","24.0%","14.0%","25%",4,30,-0.8,9.5,"26.8%",509,"24.7%","26.3%",295,"24.6%",0,0.58,0.3,0.22
"DARKWINGS","Dignitas Academy","Middle",36,"50%","53%",113,90,202,3.5,"60.6%","21.7%","17.7%","17%",-169,-132,-5.2,8.5,"26.7%",579,"28.0%","28.1%",269,"23.7%",0,0.44,0.18,0.24
"Darshan","Cloud9 Academy","Top",28,"68%","43%",99,87,148,2.8,"51.8%","20.8%","21.4%","25%",119,168,1.8,7.6,"22.2%",465,"22.3%","20.7%",266,"21.6%",0,0.33,0.07,0.12
"Dhokla","CLG Academy","ADC",1,"0%","100%",1,7,3,0.6,"19.0%","4.8%","25.0%","0%",65,1089,-15,7.7,"26.5%",485,"21.8%","20.5%",231,"16.7%",0,0.47,0.19,0.25
"Dhokla","CLG Academy","Top",35,"66%","54%",141,81,136,3.4,"51.7%","26.3%","19.4%","20%",520,355,17.5,9.1,"28.2%",520,"24.6%","22.9%",305,"24.6%",1,0.35,0.12,0.19
"Diamond","FlyQuest Academy","Support",36,"39%","61%",38,145,293,2.3,"64.1%","7.4%","25.6%","25%",-26,112,-1.3,1,"2.8%",149,"7.3%","6.2%",108,"9.5%",0,1.37,0.35,0.3
"Eclipse","Dignitas Academy","Top",36,"50%","64%",107,106,155,2.5,"50.4%","20.6%","20.8%","33%",-103,-123,-6.6,7.6,"24.7%",444,"21.8%","20.2%",248,"21.9%",0,0.52,0.21,0.14
"eXyu","Dignitas Academy","Jungle",36,"50%","53%",101,120,279,3.2,"73.1%","19.4%","23.6%","39%",64,-11,-2.8,5.5,"14.9%",270,"13.3%","13.0%",199,"17.9%",5,0.43,0.33,0.31
"Eyla","Team Liquid Academy","Support",14,"64%","36%",16,34,117,3.9,"65.2%","7.8%","20.6%","21%",180,269,-3.4,0.8,"2.3%",188,"8.9%","6.9%",110,"9.4%",0,1.41,0.47,0.3
"Frost1","Cloud9 Academy","Jungle",8,"38%","75%",23,29,46,2.4,"76.7%","25.6%","23.4%","13%",-338,-7,-1.1,6.6,"13.8%",277,"16.1%","16.7%",203,"18.1%",0,0.24,0.23,0.44
"Gamsu","100 Thieves Academy","Top",36,"42%","39%",71,91,140,2.3,"44.1%","14.8%","16.9%","6%",-133,-82,-4.9,8.3,"26.4%",423,"22.0%","20.0%",260,"22.3%",0,0.37,0.11,0.13
"Haeri","Team Liquid Academy","Middle",32,"63%","47%",114,71,182,4.2,"60.8%","23.4%","16.5%","16%",90,179,8.3,9.7,"29.6%",561,"25.9%","26.9%",308,"25.8%",0,0.48,0.25,0.19
"Hyper","TSM Academy","Jungle",36,"36%","47%",82,130,193,2.1,"60.0%","17.9%","24.4%","31%",-82,-114,-2.5,5.5,"13.8%",243,"12.9%","13.0%",188,"16.8%",7,0.3,0.31,0.36
