"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Akaadian","Golden Guardians Academy","Jungle",36,"25%","39%",110,123,205,2.6,"68.9%","24.1%","19.1%","31%",-10,-42,-1.4,5.7,"17.0%",367,"16.7%","18.0%",209,"19.6%",5,0.27,0.26,0.32
"Allorim","Cloud9 Academy","Top",6,"17%","33%",7,14,12,1.4,"50.0%","18.4%","13.9%","0%",-127,-160,-2,7.8,"24.8%",331,"18.9%","17.4%",222,"22.5%",0,0.34,0.13,0.13
"AnDa","TSM Academy","Jungle",16,"44%","63%",36,44,72,2.5,"61.4%","20.5%","19.0%","19%",271,206,3.1,5.4,"14.7%",233,"11.7%","11.8%",187,"17.1%",2,0.32,0.3,0.46
"Armao","Team Liquid Academy","Jungle",36,"81%","28%",100,77,308,5.3,"61.0%","14.9%","19.5%","36%",2,21,2.1,5.7,"14.4%",365,"13.2%","13.9%",218,"16.8%",3,0.25,0.22,0.23
"Array","Golden Guardians Academy","ADC",36,"25%","47%",119,115,189,2.7,"67.4%","26.0%","17.8%","28%",-180,-229,-15.6,7.4,"27.3%",543,"23.5%","24.7%",262,"23.9%",0,0.46,0.12,0.33
"Arrow","Immortals Academy","ADC",36,"39%","50%",150,125,211,2.9,"66.6%","27.7%","19.8%","17%",-134,9,-0.6,7.8,"26.1%",599,"24.9%","25.9%",278,"24.2%",1,0.51,0.16,0.34
"BMFX","100 Thieves Academy","ADC",36,"64%","44%",98,110,249,3.2,"60.0%","17.0%","21.2%","14%",-119,-68,-13,6.5,"20.2%",483,"20.5%","21.2%",239,"19.5%",0,0.43,0.06,0.27
"Bradley","Team Liquid Academy","Top",36,"81%","47%",148,89,203,3.9,"52.5%","22.1%","22.6%","25%",123,89,0.7,7.9,"24.2%",611,"22.1%","20.2%",285,"21.5%",1,0.39,0.12,0.12
"Breezy","CLG Academy","Support",36,"50%","67%",36,121,325,3,"69.2%","6.9%","20.7%","22%",17,83,-0.2,1.1,"3.0%",169,"7.2%","6.1%",112,"9.4%",0,1.38,0.37,0.35
"Busio","100 Thieves Academy","Support",30,"67%","50%",56,76,290,4.6,"70.8%","11.5%","18.5%","20%",241,156,9.9,2.4,"6.9%",257,"11.1%","10.2%",154,"12.1%",0,1.24,0.3,0.33
"Chad","Immortals Academy","Jungle",36,"39%","69%",115,142,217,2.3,"61.3%","21.2%","22.5%","31%",-237,-99,-1.7,5.6,"17.5%",347,"14.4%","15.5%",210,"18.5%",6,0.14,0.14,0.32
"Chime","Golden Guardians Academy","Support",20,"20%","50%",19,62,148,2.7,"72.3%","8.2%","17.9%","25%",27,46,9.5,1.5,"4.5%",218,"10.3%","9.2%",110,"10.4%",0,1.27,0.3,0.25
"Chuz","Golden Guardians Academy","Middle",20,"20%","50%",49,71,82,1.8,"56.7%","21.2%","20.5%","10%",-214,-157,-7,8.2,"26.2%",563,"25.6%","26.3%",252,"23.5%",0,0.47,0.14,0.2
"Concept","Golden Guardians Academy","Top",36,"25%","50%",79,144,179,1.8,"56.5%","17.3%","22.3%","14%",-108,-22,-3.1,7.3,"23.2%",518,"23.2%","21.8%",231,"21.4%",0,0.3,0.07,0.11
"Copy","Cloud9 Academy","Middle",36,"61%","56%",111,104,240,3.4,"62.0%","19.6%","23.9%","19%",-86,-79,-3,8.2,"23.4%",601,"26.2%","26.8%",262,"21.9%",0,0.42,0.07,0.14
"Darshan","Cloud9 Academy","Top",30,"70%","43%",108,77,156,3.4,"50.0%","20.5%","23.0%","13%",296,273,7.3,8,"25.5%",579,"24.7%","22.3%",274,"22.1%",0,0.34,0.1,0.13
"Destiny","Cloud9 Academy","Support",26,"69%","42%",31,39,303,8.6,"74.4%","6.9%","14.0%","27%",-90,31,-13.7,0.8,"2.3%",188,"8.0%","7.0%",128,"10.3%",0,1.68,0.34,0.28
"Dhokla","CLG Academy","Top",2,"100%","50%",11,2,7,9,"54.5%","33.3%","7.1%","0%",212,-262,-3,9.3,"31.3%",741,"31.7%","31.3%",333,"27.1%",0,0.3,0.1,0.15
"Diamond","FlyQuest Academy","Support",36,"56%","58%",34,124,309,2.8,"65.1%","6.5%","24.1%","19%",78,108,5.2,1.4,"3.8%",193,"8.0%","6.5%",116,"10.1%",0,1.36,0.33,0.29
"eXyu","Dignitas Academy","Jungle",32,"56%","47%",85,100,242,3.3,"68.6%","17.8%","22.2%","38%",28,-19,0.8,5.5,"16.7%",332,"13.7%","14.2%",203,"17.8%",2,0.32,0.32,0.32
"Eyla","Team Liquid Academy","Support",36,"81%","47%",40,65,463,7.7,"75.2%","6.0%","16.5%","31%",-17,-80,-9.5,0.9,"2.9%",267,"9.6%","8.0%",136,"10.4%",1,1.42,0.37,0.39
"Gamsu","Dignitas Academy","Top",4,"50%","25%",5,13,17,1.7,"44.0%","10.0%","16.9%","0%",129,165,2.5,8.3,"27.5%",509,"21.7%","18.0%",267,"24.8%",0,0.4,0.09,0.08
"Haeri","Team Liquid Academy","Middle",36,"81%","81%",177,70,230,5.8,"60.8%","26.5%","17.8%","17%",243,169,10.1,9.6,"29.1%",748,"27.0%","28.0%",332,"25.3%",1,0.41,0.18,0.23
