"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Akaadian","AOE Gold","Jungle",1,"0%","0%",0,3,1,0.3,"50.0%","0.0%","18.8%","0%",19,-215,0,6.5,"18.4%",351,"17.3%","22.8%",206,"22.3%",0,0.8,0.15,0.47
"APA","Team Liquid Challengers","Middle",23,"65%","55%",90,55,139,4.2,"64.3%","25.3%","18.8%","30%",33,4,0.3,8.7,"26.6%",591,"27.7%","28.4%",302,"24.6%",0,0.44,0.16,0.17
"Arrow","Team Liquid Challengers","ADC",35,"71%","32%",157,61,200,5.9,"62.4%","27.4%","14.8%","9%",24,10,0.4,8.7,"27.8%",597,"25.7%","28.3%",306,"24.8%",1,0.49,0.19,0.33
"Bradley","Team Liquid Challengers","Top",35,"71%","59%",110,95,187,3.1,"51.9%","19.2%","23.0%","14%",7,12,3.7,8,"23.7%",536,"23.9%","20.4%",269,"21.5%",1,0.5,0.21,0.14
"Breezy","AOE Gold","Support",34,"47%","47%",27,104,360,3.7,"76.2%","5.3%","19.7%","29%",117,83,-1,1,"2.1%",151,"6.4%","5.5%",110,"9.5%",0,1.44,0.35,0.28
"Concept","AOE Gold","Top",34,"47%","53%",69,124,157,1.8,"44.5%","13.6%","23.5%","9%",-267,-31,-3,7.6,"23.1%",442,"18.9%","16.4%",232,"20.1%",0,0.31,0.11,0.08
"DARKWINGS","AOE Gold","Middle",34,"47%","69%",151,103,177,3.2,"64.6%","29.7%","19.5%","18%",110,53,-0.9,8.7,"27.6%",707,"29.2%","29.7%",288,"24.5%",0,0.33,0.11,0.25
"donbray","Wildcard Gaming","Support",31,"55%","37%",22,106,314,3.2,"68.0%","4.5%","23.0%","29%",82,62,2.2,1,"2.1%",169,"6.9%","6.1%",114,"9.5%",0,1.48,0.35,0.26
"Duoking1","Wildcard Gaming","Support",6,"50%","100%",6,19,47,2.8,"67.9%","7.7%","21.3%","33%",131,17,9.5,0.9,"1.5%",150,"7.0%","7.2%",112,"9.1%",0,1.31,0.16,0.13
"Faisal","FlyQuest Challengers","Top",37,"68%","47%",96,80,181,3.5,"45.9%","15.9%","15.9%","8%",-38,-42,-2.1,8.3,"24.9%",462,"18.9%","17.3%",273,"21.5%",0,0.37,0.11,0.11
"FakeGod","Disguised","Top",37,"65%","56%",110,92,195,3.3,"57.0%","20.6%","21.9%","24%",158,132,2.3,7.7,"22.7%",518,"21.8%","18.0%",260,"22.1%",0,0.42,0.15,0.14
"Getback","Maryville University","Middle",34,"35%","33%",110,105,164,2.6,"55.6%","22.3%","18.0%","18%",-136,-75,-1.9,8.3,"26.6%",534,"24.2%","24.4%",268,"23.3%",0,0.34,0.15,0.15
"Haeri","Team Liquid Challengers","Middle",12,"83%","75%",81,23,77,6.9,"73.1%","37.5%","19.2%","33%",479,262,9.8,9.6,"28.5%",743,"31.8%","32.2%",344,"26.5%",1,0.43,0.17,0.23
