"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Armao","Evil Geniuses Challengers","Jungle",18,"61%","67%",28,40,146,4.4,"66.2%","10.6%","20.6%","22%",-95,-73,1.2,5.6,"14.3%",244,"11.7%","12.3%",199,"16.9%",0,0.27,0.18,0.22
"Arrow","Team Liquid Challengers","ADC",6,"33%","33%",11,6,30,6.8,"69.5%","18.6%","10.0%","0%",144,-145,-0.2,8.5,"26.6%",487,"24.1%","27.1%",249,"23.5%",0,0.47,0.17,0.27
"Bradley","Team Liquid Challengers","Top",6,"33%","67%",13,12,14,2.3,"45.8%","22.0%","20.0%","50%",-122,33,-4.8,8,"25.5%",447,"23.4%","19.7%",240,"22.3%",0,0.53,0.24,0.18
"Breezy","AOE Gold","Support",4,"0%","0%",0,17,18,1.1,"72.0%","0.0%","23.0%","25%",25,-13,0.3,1.2,"2.9%",117,"6.1%","5.6%",76,"8.2%",0,2.06,0.44,0.44
"Concept","AOE Gold","Top",4,"0%","50%",7,19,5,0.6,"48.0%","28.0%","25.7%","0%",-319,37,0.5,6.8,"19.9%",427,"22.9%","21.9%",186,"20.0%",0,0.31,0.13,0.12
"DARKWINGS","AOE Gold","Middle",4,"0%","75%",4,14,10,1,"56.0%","16.0%","18.9%","0%",120,-222,-2.5,8.5,"26.4%",551,"30.9%","29.8%",230,"24.4%",0,0.29,0.1,0.24
"donbray","Wildcard Gaming","Support",7,"43%","14%",7,27,75,3,"77.4%","6.6%","19.6%","14%",-227,-192,0.4,1.2,"2.5%",149,"6.5%","5.9%",110,"9.1%",0,1.66,0.38,0.37
"Faisal","FlyQuest Challengers","Top",12,"50%","67%",36,40,60,2.4,"53.0%","19.9%","21.6%","8%",-62,-11,-1.6,8.4,"26.1%",476,"21.0%","19.5%",276,"23.0%",0,0.44,0.13,0.12
"FakeGod","Disguised","Top",14,"71%","43%",50,31,95,4.7,"65.9%","22.7%","22.0%","43%",145,102,1.9,7.4,"22.3%",580,"24.6%","21.5%",263,"22.3%",0,0.45,0.16,0.12
"Getback","Maryville University","Middle",4,"0%","50%",7,14,11,1.3,"42.9%","16.7%","19.7%","0%",-397,-218,-12.5,8.5,"27.9%",332,"19.8%","17.7%",233,"22.3%",0,0.36,0.17,0.13
"Haeri","Team Liquid Challengers","Middle",6,"33%","67%",21,17,22,2.5,"72.9%","35.6%","28.3%","33%",384,169,13.2,9,"27.4%",618,"30.8%","30.5%",271,"25.7%",0,0.49,0.18,0.27
"JayJ","Cincinnati Fear","Support",13,"54%","77%",9,43,115,2.9,"75.2%","5.5%","21.7%","23%",-71,-6,-0.7,1.1,"2.8%",142,"5.5%","5.1%",103,"9.0%",0,1.37,0.35,0.41
"k1ng","Evil Geniuses Challengers","ADC",18,"61%","50%",82,30,103,6.2,"70.3%","31.2%","15.5%","33%",-81,-69,-1.1,9.9,"32.8%",619,"29.6%","32.3%",313,"26.4%",0,0.31,0.03,0.29
"Keel","Wildcard Gaming","Jungle",7,"43%","57%",29,28,42,2.5,"67.0%","27.4%","20.3%","14%",-139,118,8.6,6,"17.1%",334,"13.9%","14.5%",234,"19.3%",1,0.22,0.25,0.35
"Kim Down","Team Liquid Challengers","Support",6,"33%","17%",2,14,39,2.9,"69.5%","3.4%","23.3%","17%",82,-135,1.2,1,"1.7%",126,"6.3%","5.6%",88,"8.2%",0,1.98,0.57,0.28
"Lens","Wildcard Gaming","ADC",7,"43%","57%",27,26,44,2.7,"67.0%","25.5%","18.8%","14%",-327,-148,-4.6,9.5,"33.3%",535,"23.0%","25.0%",303,"25.3%",0,0.29,0.04,0.24
"links","AOE Gold","ADC",4,"0%","75%",6,12,8,1.2,"56.0%","24.0%","16.2%","25%",103,42,4.5,9.8,"34.8%",549,"28.3%","28.3%",256,"27.5%",0,0.37,0.03,0.23
"Massu","FlyQuest Challengers","ADC",12,"50%","33%",63,36,63,3.5,"69.6%","34.8%","19.5%","25%",271,259,5.9,9.3,"28.4%",694,"32.0%","34.6%",314,"26.2%",0,0.42,0.08,0.2
"Meech","Disguised","ADC",14,"71%","43%",76,26,84,6.2,"72.7%","34.5%","18.4%","43%",71,6,-0.4,10.2,"35.1%",737,"31.4%","35.2%",334,"28.1%",0,0.24,0.01,0.23
"Minui","Cincinnati Fear","ADC",13,"54%","62%",43,38,64,2.8,"64.8%","26.1%","19.2%","15%",-162,-47,-3.2,9.6,"32.1%",703,"27.3%","29.6%",293,"25.5%",0,0.4,0.13,0.2
"Mir","Team Liquid Challengers","Jungle",6,"33%","67%",12,11,28,3.6,"67.8%","20.3%","18.3%","33%",317,486,9.8,6.3,"18.8%",322,"15.4%","17.1%",211,"20.3%",1,0.41,0.34,0.3
"Niles","Maryville University","Top",4,"0%","50%",9,13,9,1.4,"42.9%","21.4%","18.3%","0%",-191,-147,-4.5,7.3,"24.4%",318,"19.3%","16.6%",215,"21.6%",0,0.34,0.16,0.11
"OddOrange","Maryville University","Jungle",4,"0%","75%",12,16,18,1.9,"71.4%","28.6%","22.5%","25%",48,-420,-11.5,5.6,"16.7%",303,"17.3%","21.2%",220,"20.0%",0,0.26,0.23,0.47
"Perry","Cincinnati Fear","Jungle",13,"54%","46%",27,40,98,3.1,"75.8%","16.4%","20.2%","8%",-66,-136,-3.5,4.9,"13.3%",408,"15.4%","16.1%",183,"16.3%",3,0.24,0.18,0.31
"Philip","Cincinnati Fear","Top",13,"54%","31%",39,39,59,2.5,"59.4%","23.6%","19.7%","0%",61,41,0.8,7.9,"23.5%",529,"21.0%","16.9%",262,"22.7%",0,0.27,0.12,0.17
"ry0ma","Evil Geniuses Challengers","Middle",18,"61%","44%",79,40,109,4.7,"71.5%","30.0%","20.6%","22%",10,-13,-1.4,9.1,"27.3%",640,"30.2%","30.1%",304,"25.8%",0,0.29,0.11,0.24
"ScaryJerry","Maryville University","ADC",4,"0%","75%",11,12,17,2.3,"66.7%","26.2%","16.9%","50%",84,102,2.5,8.3,"26.5%",607,"35.6%","37.5%",257,"25.3%",0,0.49,0.2,0.16
"shochi","Cincinnati Fear","Middle",13,"54%","69%",47,38,69,3.1,"70.3%","28.5%","19.2%","8%",-176,-130,-6.1,8.7,"28.4%",799,"30.8%","32.3%",301,"26.5%",0,0.33,0.08,0.27
"Smoothie","Evil Geniuses Challengers","Support",18,"61%","44%",13,43,193,4.8,"78.3%","4.9%","22.2%","39%",-2,-4,-0.7,1.1,"2.5%",123,"6.0%","5.5%",105,"8.9%",0,1.94,0.49,0.43
"Soligo","Wildcard Gaming","Middle",7,"43%","43%",22,22,38,2.7,"56.6%","20.8%","15.9%","0%",91,-17,6.4,8.3,"24.0%",612,"28.1%","28.9%",267,"22.6%",0,0.44,0.2,0.14
"Spirax","FlyQuest Challengers","Middle",12,"50%","25%",44,26,65,4.2,"60.2%","24.3%","14.1%","0%",146,173,6.1,9.1,"27.6%",639,"28.3%","28.3%",301,"25.2%",0,0.39,0.18,0.26
"Srtty","Evil Geniuses Challengers","Top",18,"61%","56%",61,41,101,4,"61.6%","23.2%","21.1%","28%",59,-133,1.9,7.8,"23.0%",476,"22.5%","19.8%",260,"22.0%",0,0.36,0.09,0.17
"Tomio","Disguised","Jungle",14,"71%","36%",27,18,155,10.1,"82.7%","12.3%","12.8%","43%",65,128,2,5,"14.2%",391,"15.9%","16.6%",207,"17.4%",5,0.28,0.22,0.42
"Will","AOE Gold","Jungle",4,"0%","25%",8,12,9,1.4,"68.0%","32.0%","16.2%","25%",306,40,-1.5,5.4,"15.9%",229,"11.8%","14.4%",184,"19.9%",0,0.34,0.28,0.33
"Winsome","FlyQuest Challengers","Support",12,"50%","83%",6,43,113,2.8,"65.7%","3.3%","23.2%","25%",-5,6,-0.5,1.2,"2.8%",127,"5.7%","4.7%",107,"8.8%",0,1.88,0.43,0.45
"Young","Disguised","Middle",14,"71%","50%",57,32,81,4.3,"62.7%","25.9%","22.7%","14%",-107,51,-2.3,8.2,"25.6%",473,"20.8%","20.2%",265,"22.3%",0,0.32,0.12,0.22
"Yuuji","FlyQuest Challengers","Jungle",12,"50%","33%",32,40,81,2.8,"62.4%","17.7%","21.6%","33%",-58,-77,-5.9,5.2,"15.1%",296,"13.1%","12.9%",202,"16.8%",0,0.31,0.28,0.32
"Zamudo","Wildcard Gaming","Top",7,"43%","43%",21,35,43,1.8,"60.4%","19.8%","25.4%","29%",-51,115,-1.1,7.6,"23.1%",639,"28.5%","25.8%",285,"23.8%",0,0.28,0,0.11
"Zeyzal","Disguised","Support",14,"71%","50%",10,34,174,5.4,"83.6%","4.5%","24.1%","43%",102,116,0.6,1.2,"2.9%",169,"7.3%","6.5%",117,"9.8%",0,2.06,0.47,0.43
"Zyko","Maryville University","Support",4,"0%","50%",3,16,31,2.1,"81.0%","7.1%","22.5%","50%",148,163,1.8,1.5,"4.5%",134,"8.0%","7.0%",111,"10.7%",0,1.56,0.45,0.68
