"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Bang","Evil Geniuses","ADC",12,"42%","50%",33,30,49,2.7,"68.3%","27.5%","16.9%","17%",-122,-98,-1.5,9.2,"32.7%",485,"26.0%",,280,"27.7%",,0.53,0.22,0.3
"Biofrost","TSM","Support",10,"50%","90%",3,28,62,2.3,"52.4%","2.4%","21.5%","0%",-94,69,-1.6,1.1,"2.9%",110,"5.9%",,89,"8.3%",,1.57,0.5,0.35
"Bjergsen","TSM","Middle",10,"50%","50%",39,12,46,7.1,"68.5%","31.5%","9.2%","30%",92,144,2,8.8,"28.0%",586,"30.3%",,278,"26.2%",,0.47,0.19,0.19
"Blaber","Cloud9","Jungle",10,"90%","70%",41,29,89,4.5,"68.8%","21.7%","36.3%","50%",165,353,8.2,6.4,"19.3%",421,"18.4%",,252,"19.5%",,0.47,0.26,0.35
"BrokenBlade","TSM","Top",10,"50%","80%",34,25,46,3.2,"64.5%","27.4%","19.2%","30%",294,183,3.6,7.7,"25.5%",456,"23.8%",,254,"23.6%",,0.46,0.21,0.17
"Closer","Golden Guardians","Jungle",3,"0%","67%",5,7,12,2.4,"89.5%","26.3%","14.9%","33%",-73,-70,-1.3,4.8,"14.6%",148,"9.9%",,149,"16.9%",,0.25,0.2,0.41
"Cody Sun","100 Thieves","ADC",8,"25%","88%",23,18,35,3.2,"79.5%","31.5%","15.5%","0%",-613,-111,-12.4,8.8,"30.5%",453,"28.3%",,268,"27.8%",,0.42,0.17,0.26
"Dardoch","TSM","Jungle",10,"50%","10%",21,44,65,2,"69.4%","16.9%","33.8%","40%",-58,-64,-2.7,4.2,"12.4%",238,"13.4%",,158,"14.9%",,0.51,0.37,0.39
"FBI","Golden Guardians","ADC",3,"0%","33%",4,13,9,1,"68.4%","21.1%","27.7%","33%",-185,-445,-2,8.8,"29.2%",426,"27.7%",,235,"26.0%",,0.37,0.1,0.32
"Goldenglue","Golden Guardians","Middle",3,"0%","67%",6,12,10,1.3,"84.2%","31.6%","25.5%","33%",-53,-163,-4,7.9,"25.6%",456,"29.7%",,219,"24.5%",,0.47,0.24,0.25
"Hauntzer","Golden Guardians","Top",3,"0%","67%",3,6,5,1.3,"42.1%","15.8%","12.8%","0%",-132,-108,-7.7,8.5,"27.9%",384,"26.3%",,220,"24.6%",,0.5,0.17,0.18
"huhi","Golden Guardians","Support",3,"0%","0%",1,9,16,1.9,"89.5%","5.3%","19.1%","33%",-29,10,2.3,1.1,"2.7%",94,"6.5%",,70,"8.0%",,1.68,0.61,0.43
"IgNar","FlyQuest","Support",19,"53%","47%",12,37,154,4.5,"66.9%","4.8%","16.6%","42%",20,-48,0.6,1.1,"3.3%",157,"8.3%",,101,"9.0%",,1.68,0.46,0.48
"Jiizuke","Evil Geniuses","Middle",12,"42%","33%",34,42,51,2,"70.8%","28.3%","23.6%","33%",65,-24,4,8.7,"28.3%",531,"28.5%",,264,"25.7%",,0.43,0.18,0.12
"Kobbe","TSM","ADC",10,"50%","10%",27,21,45,3.4,"58.1%","21.8%","16.2%","0%",412,77,12.2,9.4,"31.1%",499,"26.5%",,286,"27.0%",,0.34,0.13,0.38
"Kumo","Evil Geniuses","Top",12,"42%","67%",16,29,46,2.1,"51.7%","13.3%","16.3%","8%",-359,-268,-8.2,7.3,"23.1%",356,"19.4%",,207,"20.5%",,0.5,0.21,0.11
