"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ablazeolive","Golden Guardians","Middle",6,"17%","33%",10,18,34,2.4,"83.0%","18.9%","19.1%","50%",212,83,0.5,7.7,"20.4%",496,"25.1%",,218,"21.6%",,0.38,0.19,0.25
"Alphari","Team Liquid","Top",14,"79%","29%",54,27,71,4.6,"54.6%","23.6%","19.6%","21%",321,226,8.8,8,"24.7%",586,"28.0%",,289,"22.9%",,0.47,0.17,0.17
"aphromoo","Dignitas","Support",4,"25%","50%",1,19,26,1.4,"64.3%","2.4%","27.5%","50%",-3,-19,-2.5,1,"2.4%",112,"6.7%",,85,"7.9%",,1.12,0.39,0.26
"Armao","Team Liquid","Jungle",3,"67%","33%",7,4,21,7,"62.2%","15.6%","16.0%","0%",-316,-141,1.3,6.7,"17.7%",327,"18.1%",,231,"18.3%",,0.35,0.22,0.21
"Blaber","Cloud9","Jungle",17,"59%","65%",61,33,116,5.4,"75.3%","26.0%","18.9%","41%",193,307,6.5,7.4,"22.3%",375,"21.2%",,261,"22.9%",,0.37,0.29,0.36
"Closer","100 Thieves","Jungle",11,"64%","45%",42,27,72,4.2,"68.7%","25.3%","20.9%","55%",-21,-154,-4.8,6.7,"19.9%",374,"21.1%",,245,"20.4%",,0.5,0.28,0.35
"CoreJJ","Team Liquid","Support",14,"79%","36%",14,29,140,5.3,"67.2%","6.1%","21.0%","36%",115,115,-5.4,1.3,"3.1%",154,"7.4%",,126,"9.8%",,1.18,0.35,0.35
"Damonte","100 Thieves","Middle",11,"64%","55%",23,26,86,4.2,"65.7%","13.9%","20.2%","27%",114,15,2.9,8.3,"23.9%",380,"20.5%",,260,"21.8%",,0.49,0.24,0.19
"Dardoch","Dignitas","Jungle",4,"25%","50%",10,9,20,3.3,"71.4%","23.8%","13.0%","25%",259,273,2.8,6.5,"18.7%",357,"22.8%",,222,"21.0%",,0.46,0.3,0.32
"Deftly","Evil Geniuses","ADC",9,"56%","67%",47,17,40,5.1,"66.4%","35.9%","14.8%","11%",83,-60,-4.7,8.9,"30.0%",408,"21.5%",,304,"26.4%",,0.45,0.15,0.26
