"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alphari","Team Liquid","Top",17,"53%","53%",55,49,93,3,"68.5%","25.5%","23.4%","18%",-38,-89,5.1,7.9,"24.1%",465,"24.7%",,261,"23.5%",,0.52,0.2,0.21
"aphromoo","Dignitas","Support",3,"0%","0%",2,12,17,1.6,"82.6%","8.7%","18.2%","33%",-7,-10,-1.3,1,"2.5%",122,"6.8%",,76,"8.0%",,1.45,0.49,0.35
"Armao","Team Liquid","Jungle",9,"56%","33%",11,22,62,3.3,"61.9%","9.3%","19.6%","11%",-291,-282,-4.7,5.7,"16.1%",173,"9.2%",,177,"16.3%",,0.33,0.26,0.29
"Blaber","Cloud9","Jungle",12,"75%","67%",21,19,100,6.4,"70.8%","12.3%","17.8%","42%",236,177,5.7,6.8,"19.2%",283,"15.2%",,220,"18.9%",,0.36,0.27,0.36
"Closer","100 Thieves","Jungle",10,"40%","20%",30,20,60,4.5,"68.7%","22.9%","16.8%","10%",63,77,-4.8,6.4,"18.1%",256,"13.6%",,210,"18.7%",,0.39,0.31,0.33
"CoreJJ","Team Liquid","Support",17,"53%","29%",9,45,147,3.5,"72.2%","4.2%","21.5%","12%",97,123,7.4,1.6,"4.0%",120,"6.6%",,101,"9.1%",,1.22,0.37,0.48
"Dardoch","Dignitas","Jungle",3,"0%","100%",4,15,15,1.3,"82.6%","17.4%","22.7%","33%",-407,-576,0,5.8,"15.6%",269,"14.6%",,168,"17.5%",,0.26,0.29,0.49
"Deftly","Evil Geniuses","ADC",4,"25%","25%",20,10,16,3.6,"64.3%","35.7%","17.9%","0%",-132,207,-4.8,9,"32.7%",392,"21.0%",,283,"26.2%",,0.3,0.08,0.3
"FakeGod","Dignitas","Top",3,"0%","67%",5,13,12,1.3,"73.9%","21.7%","19.7%","33%",51,-82,2.3,8.2,"26.7%",543,"30.6%",,249,"26.4%",,0.36,0.14,0.08
"FBI","100 Thieves","ADC",10,"40%","40%",40,23,50,3.9,"68.7%","30.5%","19.3%","20%",159,225,-3,7.8,"24.4%",566,"29.7%",,278,"24.4%",,0.6,0.2,0.38
"Fudge","Cloud9","Top",12,"75%","42%",26,28,87,4,"66.1%","15.2%","26.2%","42%",107,121,-4,7.5,"20.7%",347,"18.5%",,238,"20.1%",,0.47,0.21,0.16
"huhi","100 Thieves","Support",10,"40%","50%",5,28,82,3.1,"66.4%","3.8%","23.5%","10%",78,48,7,2.3,"5.7%",146,"7.9%",,113,"10.3%",,1.53,0.52,0.46
"Huni","TSM","Top",16,"50%","38%",36,52,85,2.3,"64.0%","19.0%","22.3%","31%",-110,-95,-3.9,7.5,"24.6%",399,"22.7%",,243,"21.9%",,0.46,0.14,0.15
"IgNar","Evil Geniuses","Support",4,"25%","25%",1,6,37,6.3,"67.9%","1.8%","10.7%","0%",-10,-242,-1.8,1.1,"2.8%",159,"9.1%",,85,"8.0%",,1.73,0.53,0.38
"Impact","Evil Geniuses","Top",4,"25%","50%",11,16,32,2.7,"76.8%","19.6%","28.6%","25%",258,449,7.5,6.7,"19.1%",442,"24.6%",,229,"21.5%",,0.45,0.14,0.17
"Jensen","Team Liquid","Middle",17,"53%","59%",62,32,118,5.6,"83.3%","28.7%","15.3%","12%",-2,156,2.8,8.7,"26.0%",566,"30.0%",,277,"24.9%",,0.35,0.15,0.19
"Jiizuke","Evil Geniuses","Middle",4,"25%","100%",14,13,24,2.9,"67.9%","25.0%","23.2%","0%",361,272,6,8.4,"26.3%",370,"20.0%",,257,"25.1%",,0.37,0.12,0.23
"Lost","TSM","ADC",16,"50%","56%",74,44,47,2.8,"64.0%","39.2%","18.9%","13%",-61,-147,5.4,9.2,"29.3%",466,"26.9%",,300,"26.9%",,0.43,0.18,0.33
"Neo","Dignitas","ADC",3,"0%","67%",7,13,10,1.3,"73.9%","30.4%","19.7%","33%",-212,-251,-6.7,9.1,"31.8%",472,"24.7%",,254,"25.6%",,0.52,0.25,0.33
"Perkz","Cloud9","Middle",12,"75%","42%",66,24,65,5.5,"76.6%","38.6%","22.4%","33%",21,-176,-1.3,9.3,"28.3%",571,"30.6%",,317,"26.7%",,0.46,0.14,0.29
"PowerOfEvil","TSM","Middle",16,"50%","38%",40,33,104,4.4,"76.2%","21.2%","14.2%","19%",-197,-101,-4.7,9,"28.4%",535,"30.6%",,274,"24.6%",,0.45,0.15,0.17
"ry0ma","100 Thieves","Middle",10,"40%","40%",29,22,65,4.3,"71.8%","22.1%","18.5%","30%",190,-1,2.3,9.1,"25.9%",460,"23.8%",,271,"24.1%",,0.51,0.23,0.21
"Santorin","Team Liquid","Jungle",8,"50%","50%",16,24,59,3.1,"76.5%","16.3%","24.7%","38%",-172,-145,-2.5,6.2,"17.8%",251,"13.4%",,203,"18.2%",,0.3,0.29,0.44
"Soligo","Dignitas","Middle",3,"0%","67%",5,13,11,1.2,"69.6%","21.7%","19.7%","33%",-134,-2,-1.3,8.1,"23.4%",430,"23.3%",,215,"22.5%",,0.45,0.27,0.17
"Spica","TSM","Jungle",16,"50%","44%",33,52,107,2.7,"74.1%","17.5%","22.3%","56%",85,128,1.6,5.9,"15.4%",221,"12.7%",,201,"18.1%",,0.4,0.39,0.51
"Ssumday","100 Thieves","Top",10,"40%","70%",27,26,47,2.8,"56.5%","20.6%","21.8%","20%",-6,4,-1.3,8.2,"26.0%",468,"25.0%",,257,"22.5%",,0.49,0.21,0.34
"Svenskeren","Evil Geniuses","Jungle",4,"25%","100%",10,11,32,3.8,"75.0%","17.9%","19.6%","25%",99,120,4,6.2,"19.0%",451,"25.4%",,202,"19.1%",,0.38,0.3,0.29
"SwordArt","TSM","Support",16,"50%","69%",6,52,126,2.5,"69.8%","3.2%","22.3%","13%",-87,-59,-4.3,1.1,"2.3%",126,"7.2%",,96,"8.6%",,1.59,0.44,0.29
"Tactical","Team Liquid","ADC",17,"53%","65%",63,37,92,4.2,"71.8%","29.2%","17.7%","6%",-141,-29,-13.1,9,"29.0%",527,"27.6%",,286,"25.3%",,0.59,0.18,0.33
"VULCAN","Cloud9","Support",12,"75%","75%",10,20,109,6,"69.6%","5.8%","18.7%","33%",-83,-54,-9.7,1.4,"3.4%",157,"8.3%",,108,"9.2%",,1.53,0.57,0.32
"Zven","Cloud9","ADC",12,"75%","33%",48,16,67,7.2,"67.3%","28.1%","15.0%","33%",246,42,17.1,9.2,"28.2%",536,"27.4%",,302,"25.2%",,0.6,0.12,0.34
