"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","100 Thieves","Middle",17,"41%","29%",54,45,81,3,"78.0%","31.2%","20.4%","29%",-127,-195,-3.8,8.4,"25.9%",577,"28.8%","29.6%",253,"23.8%",0,0.47,0.24,0.25
"Ablazeolive","Golden Guardians","Middle",5,"40%","40%",14,16,27,2.6,"66.1%","22.6%","21.6%","0%",215,193,2.6,8.4,"27.0%",673,"26.8%","28.7%",251,"24.4%",0,0.36,0.16,0.28
"aphromoo","FlyQuest","Support",9,"33%","56%",4,20,72,3.8,"83.5%","4.4%","15.5%","11%",-48,38,-2.2,1,"2.3%",116,"5.9%","5.1%",97,"9.0%",0,1.39,0.44,0.31
"Berserker","Cloud9","ADC",16,"75%","38%",87,27,79,6.1,"70.3%","36.9%","16.1%","19%",136,113,3.2,10.1,"33.1%",657,"30.1%","34.1%",340,"28.8%",1,0.47,0.14,0.32
"Bjergsen","Team Liquid","Middle",19,"53%","63%",47,30,130,5.9,"75.3%","20.0%","15.5%","32%",39,108,-0.7,8,"24.1%",504,"24.7%","26.3%",251,"22.5%",0,0.39,0.17,0.16
"Blaber","Cloud9","Jungle",16,"75%","56%",39,43,125,3.8,"69.5%","16.5%","25.6%","50%",144,63,2.7,5.8,"15.8%",335,"15.6%","15.5%",208,"17.7%",4,0.3,0.26,0.42
"Bwipo","Team Liquid","Top",19,"53%","74%",52,57,92,2.5,"61.3%","22.1%","29.4%","21%",97,0,-0.9,7.9,"26.8%",490,"24.2%","21.5%",258,"23.2%",0,0.48,0.23,0.19
"Chime","TSM","Support",10,"50%","70%",7,21,92,4.7,"83.9%","5.9%","15.3%","10%",-196,-176,-5.2,0.9,"1.8%",195,"8.0%","7.4%",91,"8.1%",0,1.97,0.34,0.29
"Closer","100 Thieves","Jungle",17,"41%","65%",25,56,111,2.4,"78.6%","14.5%","25.3%","35%",-3,20,2.1,4.9,"12.7%",246,"12.2%","12.1%",171,"16.4%",0,0.34,0.27,0.31
"Contractz","Counter Logic Gaming","Jungle",15,"47%","47%",37,44,102,3.2,"72.4%","19.3%","22.7%","40%",-104,-107,-0.1,5.2,"15.2%",292,"13.9%","14.4%",193,"17.3%",2,0.27,0.24,0.35
"CoreJJ","Team Liquid","Support",19,"53%","42%",11,37,161,4.6,"73.2%","4.7%","19.1%","53%",-23,-104,-7.6,0.9,"2.4%",135,"6.8%","5.7%",100,"8.9%",0,1.42,0.4,0.37
"Danny","Evil Geniuses","ADC",14,"50%","79%",35,35,86,3.5,"73.8%","21.3%","21.7%","21%",-337,-296,-16.1,8.2,"28.1%",638,"29.3%","32.3%",258,"24.1%",1,0.56,0.16,0.35
"Dhokla","Counter Logic Gaming","Top",15,"47%","47%",48,53,67,2.2,"59.9%","25.0%","27.3%","33%",33,-84,-1.5,8,"25.8%",446,"20.9%","17.2%",257,"23.3%",0,0.38,0.14,0.17
"FBI","100 Thieves","ADC",17,"41%","53%",42,37,99,3.8,"81.5%","24.3%","16.7%","18%",-410,-234,-17.1,8.1,"28.3%",549,"27.2%","28.6%",269,"25.3%",0,0.62,0.2,0.44
"Fudge","Cloud9","Top",16,"75%","56%",53,36,89,3.9,"60.2%","22.5%","21.4%","25%",-90,93,1,8.3,"25.6%",524,"24.5%","22.9%",267,"22.6%",0,0.39,0.11,0.18
"Hans Sama","Team Liquid","ADC",19,"53%","26%",77,32,100,5.5,"75.3%","32.8%","16.5%","42%",316,268,16.1,9.3,"31.7%",580,"28.8%","30.8%",311,"27.7%",1,0.41,0.15,0.28
