"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"APA","Team Liquid","Middle",8,"63%","38%",36,22,50,3.9,"73.5%","30.8%","18.0%","13%",262,38,0.5,8.5,"26.1%",774,"29.8%","30.8%",333,"26.9%",0,0.43,0.11,0.18
"Armao","Evil Geniuses","Jungle",15,"60%","47%",38,35,119,4.5,"82.2%","19.9%","19.8%","40%",8,47,-0.9,4.9,"11.7%",296,"13.8%","14.8%",206,"16.6%",0,0.3,0.22,0.21
"Berserker","Cloud9","ADC",19,"74%","63%",67,21,106,8.2,"63.6%","24.6%","12.4%","21%",72,7,3.4,9.6,"28.1%",506,"22.2%","24.0%",319,"24.6%",0,0.5,0.15,0.3
"Blaber","Cloud9","Jungle",19,"74%","47%",63,37,143,5.6,"75.7%","23.2%","21.8%","37%",278,351,7.5,7,"20.7%",462,"20.1%","21.4%",269,"20.6%",3,0.4,0.27,0.42
"Bolulu","Immortals","Middle",18,"28%","44%",43,48,94,2.9,"71.7%","22.5%","17.0%","11%",-296,-100,-5.5,8.1,"25.1%",583,"27.5%","28.8%",244,"23.0%",0,0.47,0.2,0.11
"Bugi","TSM","Jungle",18,"44%","50%",38,48,131,3.5,"82.8%","18.6%","22.1%","56%",-1,-150,-6.8,5.1,"14.7%",320,"16.7%","17.7%",194,"17.7%",2,0.38,0.25,0.3
"Busio","100 Thieves","Support",19,"37%","47%",7,48,124,2.7,"74.0%","4.0%","21.1%","11%",-124,-111,0.4,0.9,"1.8%",124,"6.7%","6.3%",91,"8.2%",0,1.71,0.42,0.28
"Chime","TSM","Support",18,"44%","56%",11,37,146,4.2,"77.0%","5.4%","17.1%","39%",41,82,0.8,1,"2.3%",142,"7.7%","7.0%",97,"8.7%",0,1.7,0.38,0.32
"Closer","100 Thieves","Jungle",19,"37%","53%",27,40,82,2.7,"61.6%","15.3%","17.5%","5%",-153,-126,-1.3,5.1,"13.0%",247,"12.7%","14.1%",179,"16.3%",3,0.34,0.23,0.33
"Contractz","NRG","Jungle",18,"50%","67%",36,56,156,3.4,"77.4%","14.5%","22.7%","39%",-202,-21,-0.8,5.2,"14.8%",342,"15.2%","15.1%",199,"17.2%",1,0.34,0.26,0.41
"CoreJJ","Team Liquid","Support",18,"56%","67%",10,40,184,4.9,"72.7%","3.7%","17.3%","33%",34,52,-1.1,0.9,"2.4%",148,"6.0%","5.3%",115,"9.4%",0,1.69,0.43,0.41
"Dhokla","NRG","Top",18,"50%","50%",43,54,102,2.7,"58.5%","17.3%","21.9%","22%",-280,-147,-8.7,7.5,"23.6%",458,"20.9%","18.3%",247,"21.4%",0,0.39,0.16,0.17
"Diamond","Dignitas","Support",12,"50%","42%",8,51,94,2,"66.7%","5.2%","27.6%","17%",-97,-41,5,1.1,"2.3%",104,"4.8%","3.8%",100,"8.8%",0,1.57,0.42,0.36
"Doublelift","100 Thieves","ADC",19,"37%","53%",64,43,67,3,"74.0%","36.2%","18.9%","16%",49,121,2.2,10.5,"34.0%",546,"28.6%","30.7%",322,"29.1%",0,0.38,0.13,0.38
"EMENES","Cloud9","Middle",19,"74%","53%",66,34,128,5.7,"71.3%","24.3%","20.0%","26%",-34,-58,-1.7,9,"26.0%",614,"27.5%","27.0%",310,"24.0%",0,0.45,0.18,0.26
"Eyla","Evil Geniuses","Support",18,"67%","39%",7,46,200,4.5,"81.5%","2.8%","22.4%","28%",-136,-165,-2.2,1,"2.7%",137,"6.1%","4.8%",113,"9.0%",0,1.41,0.44,0.39
"FBI","NRG","ADC",18,"50%","61%",90,53,96,3.5,"75.0%","36.3%","21.5%","11%",-54,-144,-4,9.2,"30.5%",667,"29.1%","32.4%",310,"26.8%",0,0.41,0.16,0.24
"Fudge","Cloud9","Top",19,"74%","26%",62,39,97,4.1,"58.5%","22.8%","22.9%","11%",145,104,5.4,8.4,"23.2%",519,"23.2%","21.9%",277,"21.4%",0,0.45,0.16,0.14
