"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",18,"44%","61%",63,38,77,3.7,"68.6%","30.9%","18.2%","11%",57,22,1.9,9.5,"29.1%",542,"28.5%",,279,"26.4%",,0.43,0.18,0.26
"Alphari","Origen","Top",18,"33%","67%",37,43,73,2.6,"64.3%","21.6%","21.7%","33%",262,232,14.5,8.2,"26.1%",432,"24.8%",,251,"24.4%",,0.45,0.14,0.14
"Bwipo","Fnatic","Top",18,"50%","28%",49,69,93,2.1,"64.0%","22.1%","26.3%","22%",-107,-222,-7.6,7.3,"21.6%",418,"22.3%",,239,"20.8%",,0.52,0.21,0.13
"Cabochard","Team Vitality","Top",18,"39%","56%",35,41,72,2.6,"55.4%","18.1%","19.1%","11%",-181,-33,-4.2,6.8,"19.5%",315,"19.6%",,207,"19.6%",,0.5,0.26,0.15
"Caedrel","Excel Esports","Jungle",18,"44%","61%",26,40,73,2.5,"60.4%","15.9%","19.1%","39%",16,5,1.5,4.9,"12.9%",170,"10.4%",,164,"15.3%",,0.52,0.4,0.41
"Caps","G2 Esports","Middle",18,"61%","44%",86,38,95,4.8,"71.3%","33.9%","16.2%","22%",88,-71,-1.4,9.2,"26.8%",575,"29.4%",,303,"26.2%",,0.4,0.14,0.19
"Carzzy","MAD Lions","ADC",18,"67%","67%",55,35,121,5,"69.0%","21.6%","17.5%","33%",-418,-377,-21.3,6.9,"24.0%",515,"25.2%",,249,"21.9%",,0.61,0.2,0.28
"Clarence","Team Vitality","Jungle",9,"44%","67%",5,28,43,1.7,"55.8%","5.8%","28.9%","22%",-126,-161,-3.7,4.9,"13.6%",135,"9.2%",,165,"15.4%",,0.78,0.39,0.37
"Comp","Team Vitality","ADC",18,"39%","56%",72,41,82,3.8,"79.8%","37.3%","19.1%","33%",19,141,-1.9,9.8,"33.2%",579,"33.8%",,314,"29.4%",,0.44,0.16,0.31
"Crownie","SK Gaming","ADC",18,"50%","39%",64,33,87,4.6,"69.6%","29.5%","15.3%","33%",141,199,8.3,9.5,"32.1%",546,"30.6%",,308,"27.9%",,0.37,0.09,0.33
"Dan Dan","Misfits Gaming","Top",18,"39%","61%",40,36,61,2.8,"54.6%","21.6%","14.9%","6%",-150,-157,-6.7,7.9,"25.9%",411,"23.3%",,251,"23.6%",,0.44,0.16,0.12
"denyk","Misfits Gaming","Support",5,"40%","40%",4,23,33,1.6,"67.3%","7.3%","27.4%","0%",-221,146,1.6,0.9,"2.5%",162,"8.0%",,85,"7.9%",,1.67,0.46,0.24
"Destiny","Origen","Support",9,"44%","78%",6,18,53,3.3,"62.1%","6.3%","23.4%","11%",45,88,-0.4,0.9,"2.1%",103,"5.9%",,83,"7.9%",,1.76,0.54,0.29
"Doss","Misfits Gaming","Support",13,"38%","38%",3,41,75,1.9,"60.0%","2.3%","26.1%","8%",-3,-21,-0.8,1,"2.3%",117,"7.1%",,85,"7.8%",,1.54,0.45,0.28
"Dreams","FC Schalke 04 Esports","Support",15,"53%","20%",13,36,111,3.4,"65.6%","6.9%","21.7%","33%",12,16,-0.1,0.9,"2.0%",150,"8.1%",,89,"8.0%",,1.5,0.48,0.28
"FEBIVEN","Misfits Gaming","Middle",18,"39%","61%",44,47,75,2.5,"64.3%","23.8%","19.5%","22%",-121,-64,0.3,8.8,"26.5%",505,"28.6%",,259,"24.7%",,0.33,0.18,0.23
