"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",18,"50%","56%",55,39,89,3.7,"70.2%","26.8%","17.3%","33%",27,-115,-0.3,9.2,"27.6%",468,"26.6%",,281,"25.3%",,0.52,0.22,0.21
"Armut","MAD Lions","Jungle",1,"0%","100%",3,5,10,2.6,"76.5%","17.6%","17.2%","0%",-197,-311,-8,5.1,"13.9%",405,"21.2%",,190,"16.9%",,0.58,0.18,0.22
"Armut","MAD Lions","Top",17,"59%","59%",53,40,77,3.3,"51.0%","20.8%","17.0%","12%",-25,2,1,7.5,"21.6%",411,"20.8%",,251,"21.1%",,0.5,0.18,0.21
"Blue","SK Gaming","Middle",18,"44%","61%",45,42,94,3.3,"64.4%","20.8%","19.3%","22%",15,21,0.5,9.3,"29.6%",462,"27.6%",,280,"25.9%",,0.37,0.1,0.22
"BrokenBlade","FC Schalke 04 Esports","Top",18,"50%","56%",41,42,83,3,"60.5%","20.0%","18.7%","17%",45,-18,2.1,8.2,"25.1%",425,"24.0%",,259,"23.2%",,0.48,0.24,0.15
"Bwipo","Fnatic","Top",18,"50%","61%",64,65,94,2.4,"56.2%","22.8%","21.2%","11%",-86,-109,-4.8,7.6,"24.8%",488,"24.3%",,263,"22.2%",,0.5,0.26,0.14
"Caps","G2 Esports","Middle",18,"78%","56%",74,34,131,6,"64.3%","23.2%","15.0%","17%",186,273,3.8,8.7,"24.7%",572,"26.6%",,301,"23.9%",,0.37,0.11,0.16
"Carzzy","MAD Lions","ADC",17,"59%","59%",58,51,116,3.4,"68.2%","22.7%","21.7%","35%",-226,42,-6.3,8.5,"28.1%",475,"24.1%",,284,"24.0%",,0.47,0.19,0.31
"Carzzy","MAD Lions","Support",1,"0%","0%",0,8,13,1.6,"76.5%","0.0%","27.6%","100%",100,-125,-1,1.3,"3.2%",165,"8.6%",,97,"8.6%",,1.31,0.4,0.33
"Comp","Team Vitality","ADC",7,"14%","57%",14,20,21,1.8,"58.3%","23.3%","22.2%","29%",53,133,5.7,9.6,"31.9%",369,"22.8%",,285,"28.0%",,0.45,0.15,0.3
"Crownie","Team Vitality","ADC",11,"36%","45%",48,26,49,3.7,"77.0%","38.1%","18.8%","9%",42,8,10.4,10,"34.6%",552,"29.6%",,314,"29.4%",,0.45,0.08,0.36
"Czekolad","Excel Esports","Middle",18,"39%","56%",33,55,86,2.2,"66.5%","18.4%","21.7%","11%",-90,-39,-1.2,8.5,"25.9%",441,"26.5%",,243,"23.7%",,0.45,0.18,0.16
"Dan","Excel Esports","Jungle",18,"39%","39%",35,46,90,2.7,"69.8%","19.6%","18.1%","17%",-39,0,1.7,6,"16.6%",252,"14.7%",,193,"18.7%",,0.39,0.31,0.28
"Elyoya","MAD Lions","Jungle",17,"59%","47%",74,39,114,4.8,"73.7%","29.0%","16.6%","41%",256,265,6.1,6.5,"18.9%",366,"18.6%",,242,"20.6%",,0.44,0.35,0.36
"Elyoya","MAD Lions","Middle",1,"0%","100%",6,6,5,1.8,"64.7%","35.3%","20.7%","0%",-217,-483,-20,6.7,"24.9%",503,"26.3%",,246,"21.9%",,0.18,0.07,0.18
"Gilius","FC Schalke 04 Esports","Jungle",18,"50%","39%",25,54,118,2.6,"69.8%","12.2%","24.0%","44%",-81,-104,-3.1,5.8,"15.9%",254,"15.1%",,188,"16.8%",,0.42,0.25,0.36
"Hans Sama","Rogue","ADC",18,"78%","28%",103,33,105,6.3,"71.0%","35.2%","19.2%","39%",326,-14,-2.6,8.9,"27.9%",515,"26.0%",,328,"26.6%",,0.67,0.12,0.38
"HiRit","Misfits Gaming","Top",18,"44%","39%",46,49,95,2.9,"55.5%","18.1%","19.8%","28%",98,202,-2.1,7.5,"22.8%",461,"23.7%",,237,"20.9%",,0.31,0.14,0.19
"Humanoid","MAD Lions","ADC",1,"0%","100%",2,6,11,2.2,"76.5%","11.8%","20.7%","0%",550,95,13,8.1,"28.0%",481,"25.1%",,261,"23.2%",,0.26,0,0.11
"Humanoid","MAD Lions","Middle",17,"59%","41%",50,55,118,3.1,"65.9%","19.6%","23.4%","24%",313,85,6.8,9.2,"28.2%",523,"27.0%",,297,"24.9%",,0.41,0.12,0.22
"Hylissang","Fnatic","Support",18,"50%","22%",10,99,160,1.7,"60.5%","3.6%","32.2%","33%",146,211,3.1,1.6,"3.8%",179,"8.9%",,114,"9.6%",,1.3,0.48,0.34
"Inspired","Rogue","Jungle",18,"78%","56%",64,34,124,5.5,"64.2%","21.8%","19.8%","50%",58,157,2.9,6.5,"17.6%",306,"15.4%",,229,"18.5%",,0.49,0.23,0.4
"Jankos","G2 Esports","Jungle",18,"78%","61%",85,48,110,4.1,"61.1%","26.6%","21.1%","11%",-26,14,-3.5,6.5,"18.8%",415,"18.2%",,245,"19.5%",,0.42,0.27,0.45
"Jeskla","Astralis","ADC",18,"33%","56%",80,55,64,2.6,"62.6%","34.8%","18.6%","11%",-165,-191,-2.6,9.1,"32.5%",518,"28.7%",,289,"27.7%",,0.51,0.18,0.28
"Jezu","SK Gaming","ADC",18,"44%","61%",75,40,85,4,"74.1%","34.7%","18.3%","28%",-106,-276,-8.8,8.5,"27.2%",400,"24.5%",,265,"24.4%",,0.4,0.16,0.21
"JNX","SK Gaming","Top",18,"44%","44%",43,36,86,3.6,"59.7%","19.9%","16.5%","17%",-31,-22,1.6,8,"22.9%",374,"22.3%",,239,"21.8%",,0.41,0.1,0.17
"Kaiser","MAD Lions","Support",17,"59%","47%",20,50,172,3.8,"75.3%","7.8%","21.3%","29%",0,28,3.1,1.3,"3.2%",181,"9.5%",,113,"9.4%",,1.68,0.52,0.34
"Kaiser","MAD Lions","Top",1,"0%","0%",6,4,1,1.8,"41.2%","35.3%","13.8%","100%",339,-38,11,8.9,"30.1%",359,"18.8%",,330,"29.4%",,0.22,0.11,0.11
"Kobbe","Misfits Gaming","ADC",18,"44%","61%",63,29,89,5.2,"59.8%","24.8%","11.7%","39%",154,137,12.2,9.1,"29.3%",473,"23.8%",,296,"26.0%",,0.38,0.09,0.25
"Kryze","Excel Esports","Top",18,"39%","39%",33,35,84,3.3,"65.4%","18.4%","13.8%","11%",-153,-51,-4,7.5,"23.5%",339,"19.8%",,225,"22.0%",,0.38,0.11,0.12
"Labrov","Team Vitality","Support",18,"28%","44%",10,70,126,1.9,"73.1%","5.4%","30.7%","22%",-89,-52,-4.3,1,"2.4%",134,"7.8%",,87,"8.4%",,1.52,0.48,0.34
"Larssen","Rogue","Middle",18,"78%","33%",77,26,127,7.8,"69.6%","26.3%","15.1%","17%",80,122,5.2,9.6,"27.9%",539,"27.0%",,318,"25.5%",,0.37,0.08,0.17
"LIMIT","FC Schalke 04 Esports","Support",18,"50%","56%",15,51,135,2.9,"73.2%","7.3%","22.7%","22%",-111,-89,-0.1,1.6,"4.0%",139,"7.9%",,103,"9.3%",,1.53,0.46,0.25
"MagiFelix","Astralis","Middle",11,"45%","45%",38,27,67,3.9,"63.6%","23.0%","16.7%","18%",-153,124,1.8,9,"29.1%",527,"27.7%",,276,"25.4%",,0.34,0.09,0.17
"Mikyx","G2 Esports","Support",18,"78%","39%",15,73,190,2.8,"64.3%","4.7%","32.2%","22%",90,-8,5.8,1.7,"3.8%",172,"7.8%",,125,"9.8%",,1.68,0.58,0.33
"Milica","Team Vitality","Middle",18,"28%","44%",38,33,87,3.8,"67.2%","20.4%","14.5%","17%",-246,-104,-7.1,8.4,"25.4%",410,"24.7%",,247,"23.6%",,0.46,0.2,0.24
"Neon","FC Schalke 04 Esports","ADC",18,"50%","56%",69,39,79,3.8,"72.2%","33.7%","17.3%","22%",27,35,0.9,8.6,"27.4%",461,"26.4%",,287,"25.4%",,0.49,0.2,0.34
"Nisqy","Fnatic","Middle",18,"50%","67%",44,54,130,3.2,"61.9%","15.7%","17.6%","17%",-20,-215,-4.6,8,"23.9%",455,"22.7%",,254,"21.5%",,0.49,0.21,0.11
"Nukeduck","Astralis","Middle",7,"14%","29%",15,24,31,1.9,"70.8%","23.1%","18.0%","29%",106,105,3.3,8.2,"26.6%",527,"30.1%",,235,"24.4%",,0.37,0.12,0.14
"Odoamne","Rogue","Top",18,"78%","28%",34,23,132,7.2,"56.7%","11.6%","13.4%","0%",183,80,7,8,"22.9%",469,"23.6%",,250,"20.3%",,0.41,0.1,0.2
"Patrik","Excel Esports","ADC",18,"39%","44%",67,50,71,2.8,"77.1%","37.4%","19.7%","17%",-297,10,-2.2,8.7,"30.0%",516,"30.1%",,280,"26.6%",,0.58,0.18,0.28
"promisq","Astralis","Support",18,"33%","44%",11,75,132,1.9,"62.2%","4.8%","25.4%","17%",-158,-48,-0.1,1.1,"3.0%",128,"7.1%",,92,"8.9%",,1.51,0.52,0.39
"Razork","Misfits Gaming","Jungle",18,"44%","44%",66,60,110,2.9,"69.3%","26.0%","24.2%","39%",45,132,2.8,6.4,"17.7%",432,"20.6%",,228,"19.9%",,0.42,0.26,0.34
"Rekkles","G2 Esports","ADC",18,"78%","28%",101,18,126,12.6,"71.2%","31.7%","7.9%","11%",-21,94,-6.8,9.3,"30.7%",574,"24.9%",,337,"26.8%",,0.54,0.12,0.45
"Selfmade","Fnatic","Jungle",18,"50%","50%",67,57,113,3.2,"64.1%","23.8%","18.6%","28%",153,224,6.2,6.7,"20.2%",398,"19.9%",,242,"20.6%",,0.33,0.27,0.25
"Skeanz","Team Vitality","Jungle",18,"28%","61%",52,35,81,3.8,"71.5%","28.0%","15.4%","33%",-8,-248,-4.8,5.8,"16.8%",299,"17.2%",,195,"18.4%",,0.39,0.36,0.3
"Szygenda","Team Vitality","Top",18,"28%","33%",24,44,85,2.5,"58.6%","12.9%","19.3%","17%",-67,-76,-0.3,7.5,"21.8%",416,"23.3%",,222,"20.8%",,0.56,0.23,0.21
"Tore","Excel Esports","Support",18,"39%","67%",11,68,118,1.9,"72.1%","6.1%","26.8%","28%",-67,-234,1.8,1.4,"3.9%",157,"9.0%",,92,"9.0%",,1.42,0.47,0.44
"Treatz","SK Gaming","Support",18,"44%","50%",15,58,163,3.1,"82.4%","6.9%","26.6%","33%",48,201,-0.8,1,"2.1%",145,"8.7%",,95,"8.6%",,1.48,0.48,0.27
"Trymbi","Rogue","Support",18,"78%","61%",15,56,174,3.4,"64.5%","5.1%","32.6%","44%",219,-16,1,1.5,"3.7%",159,"8.0%",,115,"9.2%",,1.42,0.5,0.38
"TynX","SK Gaming","Jungle",18,"44%","50%",38,42,115,3.6,"70.8%","17.6%","19.3%","33%",-139,-108,-2.6,6.3,"18.2%",285,"16.9%",,210,"19.3%",,0.25,0.24,0.33
"Upset","Fnatic","ADC",18,"50%","56%",96,32,95,6,"68.0%","34.2%","10.4%","33%",218,104,6.6,8.2,"27.3%",494,"24.2%",,307,"26.1%",,0.52,0.12,0.29
"Vander","Misfits Gaming","Support",18,"44%","72%",17,59,159,3,"69.3%","6.7%","23.8%","39%",-85,16,-9.2,1,"2.4%",158,"8.0%",,102,"8.9%",,1.66,0.56,0.29
"Vetheo","Misfits Gaming","Middle",18,"44%","44%",62,51,92,3,"60.6%","24.4%","20.6%","22%",-183,-112,-4.1,9,"27.9%",470,"24.0%",,276,"24.3%",,0.35,0.14,0.2
"WhiteKnight","Astralis","Top",18,"33%","78%",50,53,92,2.7,"61.7%","21.7%","18.0%","22%",-169,-47,-8.1,6.8,"20.8%",391,"20.9%",,215,"20.9%",,0.42,0.17,0.14
"Wunder","G2 Esports","Top",18,"78%","67%",44,54,133,3.3,"55.5%","13.8%","23.8%","11%",183,41,7,8,"22.0%",489,"22.5%",,256,"20.1%",,0.46,0.13,0.14
"Zanzarah","Astralis","Jungle",18,"33%","50%",36,61,112,2.4,"64.3%","15.7%","20.7%","33%",-193,-299,-4.9,5.4,"15.5%",275,"14.7%",,180,"17.6%",,0.43,0.35,0.29
