"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","Excel Esports","Middle",8,"25%","88%",26,17,40,3.9,"66.0%","26.0%","15.6%","25%",104,221,1.1,9.3,"28.3%",613,"31.6%","34.0%",281,"24.6%",0,0.47,0.21,0.27
"Adam","Team BDS","Top",12,"50%","58%",28,37,54,2.2,"53.9%","18.4%","22.4%","25%",-83,-283,-2.3,8,"24.8%",406,"18.9%","14.7%",259,"22.7%",0,0.47,0.23,0.18
"BrokenBlade","G2 Esports","Top",12,"75%","67%",45,13,61,8.2,"48.6%","20.6%","8.8%","33%",-54,4,-6.1,7.8,"23.7%",574,"22.2%","19.2%",288,"21.7%",0,0.44,0.1,0.09
"Caps","G2 Esports","Middle",12,"75%","33%",66,29,69,4.7,"61.9%","30.3%","19.6%","17%",102,328,5.4,9,"27.2%",720,"29.2%","31.9%",345,"26.1%",0,0.18,0.03,0.26
"Carzzy","MAD Lions","ADC",12,"50%","73%",65,34,61,3.7,"70.8%","36.5%","17.3%","25%",20,30,3.9,9.4,"31.2%",788,"30.8%","33.7%",337,"28.5%",0,0.54,0.19,0.39
"Chasy","MAD Lions","Top",12,"50%","55%",30,34,59,2.6,"50.0%","16.9%","17.3%","17%",-2,68,0.1,7.4,"21.6%",482,"19.7%","16.5%",244,"20.4%",0,0.36,0.18,0.16
"Crownie","Team BDS","ADC",12,"50%","33%",59,31,65,4,"81.6%","38.8%","18.8%","25%",120,113,3.8,10.4,"34.1%",717,"31.6%","33.4%",339,"28.8%",0,0.36,0.07,0.41
"Doss","SK Gaming","Support",3,"0%","33%",2,7,22,3.4,"80.0%","6.7%","15.6%","0%",-189,224,0.7,0.9,"2.1%",124,"5.5%","4.2%",89,"8.2%",0,2.01,0.42,0.31
"Elyoya","MAD Lions","Jungle",12,"50%","55%",24,30,106,4.3,"73.0%","13.5%","15.3%","33%",-405,-170,-8.9,5,"15.7%",332,"13.3%","13.6%",196,"17.1%",1,0.4,0.3,0.42
"Exakick","SK Gaming","ADC",3,"0%","33%",13,5,8,4.2,"70.0%","43.3%","11.1%","0%",-42,-470,-3,10.5,"38.9%",900,"40.7%","44.0%",322,"29.7%",0,0.54,0.21,0.32
"Hans Sama","G2 Esports","ADC",12,"75%","67%",66,30,68,4.5,"61.5%","30.3%","20.3%","25%",87,135,4.1,9.3,"30.9%",656,"25.5%","26.4%",328,"24.7%",0,0.48,0.09,0.28
"Humanoid","Fnatic","Middle",19,"53%","50%",68,46,113,3.9,"64.9%","24.4%","15.6%","5%",-64,-23,-0.1,9.1,"29.3%",727,"29.9%","31.7%",307,"25.6%",0,0.37,0.05,0.28
"Hylissang","MAD Lions","Support",12,"50%","45%",9,61,120,2.1,"72.5%","5.1%","31.1%","42%",-107,105,0.2,1.1,"2.1%",168,"6.8%","5.7%",110,"9.3%",0,1.41,0.36,0.25
"Irrelevant","SK Gaming","Top",3,"0%","33%",3,7,14,2.4,"56.7%","10.0%","15.6%","33%",351,765,5.3,7.7,"23.8%",418,"18.3%","15.2%",257,"24.2%",0,0.42,0.17,0.3
"Labrov","Team BDS","Support",12,"50%","83%",4,39,121,3.2,"82.2%","2.6%","23.6%","33%",81,-128,-2.2,1,"2.4%",137,"6.7%","5.3%",103,"8.9%",0,1.64,0.46,0.31
"LIMIT","Excel Esports","Support",8,"25%","50%",3,31,69,2.3,"72.0%","3.0%","28.4%","25%",-189,0,1.3,1.1,"2.4%",105,"5.7%","5.3%",96,"8.3%",0,1.82,0.51,0.28
"Markoon","SK Gaming","Jungle",3,"0%","67%",3,16,26,1.8,"96.7%","10.0%","35.6%","33%",241,-39,1.7,4.4,"11.2%",311,"13.8%","14.3%",171,"15.7%",0,0.28,0.24,0.37
"Mikyx","G2 Esports","Support",12,"75%","42%",13,44,136,3.4,"68.3%","6.0%","29.7%","25%",229,89,1.9,1.3,"3.2%",203,"8.2%","6.2%",131,"9.7%",0,1.76,0.46,0.4
"Nisqy","MAD Lions","Middle",12,"50%","36%",50,37,48,2.6,"55.1%","28.1%","18.9%","17%",-3,-273,-1.5,8.8,"29.4%",707,"29.4%","30.6%",289,"24.8%",0,0.47,0.18,0.19
"Noah","Fnatic","ADC",19,"53%","61%",101,56,109,3.8,"75.3%","36.2%","19.0%","42%",-63,39,-3.6,8.8,"29.4%",602,"24.5%","26.0%",309,"25.4%",0,0.44,0.16,0.31
"nuc","Team BDS","Middle",12,"50%","58%",47,31,60,3.5,"70.4%","30.9%","18.8%","25%",5,-163,-3.5,8.5,"25.3%",618,"29.0%","31.3%",275,"23.8%",0,0.31,0.13,0.2
"Odoamne","Excel Esports","Top",8,"25%","25%",21,22,36,2.6,"57.0%","21.0%","20.2%","13%",160,64,2.1,8.1,"22.3%",397,"20.7%","13.7%",252,"21.6%",0,0.38,0.11,0.15
"Oscarinin","Fnatic","Top",5,"60%","60%",10,13,32,3.2,"64.6%","15.4%","20.6%","0%",-127,-109,0.8,7.9,"21.1%",475,"19.8%","15.3%",244,"19.4%",0,0.42,0.16,0.2
"Patrik","Excel Esports","ADC",8,"25%","0%",40,15,36,5.1,"76.0%","40.0%","13.8%","0%",-182,-325,-8,9.7,"33.1%",626,"30.4%","34.4%",336,"28.6%",0,0.4,0.11,0.2
"Peach","Excel Esports","Jungle",8,"25%","88%",10,24,61,3,"71.0%","10.0%","22.0%","13%",93,92,4.1,5.3,"13.9%",232,"11.6%","12.7%",194,"17.0%",1,0.37,0.26,0.26
"Razork","Fnatic","Jungle",19,"53%","50%",51,62,164,3.5,"77.1%","18.3%","21.0%","32%",113,152,7.6,5.9,"17.1%",486,"19.5%","20.9%",239,"19.7%",1,0.39,0.18,0.33
"Sertuss","SK Gaming","Middle",3,"0%","33%",9,10,12,2.1,"70.0%","30.0%","22.2%","0%",-310,-107,-4.3,8,"24.0%",515,"21.7%","22.4%",244,"22.2%",0,0.47,0.15,0.16
"Sheo","Team BDS","Jungle",12,"50%","33%",14,27,109,4.6,"80.9%","9.2%","16.4%","42%",-81,-52,-4.9,5,"13.5%",311,"13.8%","15.2%",182,"15.8%",1,0.25,0.19,0.34
"Trymbi","Fnatic","Support",19,"53%","39%",18,81,182,2.5,"71.7%","6.5%","27.5%","47%",-26,-75,-0.6,1.1,"2.7%",171,"7.0%","6.0%",114,"9.3%",0,1.3,0.26,0.28
"Wunder","Fnatic","Top",14,"50%","38%",31,37,72,2.8,"48.1%","14.5%","15.9%","7%",-3,25,4.8,7.6,"21.7%",465,"18.9%","15.5%",243,"20.3%",0,0.51,0.16,0.16
"Yike","G2 Esports","Jungle",12,"75%","33%",28,32,128,4.9,"71.6%","12.8%","21.6%","50%",161,-71,-1.5,5.2,"15.0%",342,"14.9%","16.3%",235,"17.7%",1,0.3,0.19,0.2
