"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Astralis","Jungle",7,"29%","43%",7,41,60,1.6,"82.7%","8.6%","25.9%","43%",-463,-317,-11.1,3.9,"10.7%",337,"15.1%","14.8%",161,"14.3%",2,0.24,0.23,0.21
"Adam","Team BDS","Top",4,"100%","75%",7,13,37,3.4,"56.4%","9.0%","37.1%","0%",-637,-765,-14.3,6.6,"18.6%",371,"16.6%","14.8%",225,"17.5%",0,0.51,0.3,0.2
"Advienne","Fnatic","Support",6,"33%","67%",8,16,62,4.4,"72.9%","8.3%","16.3%","33%",-98,-73,-0.5,1,"1.9%",144,"6.1%","5.2%",102,"8.6%",0,1.72,0.53,0.31
"Bo","Team Vitality","Jungle",4,"100%","25%",28,15,47,5,"80.6%","30.1%","38.5%","100%",775,279,4.8,5.7,"18.7%",628,"23.0%","23.6%",302,"21.6%",0,0.39,0.3,0.25
"BrokenBlade","G2 Esports","Top",8,"63%","75%",27,20,47,3.7,"63.2%","23.1%","18.3%","50%",340,187,-4.4,7.5,"21.1%",553,"24.1%","24.6%",266,"21.2%",0,0.52,0.2,0.12
"Caps","G2 Esports","Middle",8,"63%","50%",21,33,38,1.8,"50.4%","17.9%","30.3%","0%",-110,-27,1,8.3,"22.6%",416,"19.2%","16.7%",270,"21.3%",0,0.28,0.1,0.28
"Carzzy","MAD Lions","ADC",7,"57%","43%",54,25,46,4,"74.1%","40.0%","22.1%","0%",19,-403,-2.1,10,"34.4%",857,"34.0%","39.2%",370,"29.1%",0,0.34,0.04,0.3
"Chasy","MAD Lions","Top",7,"57%","43%",21,19,61,4.3,"60.7%","15.6%","16.8%","14%",328,99,6.3,8.2,"25.3%",523,"21.7%","18.5%",272,"22.0%",0,0.34,0.17,0.22
"Comp","KOI","ADC",8,"38%","63%",29,15,35,4.3,"59.8%","27.1%","11.9%","0%",-237,-233,-8.1,9.8,"34.9%",564,"26.3%","30.7%",303,"26.8%",0,0.44,0.15,0.26
"Crownie","Team BDS","ADC",4,"100%","25%",25,4,30,13.8,"70.5%","32.1%","11.4%","25%",486,275,10.5,10.5,"36.7%",677,"31.5%","35.2%",376,"29.1%",0,0.49,0.17,0.39
"Doss","SK Gaming","Support",4,"0%","75%",1,12,20,1.8,"56.8%","2.7%","17.1%","0%",-340,-678,-3.8,0.5,"1.7%",139,"6.9%","3.4%",74,"7.7%",0,1.63,0.36,0.29
"Elyoya","MAD Lions","Jungle",7,"57%","43%",19,19,83,5.4,"75.6%","14.1%","16.8%","29%",-108,66,1.1,5,"14.5%",284,"12.1%","12.7%",210,"16.6%",0,0.3,0.32,0.42
"Exakick","SK Gaming","ADC",4,"0%","25%",10,11,8,1.6,"48.6%","27.0%","15.7%","25%",-569,-376,-6,9.3,"35.5%",541,"27.6%","32.6%",273,"28.2%",0,0.53,0.24,0.44
"Execute","Astralis","Support",7,"29%","29%",1,33,60,1.8,"75.3%","1.2%","20.9%","29%",-20,-203,-0.9,1.1,"2.9%",152,"6.9%","6.3%",100,"9.0%",0,1.71,0.5,0.35
"Finn","Astralis","Top",7,"29%","29%",15,28,26,1.5,"50.6%","18.5%","17.7%","0%",-163,62,-11.1,7.1,"22.4%",487,"22.8%","19.8%",238,"21.7%",0,0.52,0.12,0.16
"Hans Sama","G2 Esports","ADC",8,"63%","63%",24,13,42,5.1,"56.4%","20.5%","11.9%","13%",279,284,5.9,9.8,"31.2%",502,"22.8%","24.0%",324,"25.5%",0,0.4,0.07,0.3
"Humanoid","Fnatic","Middle",6,"33%","33%",23,22,52,3.4,"78.1%","24.0%","22.4%","17%",135,-82,1.3,8.3,"25.1%",733,"31.0%","29.0%",295,"24.8%",0,0.39,0.05,0.18
"Hylissang","MAD Lions","Support",7,"57%","57%",6,30,100,3.5,"78.5%","4.4%","26.5%","14%",108,291,0,1,"2.2%",161,"6.8%","5.4%",113,"8.8%",0,1.52,0.42,0.26
"Irrelevant","SK Gaming","Top",4,"0%","50%",5,18,14,1.1,"51.4%","13.5%","25.7%","25%",-62,-20,-2.3,7,"21.2%",479,"24.9%","24.4%",204,"21.0%",0,0.44,0.2,0.07
"Kaiser","Team Vitality","Support",4,"100%","50%",5,5,58,12.6,"67.7%","5.4%","12.8%","50%",-8,-44,2.3,1.1,"2.5%",180,"6.8%","5.6%",139,"10.0%",0,1.36,0.25,0.3
"Kobbe","Astralis","ADC",7,"29%","29%",32,20,25,2.9,"70.4%","39.5%","12.7%","29%",73,225,3.6,9.7,"35.2%",701,"31.3%","34.0%",339,"29.7%",0,0.33,0.07,0.36
"Labrov","Team BDS","Support",4,"100%","25%",2,5,59,12.2,"78.2%","2.6%","14.3%","25%",117,166,5.8,1.1,"2.4%",173,"8.3%","6.2%",132,"10.2%",0,1.6,0.51,0.33
"Larssen","KOI","Middle",8,"38%","63%",35,23,36,3.1,"66.4%","32.7%","18.3%","13%",10,37,-1.1,7.8,"24.5%",491,"23.2%","21.8%",261,"23.4%",0,0.25,0.05,0.13
"LIDER","Astralis","Middle",7,"29%","71%",26,36,29,1.5,"67.9%","32.1%","22.8%","14%",-54,-83,0,8.6,"28.8%",515,"23.9%","25.0%",283,"25.3%",0,0.29,0.09,0.11
"Malrang","KOI","Jungle",8,"38%","88%",18,28,50,2.4,"63.6%","16.8%","22.2%","13%",-407,-317,-13,4.3,"13.6%",301,"14.0%","12.4%",180,"15.9%",2,0.49,0.33,0.33
"Markoon","SK Gaming","Jungle",4,"0%","50%",10,17,14,1.4,"64.9%","27.0%","24.3%","75%",-344,-108,-1.3,5,"14.8%",312,"15.9%","15.8%",196,"20.3%",0,0.35,0.32,0.31
"Mikyx","G2 Esports","Support",8,"63%","63%",14,24,60,3.1,"63.2%","12.0%","22.0%","13%",174,343,0.4,0.9,"2.7%",252,"10.9%","9.7%",137,"10.6%",0,1.49,0.37,0.41
"Nisqy","MAD Lions","Middle",7,"57%","71%",35,20,71,5.3,"78.5%","25.9%","17.7%","29%",-183,74,-1,7.9,"23.6%",597,"25.4%","24.3%",288,"23.4%",0,0.39,0.14,0.18
"nuc","Team BDS","Middle",4,"100%","50%",26,6,25,8.5,"65.4%","33.3%","17.1%","25%",171,-61,6.5,8.7,"26.2%",660,"29.5%","30.9%",313,"24.2%",0,0.45,0.16,0.1
"Oscarinin","Fnatic","Top",6,"33%","50%",14,25,31,1.8,"46.9%","14.6%","25.5%","17%",-230,-84,3.5,7.4,"21.8%",450,"19.2%","17.9%",231,"19.7%",0,0.38,0.1,0.17
"Perkz","Team Vitality","Middle",4,"100%","0%",22,4,46,17,"73.1%","23.7%","10.3%","75%",211,139,-0.3,7.9,"21.3%",673,"25.5%","25.7%",312,"22.3%",0,0.4,0.14,0.12
