"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Adam","Team BDS","Top",8,"63%","63%",14,24,39,2.2,"49.1%","13.0%","25.0%","0%",-730,-409,-15.1,6.8,"21.1%",347,"18.1%","14.3%",202,"18.3%",0,0.41,0.21,0.17
"Bo","Team Vitality","Jungle",7,"14%","43%",10,38,30,1.1,"65.6%","16.4%","31.7%","43%",-320,-286,-4.7,4.9,"13.3%",259,"13.4%","13.2%",162,"15.7%",2,0.34,0.28,0.35
"BrokenBlade","G2 Esports","Top",5,"40%","60%",15,13,22,2.8,"52.9%","21.4%","18.6%","40%",338,211,9.4,7.6,"23.6%",503,"22.1%","20.7%",245,"21.0%",0,0.4,0.12,0.22
"Caps","G2 Esports","Middle",5,"40%","40%",11,18,24,1.9,"50.0%","15.7%","25.7%","20%",197,218,5.8,8.1,"25.3%",479,"22.8%","22.7%",257,"22.5%",0,0.3,0.06,0.26
"Carzzy","MAD Lions","ADC",14,"64%","36%",69,34,64,3.9,"62.1%","32.2%","20.0%","14%",-2,61,0.9,9.6,"32.9%",679,"31.5%","34.9%",333,"27.1%",0,0.34,0.04,0.26
"Chasy","MAD Lions","Top",14,"64%","43%",50,28,78,4.6,"59.8%","23.4%","16.5%","29%",245,101,1.7,8,"24.4%",552,"25.0%","24.7%",292,"23.6%",0,0.42,0.2,0.18
"Crownie","Team BDS","ADC",8,"63%","50%",44,13,41,6.5,"78.7%","40.7%","13.5%","13%",13,-104,2,9.8,"34.6%",660,"33.9%","38.8%",358,"32.0%",0,0.39,0.11,0.43
"Elyoya","MAD Lions","Jungle",14,"64%","57%",35,26,118,5.9,"71.5%","16.4%","15.3%","36%",118,172,2.4,5.5,"16.1%",279,"13.4%","12.8%",230,"18.6%",2,0.36,0.31,0.4
"Hans Sama","G2 Esports","ADC",5,"40%","60%",25,9,26,5.7,"72.9%","35.7%","12.9%","20%",131,140,1.4,9.4,"32.9%",646,"29.5%","32.0%",318,"27.3%",0,0.39,0.08,0.38
"Hylissang","MAD Lions","Support",14,"64%","50%",14,44,99,2.6,"52.8%","6.5%","25.9%","14%",43,131,-0.8,1.2,"3.3%",148,"6.7%","5.1%",117,"9.5%",0,1.51,0.38,0.39
"Kaiser","Team Vitality","Support",7,"14%","43%",4,24,37,1.7,"67.2%","6.6%","20.0%","14%",-25,-186,-1,0.9,"1.7%",120,"6.2%","5.4%",83,"8.1%",0,1.62,0.39,0.24
"Labrov","Team BDS","Support",8,"63%","50%",6,26,71,3,"71.3%","5.6%","27.1%","25%",-64,-11,2.3,1,"2.3%",128,"7.0%","6.0%",105,"9.3%",0,1.44,0.39,0.24
"Mikyx","G2 Esports","Support",5,"40%","60%",3,14,45,3.4,"68.6%","4.3%","20.0%","20%",17,-89,0,1.2,"2.4%",172,"8.1%","6.0%",113,"9.7%",0,1.88,0.48,0.3
"Nisqy","MAD Lions","Middle",14,"64%","50%",46,38,97,3.8,"66.8%","21.5%","22.4%","21%",-33,-5,-1.9,7.9,"23.3%",504,"23.4%","22.4%",262,"21.3%",0,0.37,0.16,0.21
"nuc","Team BDS","Middle",8,"63%","63%",29,13,49,6,"72.2%","26.9%","13.5%","13%",-71,-234,-4.1,8.1,"26.9%",488,"25.6%","25.8%",261,"23.2%",0,0.39,0.2,0.16
"Perkz","Team Vitality","Middle",7,"14%","43%",20,28,24,1.6,"72.1%","32.8%","23.3%","29%",5,123,4.3,8.5,"26.6%",606,"29.6%","30.6%",266,"25.6%",0,0.43,0.15,0.17
"Photon","Team Vitality","Top",7,"14%","43%",11,24,20,1.3,"50.8%","18.0%","20.0%","29%",103,114,7.1,7.8,"22.6%",456,"22.8%","20.3%",234,"22.6%",0,0.35,0.08,0.17
"Sheo","Team BDS","Jungle",8,"63%","38%",15,20,63,3.9,"72.2%","13.9%","20.8%","13%",-52,-243,-5.1,4.8,"15.1%",293,"15.4%","15.1%",192,"17.1%",1,0.33,0.23,0.34
"Upset","Team Vitality","ADC",7,"14%","71%",16,6,21,6.2,"60.7%","26.2%","5.0%","14%",-105,-102,-5.1,10.1,"35.8%",533,"28.0%","30.5%",287,"28.0%",0,0.48,0.14,0.31
"Yike","G2 Esports","Jungle",5,"40%","60%",16,16,28,2.8,"62.9%","22.9%","22.9%","40%",203,308,8,5.4,"15.8%",384,"17.4%","18.7%",231,"19.5%",1,0.29,0.19,0.35
