"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Astralis","Jungle",9,"67%","44%",24,25,75,4,"75.6%","18.3%","20.8%","44%",-245,-318,-8.4,4.4,"14.0%",339,"16.2%","15.9%",201,"17.4%",0,0.5,0.35,0.28
"Abbedagge","Excel Esports","Middle",3,"0%","33%",8,12,10,1.5,"66.7%","29.6%","24.0%","0%",-639,-413,-16,7.4,"24.3%",546,"25.6%","25.9%",219,"22.7%",0,0.44,0.16,0.12
"Adam","Team BDS","Top",9,"78%","89%",28,29,48,2.6,"56.3%","20.7%","27.4%","11%",-12,-198,2.1,7.6,"23.4%",511,"22.1%","19.4%",262,"22.6%",0,0.43,0.15,0.21
"Advienne","Fnatic","Support",9,"44%","44%",11,23,79,3.9,"68.2%","8.3%","16.8%","44%",26,6,0,0.7,"1.7%",187,"9.1%","8.9%",103,"8.7%",0,1.65,0.45,0.31
"Bo","Team Vitality","Jungle",9,"67%","44%",36,19,59,5,"62.9%","23.8%","23.5%","44%",168,-21,-2,5.2,"15.2%",387,"15.6%","16.1%",215,"16.9%",2,0.44,0.24,0.4
"BrokenBlade","G2 Esports","Top",9,"67%","56%",46,21,59,5,"58.7%","25.7%","16.9%","11%",56,48,-5.1,7.4,"22.4%",569,"21.5%","19.3%",291,"22.0%",0,0.53,0.19,0.16
"Caps","G2 Esports","Middle",9,"67%","56%",37,28,66,3.7,"57.5%","20.7%","22.6%","11%",1,23,-2,8.1,"25.0%",656,"24.8%","25.2%",286,"21.8%",0,0.31,0.09,0.18
"Carzzy","MAD Lions","ADC",10,"40%","20%",47,30,37,2.8,"69.4%","38.8%","16.3%","20%",36,166,3.8,9.6,"32.9%",817,"33.7%","37.0%",327,"28.7%",0,0.37,0.06,0.33
"Chasy","MAD Lions","Top",10,"40%","20%",19,36,45,1.8,"52.9%","15.7%","19.6%","10%",-5,128,4,7.7,"23.7%",452,"20.0%","16.7%",242,"22.0%",0,0.37,0.18,0.18
"Comp","KOI","ADC",9,"44%","56%",25,21,41,3.1,"71.0%","26.9%","16.0%","11%",-438,-151,-3.1,9.5,"33.2%",526,"25.5%","26.6%",306,"27.8%",0,0.38,0.13,0.32
"Crownie","Team BDS","ADC",9,"78%","44%",54,20,49,5.2,"76.3%","40.0%","18.9%","33%",399,111,6.2,10.1,"35.1%",666,"30.3%","33.7%",338,"28.9%",0,0.41,0.1,0.47
"Doss","SK Gaming","Support",9,"44%","67%",5,29,75,2.8,"74.8%","4.7%","24.8%","44%",76,255,2,0.9,"2.3%",149,"7.9%","6.3%",96,"8.8%",0,1.63,0.34,0.35
"Elyoya","MAD Lions","Jungle",10,"40%","70%",28,32,69,3,"80.2%","23.1%","17.4%","30%",-17,-36,-0.3,5,"14.1%",327,"13.0%","13.4%",192,"17.1%",1,0.44,0.33,0.37
"Evi","Team Heretics","Top",10,"30%","80%",34,37,59,2.5,"54.1%","19.8%","21.1%","40%",-132,32,-1.1,7.1,"22.4%",476,"20.8%","19.1%",240,"21.4%",0,0.34,0.14,0.15
"Exakick","SK Gaming","ADC",9,"44%","56%",23,18,36,3.3,"55.1%","21.5%","15.4%","22%",-144,-158,-0.2,10.4,"36.7%",499,"26.5%","28.7%",313,"28.7%",0,0.5,0.18,0.43
"Execute","Astralis","Support",9,"67%","67%",11,30,88,3.3,"75.6%","8.4%","25.0%","56%",96,-22,0.9,1,"2.8%",181,"8.7%","7.3%",124,"10.6%",0,1.85,0.49,0.34
"Finn","Astralis","Top",9,"67%","44%",21,18,46,3.7,"51.1%","16.0%","15.0%","11%",-389,-323,-16.3,7.3,"24.6%",453,"21.7%","20.2%",238,"20.4%",0,0.49,0.18,0.12
"Hans Sama","G2 Esports","ADC",9,"67%","56%",52,22,56,4.9,"60.3%","29.1%","17.7%","0%",636,171,7.6,9.6,"32.5%",691,"26.3%","29.1%",358,"27.5%",0,0.39,0.1,0.27
"Humanoid","Fnatic","Middle",9,"44%","56%",26,22,61,4,"65.9%","19.7%","16.1%","22%",-23,-1,-0.4,8.7,"27.8%",681,"28.5%","27.9%",263,"23.2%",0,0.43,0.1,0.22
"Hylissang","MAD Lions","Support",10,"40%","40%",4,53,68,1.4,"59.5%","3.3%","28.8%","30%",-119,-146,2.7,1.2,"3.5%",196,"8.5%","8.0%",107,"9.3%",0,1.4,0.34,0.36
"Irrelevant","SK Gaming","Top",9,"44%","33%",17,24,44,2.5,"57.0%","15.9%","20.5%","33%",79,-2,-0.1,8,"24.2%",448,"23.1%","20.6%",241,"22.2%",0,0.42,0.22,0.18
"Jackspektra","Team Heretics","ADC",10,"30%","50%",56,27,64,4.4,"69.8%","32.6%","15.4%","40%",-377,-68,-5.8,9.9,"36.0%",654,"27.1%","28.8%",327,"28.7%",1,0.32,0.03,0.39
"Jankos","Team Heretics","Jungle",10,"30%","70%",46,36,87,3.7,"77.3%","26.7%","20.6%","70%",173,159,1.8,5.3,"16.0%",380,"15.7%","15.9%",223,"19.7%",2,0.31,0.22,0.41
"Kaiser","Team Vitality","Support",9,"67%","44%",5,15,109,7.6,"75.5%","3.3%","18.5%","11%",-14,231,3.6,0.9,"2.1%",185,"7.5%","6.5%",127,"10.1%",0,1.54,0.31,0.34
"Kobbe","Astralis","ADC",9,"67%","33%",40,17,54,5.5,"71.8%","30.5%","14.2%","56%",285,94,4.7,8.9,"29.5%",570,"26.3%","28.1%",312,"26.3%",0,0.37,0.09,0.32
"Labrov","Team BDS","Support",9,"78%","67%",3,25,103,4.2,"78.5%","2.2%","23.6%","44%",90,48,-0.7,0.9,"2.4%",158,"7.7%","6.2%",109,"9.4%",0,1.56,0.44,0.37
"Larssen","KOI","Middle",9,"44%","56%",26,19,31,3,"61.3%","28.0%","14.5%","11%",264,147,2.6,8.4,"25.9%",553,"27.5%","30.2%",272,"24.7%",0,0.29,0.06,0.16
"LIDER","Astralis","Middle",9,"67%","67%",35,30,40,2.5,"57.3%","26.7%","25.0%","33%",310,252,10.2,9,"29.1%",578,"27.1%","28.5%",300,"25.3%",0,0.34,0.11,0.14
"LIMIT","Excel Esports","Support",9,"22%","44%",9,31,55,2.1,"71.9%","10.1%","22.5%","22%",-216,-416,-1.7,0.7,"2.3%",189,"9.7%","8.3%",95,"9.4%",0,1.55,0.33,0.31
"Malrang","KOI","Jungle",9,"44%","33%",10,29,51,2.1,"65.6%","10.8%","22.1%","11%",-357,-166,-1.1,4.4,"12.5%",218,"11.9%","12.3%",154,"14.1%",1,0.43,0.3,0.32
"Markoon","SK Gaming","Jungle",9,"44%","33%",30,23,49,3.4,"73.8%","28.0%","19.7%","33%",159,137,0.8,4.7,"12.4%",296,"15.1%","15.9%",182,"16.9%",0,0.35,0.24,0.32
"Mersa","Team Heretics","Support",10,"30%","60%",3,42,123,3,"73.3%","1.7%","24.0%","40%",-76,-62,0,0.9,"2.3%",134,"5.7%","4.6%",92,"8.0%",0,1.85,0.47,0.3
"Mikyx","G2 Esports","Support",9,"67%","33%",11,34,109,3.5,"67.0%","6.1%","27.4%","0%",296,195,-4.3,1,"3.1%",321,"12.5%","11.2%",141,"10.7%",0,1.68,0.39,0.46
"Nisqy","MAD Lions","Middle",10,"40%","60%",23,33,52,2.3,"62.0%","19.0%","17.9%","20%",-96,41,2,8.6,"25.8%",584,"24.9%","25.0%",254,"22.9%",1,0.36,0.16,0.16
"nuc","Team BDS","Middle",9,"78%","44%",29,21,63,4.4,"68.1%","21.5%","19.8%","22%",-99,-128,-2.8,8,"24.2%",618,"26.8%","28.1%",260,"22.2%",0,0.42,0.18,0.18
"Odoamne","Excel Esports","Top",9,"22%","44%",19,26,29,1.8,"53.9%","21.3%","18.8%","0%",-39,14,3.3,7.6,"24.4%",429,"20.6%","17.3%",222,"22.4%",0,0.4,0.12,0.14
"Oscarinin","Fnatic","Top",9,"44%","56%",30,40,43,1.8,"55.3%","22.7%","29.2%","11%",-52,-247,-1.8,8,"25.5%",582,"26.0%","24.4%",277,"23.7%",0,0.44,0.16,0.18
"Patrik","Excel Esports","ADC",9,"22%","67%",32,24,29,2.5,"68.5%","36.0%","17.4%","11%",-403,51,-8.1,9,"32.2%",629,"29.9%","33.0%",284,"28.2%",0,0.39,0.1,0.27
"Perkz","Team Vitality","Middle",9,"67%","33%",19,17,63,4.8,"54.3%","12.6%","21.0%","0%",27,-208,-5.9,8.5,"25.3%",603,"24.7%","26.5%",267,"21.3%",1,0.48,0.15,0.17
"Photon","Team Vitality","Top",9,"67%","56%",39,22,46,3.9,"56.3%","25.8%","27.2%","33%",362,243,8.2,8.5,"25.3%",583,"24.8%","21.9%",304,"24.3%",0,0.26,0.07,0.23
"Razork","Fnatic","Jungle",9,"44%","67%",34,33,53,2.6,"65.9%","25.8%","24.1%","56%",317,183,5.1,5.1,"13.6%",317,"13.5%","13.1%",203,"17.7%",2,0.34,0.26,0.35
"Rekkles","Fnatic","ADC",9,"44%","44%",31,19,51,4.3,"62.1%","23.5%","13.9%","44%",-235,-200,-6,9.7,"31.3%",591,"22.9%","25.7%",308,"26.6%",0,0.44,0.15,0.47
"Ruby","Team Heretics","Middle",10,"30%","20%",33,33,80,3.4,"65.7%","19.2%","18.9%","30%",-13,-84,1.7,7.9,"23.4%",735,"30.6%","31.7%",251,"22.2%",0,0.48,0.17,0.25
"Sertuss","SK Gaming","Middle",9,"44%","67%",32,23,35,2.9,"62.6%","29.9%","19.7%","33%",3,92,-2.9,8.3,"24.5%",516,"27.4%","28.6%",260,"23.5%",0,0.51,0.17,0.17
"Sheo","Team BDS","Jungle",9,"78%","44%",21,11,82,9.4,"76.3%","15.6%","10.4%","56%",-17,-86,-2.3,5,"14.9%",304,"13.0%","12.5%",198,"16.9%",0,0.37,0.22,0.46
"Szygenda","KOI","Top",9,"44%","22%",25,23,30,2.4,"59.1%","26.9%","17.6%","11%",146,288,6.4,8.3,"26.1%",572,"27.7%","25.1%",268,"24.7%",0,0.49,0.15,0.23
"Trymbi","KOI","Support",9,"44%","33%",7,39,60,1.7,"72.0%","7.5%","29.8%","11%",-138,-66,-2.8,0.8,"2.3%",148,"7.4%","5.8%",98,"8.6%",0,1.42,0.25,0.38
"Upset","Team Vitality","ADC",9,"67%","78%",52,8,48,12.5,"66.2%","34.4%","9.9%","11%",278,-28,1.2,9.8,"32.1%",641,"27.4%","29.1%",349,"27.4%",0,0.47,0.14,0.34
"Vetheo","Excel Esports","Middle",6,"33%","50%",12,17,30,2.5,"67.7%","19.4%","19.3%","17%",-224,11,3.7,9.2,"30.7%",499,"24.4%","24.1%",268,"26.0%",0,0.47,0.16,0.29
"Xerxe","Excel Esports","Jungle",9,"22%","33%",9,28,53,2.2,"69.7%","10.1%","20.3%","22%",-171,-86,0.2,4.5,"12.5%",306,"14.9%","16.6%",153,"15.0%",1,0.35,0.23,0.41
"Yike","G2 Esports","Jungle",9,"67%","56%",33,19,83,6.1,"64.8%","18.4%","15.3%","11%",-26,222,6.1,5.6,"16.9%",393,"15.0%","15.2%",236,"18.0%",2,0.29,0.24,0.36
