"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","Excel Esports","Middle",5,"80%","60%",18,8,36,6.8,"75.0%","25.0%","14.5%","40%",-249,-98,-6.4,8.5,"25.3%",654,"26.7%","26.9%",294,"24.7%",0,0.45,0.21,0.41
"Adam","Team BDS","Top",7,"29%","43%",17,27,24,1.5,"51.3%","21.3%","24.5%","43%",512,178,7.1,8.1,"24.6%",358,"18.5%","12.5%",260,"23.1%",0,0.36,0.15,0.19
"Advienne","KOI","Support",4,"0%","75%",2,17,16,1.1,"62.1%","6.9%","23.9%","0%",-173,-74,-1.3,0.9,"1.9%",87,"4.3%","4.3%",74,"7.2%",0,1.85,0.59,0.31
"BrokenBlade","G2 Esports","Top",4,"100%","25%",17,10,26,4.3,"50.0%","19.8%","23.3%","25%",-711,-533,-14.5,6.9,"22.6%",448,"17.8%","14.8%",260,"19.0%",0,0.48,0.15,0.12
"Caps","G2 Esports","Middle",4,"100%","50%",30,12,25,4.6,"64.0%","34.9%","27.9%","0%",7,-87,-0.8,9.3,"30.1%",799,"31.4%","32.5%",359,"26.3%",0,0.21,0.07,0.21
"Carzzy","MAD Lions","ADC",4,"0%","75%",9,14,24,2.4,"73.3%","20.0%","19.4%","25%",-250,-218,-4.8,8.9,"34.3%",623,"28.9%","30.2%",269,"26.7%",0,0.45,0.06,0.29
"Chasy","MAD Lions","Top",4,"0%","50%",11,14,16,1.9,"60.0%","24.4%","19.4%","0%",-514,-201,-9.8,6.6,"20.3%",473,"21.5%","19.9%",208,"20.2%",0,0.41,0.25,0.16
"Comp","KOI","ADC",4,"0%","50%",3,12,15,1.5,"62.1%","10.3%","16.9%","0%",-628,-247,-10.5,8.9,"29.0%",465,"20.7%","23.2%",233,"22.6%",0,0.38,0.1,0.23
"Crownie","Team BDS","ADC",7,"29%","43%",23,24,26,2,"61.3%","28.8%","21.8%","14%",-120,-44,0.7,9.9,"32.8%",450,"23.9%","26.9%",299,"26.7%",0,0.61,0.11,0.36
"Doss","SK Gaming","Support",7,"43%","43%",2,19,60,3.3,"77.5%","2.5%","22.6%","14%",41,-138,-1.4,0.9,"1.5%",104,"5.3%","4.7%",97,"8.3%",0,1.99,0.46,0.26
"Elyoya","MAD Lions","Jungle",4,"0%","75%",2,13,21,1.8,"51.1%","4.4%","18.1%","25%",-315,-3,0,5,"13.2%",163,"7.9%","7.9%",154,"15.2%",0,0.53,0.32,0.39
"Evi","Team Heretics","Top",7,"71%","43%",11,17,54,3.8,"68.4%","11.6%","25.8%","14%",-551,-238,-12.9,7,"18.8%",458,"23.6%","17.6%",229,"18.5%",0,0.4,0.13,0.1
"Exakick","SK Gaming","ADC",7,"43%","57%",19,9,29,5.3,"60.0%","23.8%","10.7%","14%",-19,242,2,10.4,"35.9%",559,"27.7%","32.9%",324,"27.6%",0,0.68,0.24,0.36
"Flakked","Team Heretics","ADC",7,"71%","43%",23,12,34,4.8,"60.0%","24.2%","18.2%","29%",68,-13,-1.3,9.6,"31.3%",489,"24.4%","26.3%",309,"25.4%",0,0.44,0.1,0.34
"Hans Sama","G2 Esports","ADC",4,"100%","75%",25,4,34,14.8,"68.6%","29.1%","9.3%","25%",718,347,11.5,9.9,"31.8%",741,"29.2%","31.6%",374,"27.4%",0,0.54,0.11,0.28
"Humanoid","Fnatic","Middle",6,"67%","17%",30,19,32,3.3,"74.7%","36.1%","27.1%","0%",-38,11,-0.5,8.7,"26.9%",825,"35.6%","35.2%",319,"26.1%",0,0.23,0.05,0.32
"Hylissang","MAD Lions","Support",4,"0%","50%",4,24,28,1.3,"71.1%","8.9%","33.3%","25%",132,0,-1,1,"2.3%",102,"5.1%","4.0%",91,"9.0%",0,1.66,0.36,0.35
"Irrelevant","SK Gaming","Top",7,"43%","43%",22,22,28,2.3,"62.5%","27.5%","26.2%","43%",72,29,1,7.5,"23.0%",492,"25.3%","20.2%",259,"22.4%",0,0.39,0.18,0.13
"Jankos","Team Heretics","Jungle",7,"71%","71%",17,11,51,6.2,"71.6%","17.9%","16.7%","14%",-32,176,2.4,5.4,"14.9%",234,"12.1%","11.9%",214,"17.6%",0,0.28,0.24,0.43
"Labrov","Team BDS","Support",7,"29%","43%",4,27,49,2,"66.3%","5.0%","24.5%","29%",-150,-291,-2.3,1.1,"2.5%",113,"6.0%","5.3%",92,"8.2%",0,1.44,0.44,0.32
"Larssen","KOI","Middle",4,"0%","50%",11,11,11,2,"75.9%","37.9%","15.5%","0%",252,173,3.3,9.7,"31.6%",668,"30.9%","32.1%",287,"27.7%",0,0.39,0.08,0.13
