"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Astralis","Jungle",8,"38%","75%",13,29,60,2.5,"67.6%","12.0%","24.8%","13%",-179,-142,-5.5,4.4,"13.9%",280,"13.0%","13.0%",176,"15.8%",0,0.22,0.24,0.45
"Adam","Team BDS","Top",6,"33%","67%",16,16,24,2.5,"59.7%","23.9%","16.7%","0%",-222,-287,0.5,9.1,"28.1%",389,"17.7%","16.8%",274,"25.4%",0,0.35,0.07,0.19
"Bo","Team Vitality","Jungle",7,"29%","43%",19,30,26,1.5,"66.2%","27.9%","27.8%","29%",448,408,9.6,6.3,"18.9%",453,"21.2%","22.6%",230,"20.4%",2,0.48,0.3,0.51
"BrokenBlade","G2 Esports","Top",5,"80%","40%",26,11,36,5.6,"63.9%","26.8%","18.6%","40%",-9,-191,-5,7.2,"20.0%",626,"23.6%","23.0%",304,"22.6%",0,0.5,0.19,0.18
"Caps","G2 Esports","Middle",5,"80%","40%",20,13,48,5.2,"70.1%","20.6%","22.0%","40%",-326,-11,-5.8,8.4,"26.0%",658,"24.0%","24.8%",317,"23.5%",1,0.26,0.09,0.23
"Carzzy","MAD Lions","ADC",7,"57%","71%",33,21,39,3.4,"66.1%","30.3%","19.1%","43%",149,-15,3,8.3,"29.8%",568,"23.5%","24.2%",291,"25.4%",0,0.41,0.07,0.31
"Chasy","MAD Lions","Top",7,"57%","57%",25,20,43,3.4,"62.4%","22.9%","18.2%","29%",343,63,10.4,7.7,"24.1%",548,"21.6%","20.8%",255,"21.7%",0,0.38,0.22,0.18
"Comp","KOI","ADC",4,"100%","25%",26,3,29,18.3,"76.4%","36.1%","10.7%","50%",505,-135,6.5,10.9,"38.3%",813,"33.6%","39.1%",393,"30.4%",0,0.46,0.17,0.3
"Crownie","Team BDS","ADC",6,"33%","50%",15,16,26,2.6,"61.2%","22.4%","16.7%","17%",-253,-81,-1,9.3,"29.5%",538,"24.9%","27.1%",272,"25.4%",0,0.35,0.05,0.27
"Dajor","Astralis","Middle",8,"38%","25%",28,20,32,3,"55.6%","25.9%","17.1%","0%",-231,-74,-4.6,8.3,"26.4%",531,"24.6%","26.3%",265,"23.7%",0,0.41,0.2,0.19
