"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Astralis","Jungle",9,"33%","56%",15,28,55,2.5,"72.2%","15.5%","20.1%","67%",-111,-161,-5,4.8,"14.1%",263,"13.1%","12.5%",178,"17.1%",0,0.27,0.28,0.32
"Adam","Team BDS","Top",9,"56%","56%",35,25,46,3.2,"52.3%","22.6%","24.0%","56%",232,237,4,8,"25.2%",482,"20.3%","17.5%",272,"23.6%",0,0.38,0.17,0.23
"Bo","Team Vitality","Jungle",9,"78%","22%",30,37,71,2.7,"66.0%","19.6%","27.8%","44%",269,259,2.3,5.5,"15.4%",355,"14.4%","15.3%",231,"19.0%",0,0.47,0.31,0.48
"BrokenBlade","G2 Esports","Top",9,"67%","22%",29,19,52,4.3,"57.4%","20.6%","18.4%","0%",92,39,-3,7.5,"21.9%",556,"24.1%","20.6%",269,"21.1%",0,0.44,0.16,0.11
"Caps","G2 Esports","Middle",9,"67%","56%",33,21,45,3.7,"55.3%","23.4%","20.4%","11%",196,219,-0.3,7.7,"21.4%",494,"20.7%","21.6%",276,"21.5%",0,0.31,0.1,0.16
"Carzzy","MAD Lions","ADC",9,"78%","44%",27,14,48,5.4,"60.5%","21.8%","17.5%","11%",137,-64,1.7,9.1,"30.0%",675,"29.9%","34.1%",294,"24.6%",0,0.43,0.06,0.24
"Chasy","MAD Lions","Top",9,"78%","56%",31,14,35,4.7,"53.2%","25.0%","17.5%","0%",-3,138,-0.6,7.9,"23.5%",495,"21.2%","18.2%",262,"21.9%",0,0.34,0.17,0.18
"Comp","KOI","ADC",9,"44%","56%",19,16,37,3.5,"62.9%","21.3%","15.4%","22%",-103,-50,-1.3,10.2,"34.6%",550,"25.3%","26.5%",301,"27.3%",0,0.42,0.12,0.34
"Crownie","Team BDS","ADC",9,"56%","56%",45,14,64,7.8,"70.3%","29.0%","13.5%","44%",163,173,0.9,9.4,"31.8%",661,"28.5%","31.1%",319,"27.4%",0,0.42,0.11,0.42
"Dajor","Astralis","Middle",9,"33%","22%",17,30,36,1.8,"54.6%","17.5%","21.6%","33%",-207,5,-4.6,8,"27.4%",496,"24.3%","25.2%",232,"22.3%",0,0.43,0.18,0.18
"Doss","SK Gaming","Support",9,"67%","33%",14,11,96,10,"82.7%","10.5%","11.8%","22%",193,241,-3.1,0.4,"1.4%",268,"11.9%","10.4%",119,"10.2%",0,1.56,0.36,0.15
"Elyoya","MAD Lions","Jungle",9,"78%","33%",15,11,71,7.8,"69.4%","12.1%","13.8%","33%",26,-78,1.3,5.7,"17.2%",276,"11.7%","12.0%",216,"18.0%",0,0.59,0.31,0.5
"Evi","Team Heretics","Top",9,"44%","56%",33,39,47,2.1,"55.9%","23.1%","24.4%","22%",-72,-210,-5.4,6.9,"21.5%",541,"21.6%","17.2%",245,"20.4%",0,0.27,0.12,0.2
"Exakick","SK Gaming","ADC",9,"67%","44%",48,18,48,5.3,"72.2%","36.1%","19.4%","11%",502,233,11.3,10.5,"37.9%",700,"29.2%","31.2%",352,"30.5%",0,0.5,0.2,0.43
"Execute","Astralis","Support",9,"33%","22%",4,32,75,2.5,"81.4%","4.1%","23.0%","22%",111,-207,-4.3,0.6,"2.0%",221,"10.7%","9.7%",104,"10.0%",0,1.88,0.4,0.32
"Finn","Astralis","Top",9,"33%","56%",23,27,30,2,"54.6%","23.7%","19.4%","11%",34,52,-3.3,7.1,"22.7%",534,"24.8%","23.0%",235,"21.8%",0,0.51,0.2,0.13
"Hans Sama","G2 Esports","ADC",9,"67%","44%",27,17,61,5.2,"62.4%","19.1%","16.5%","22%",464,308,5.6,8.8,"28.1%",506,"21.4%","20.5%",317,"24.7%",0,0.42,0.13,0.36
"Humanoid","Fnatic","Middle",9,"22%","44%",20,34,40,1.8,"67.4%","22.5%","23.4%","11%",12,-8,-0.6,8.3,"25.9%",660,"29.9%","28.2%",259,"23.9%",0,0.37,0.04,0.13
"Hylissang","MAD Lions","Support",9,"78%","78%",5,20,82,4.4,"70.2%","4.0%","25.0%","22%",14,109,-0.8,0.6,"1.7%",213,"9.4%","8.2%",115,"9.5%",0,1.3,0.32,0.32
"Irrelevant","SK Gaming","Top",9,"67%","33%",26,28,46,2.6,"54.1%","19.5%","30.1%","0%",-339,46,-3.8,7.2,"22.0%",529,"22.9%","19.9%",235,"20.6%",0,0.35,0.16,0.19
"Jackspektra","Team Heretics","ADC",9,"44%","33%",35,32,43,2.4,"54.5%","24.5%","20.0%","11%",-252,41,-4.7,9.2,"32.8%",623,"24.2%","26.0%",321,"27.0%",0,0.37,0.08,0.34
"Jankos","Team Heretics","Jungle",9,"44%","33%",28,30,78,3.5,"74.1%","19.6%","18.8%","22%",-107,86,2,5.7,"15.8%",458,"17.8%","17.9%",235,"19.0%",0,0.45,0.23,0.45
"Kaiser","Team Vitality","Support",9,"78%","56%",2,22,110,5.1,"73.2%","1.3%","16.5%","22%",-188,130,-2.3,0.6,"2.2%",258,"10.4%","9.5%",108,"8.7%",0,1.56,0.36,0.35
"Kobbe","Astralis","ADC",9,"33%","56%",38,22,33,3.2,"73.2%","39.2%","15.8%","11%",345,206,6.6,9.1,"33.8%",587,"27.1%","29.6%",297,"28.8%",0,0.31,0.08,0.3
"Labrov","Team BDS","Support",9,"56%","22%",7,24,100,4.5,"69.0%","4.5%","23.1%","44%",46,-180,-0.8,0.8,"2.7%",293,"12.6%","12.0%",110,"9.4%",0,1.51,0.41,0.36
"Larssen","KOI","Middle",9,"44%","44%",34,21,27,2.9,"68.5%","38.2%","20.2%","44%",242,147,6.6,8.9,"28.3%",555,"27.3%","28.1%",272,"25.5%",0,0.27,0.06,0.11
"Malrang","KOI","Jungle",9,"44%","56%",12,25,50,2.5,"69.7%","13.5%","24.0%","67%",-167,-273,-8.1,4.3,"11.9%",326,"16.1%","17.8%",161,"15.0%",2,0.43,0.29,0.35
"Markoon","SK Gaming","Jungle",9,"67%","44%",19,21,62,3.9,"60.9%","14.3%","22.6%","22%",-104,-120,-4.7,5,"14.1%",284,"11.5%","12.5%",194,"16.7%",1,0.59,0.3,0.37
"Mersa","Team Heretics","Support",9,"44%","67%",13,22,93,4.8,"74.1%","9.1%","13.8%","22%",25,-103,0.8,0.9,"3.0%",239,"9.6%","8.7%",123,"10.1%",0,1.59,0.48,0.36
"Mikyx","G2 Esports","Support",9,"67%","78%",6,28,79,3,"60.3%","4.3%","27.2%","33%",18,-16,4.1,1.1,"3.3%",261,"11.1%","10.0%",126,"9.9%",0,1.65,0.4,0.53
"Neon","Team Vitality","ADC",9,"78%","56%",34,21,63,4.6,"63.4%","22.2%","15.8%","22%",-301,-424,-4.8,9,"30.0%",589,"23.1%","24.7%",302,"24.5%",0,0.38,0.13,0.41
"Nisqy","MAD Lions","Middle",9,"78%","67%",46,21,48,4.5,"75.8%","37.1%","26.3%","33%",265,-35,2.4,8.8,"27.6%",659,"27.9%","27.6%",314,"26.0%",0,0.34,0.16,0.12
"nuc","Team BDS","Middle",9,"56%","67%",44,20,46,4.5,"58.1%","28.4%","19.2%","22%",-164,-70,-3.8,8.2,"25.3%",538,"22.6%","22.7%",262,"22.6%",0,0.29,0.15,0.26
"Odoamne","Excel Esports","Top",9,"11%","44%",22,39,28,1.3,"48.1%","21.2%","23.2%","11%",99,-134,4.4,7.5,"23.1%",457,"19.1%","16.6%",233,"21.7%",0,0.35,0.1,0.14
"Patrik","Excel Esports","ADC",9,"11%","56%",30,42,47,1.8,"74.0%","28.8%","25.0%","22%",-495,-168,-9.9,8,"28.5%",773,"31.0%","31.2%",273,"25.3%",0,0.38,0.09,0.17
"Perkz","Team Vitality","Middle",9,"78%","44%",47,31,67,3.7,"74.5%","30.7%","23.3%","22%",268,277,9.2,9,"27.7%",758,"29.3%","29.7%",311,"25.1%",1,0.36,0.11,0.27
"Photon","Team Vitality","Top",9,"78%","56%",40,22,50,4.1,"58.8%","26.1%","16.5%","0%",191,100,3.8,8.2,"24.7%",604,"22.8%","20.8%",287,"22.8%",0,0.25,0.07,0.24
"Razork","Fnatic","Jungle",9,"22%","56%",25,41,48,1.8,"82.0%","28.1%","28.3%","11%",-228,-140,-0.4,5.6,"15.8%",458,"19.5%","20.9%",212,"19.4%",2,0.25,0.22,0.4
"Rekkles","Fnatic","ADC",9,"22%","56%",26,17,28,3.2,"60.7%","29.2%","11.7%","0%",-460,-256,-5.3,9.7,"33.5%",601,"26.3%","30.0%",295,"27.4%",0,0.58,0.17,0.37
"Rhuckz","Fnatic","Support",9,"22%","33%",4,24,66,2.9,"78.7%","4.5%","16.6%","0%",-320,3,-0.3,0.9,"1.9%",154,"6.8%","6.5%",92,"8.3%",0,1.54,0.33,0.25
"Ruby","Team Heretics","Middle",9,"44%","67%",34,37,69,2.8,"72.0%","23.8%","23.1%","11%",-230,-101,-0.4,8.4,"27.0%",678,"26.8%","30.3%",284,"23.4%",0,0.46,0.17,0.25
"Sertuss","SK Gaming","Middle",9,"67%","56%",26,15,57,5.5,"62.4%","19.5%","16.1%","0%",-240,-166,-3.2,7.9,"24.6%",574,"24.5%","26.0%",253,"22.0%",0,0.44,0.17,0.22
"Sheo","Team BDS","Jungle",9,"56%","56%",24,21,78,4.9,"65.8%","15.5%","20.2%","67%",-272,-105,2.7,5.2,"15.0%",378,"16.1%","16.7%",199,"17.0%",3,0.25,0.21,0.43
"Szygenda","KOI","Top",9,"44%","44%",14,21,42,2.7,"62.9%","15.7%","20.2%","22%",196,27,5.2,7.8,"22.9%",455,"21.2%","19.1%",244,"23.0%",0,0.49,0.14,0.21
