"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Karmine Corp","Jungle",7,"14%","57%",9,37,43,1.4,"73.2%","12.7%","30.1%","29%",-165,-46,4.4,4.5,"11.8%",265,"13.5%","11.4%",153,"14.6%",0,0.33,0.3,0.25
"Agresivoo","Team BDS Academy","Top",18,"61%","50%",55,71,88,2,"55.0%","21.2%","28.3%","28%",-3,-46,-2.3,7.7,"24.0%",469,"23.3%","21.1%",260,"22.3%",0,0.5,0.21,0.2
"Cabochard","Karmine Corp","Top",7,"14%","43%",20,29,18,1.3,"53.5%","28.2%","23.6%","14%",77,71,14.7,8.7,"27.3%",558,"28.8%","27.1%",269,"26.4%",0,0.26,0.12,0.2
"Crownie","Team BDS Academy","ADC",18,"61%","56%",80,35,91,4.9,"65.8%","30.8%","13.9%","17%",159,-25,4.3,10.3,"35.4%",591,"29.3%","31.2%",340,"29.4%",1,0.49,0.17,0.51
"Czajek","Misfits Premier","Middle",4,"0%","100%",21,14,12,2.4,"73.3%","46.7%","16.7%","25%",162,-279,1.7,8.5,"25.2%",669,"33.3%","35.3%",275,"25.9%",0,0.6,0.31,0.17
"Diplex","Vitality.Bee","Middle",9,"67%","25%",42,20,51,4.7,"59.2%","26.8%","18.9%","33%",-86,28,-5.1,8.5,"25.3%",511,"23.8%","24.3%",273,"23.7%",0,0.51,0.19,0.24
"Doss","LDLC OL","Support",8,"75%","50%",6,22,68,3.4,"58.7%","4.8%","28.2%","63%",97,-178,-2.5,0.9,"2.4%",93,"5.4%","4.5%",99,"8.5%",0,1.65,0.5,0.35
"Eika","LDLC OL","Middle",8,"75%","63%",38,12,43,6.8,"64.3%","30.2%","15.4%","25%",195,-36,-0.3,8.7,"25.6%",391,"21.8%","21.8%",286,"24.3%",0,0.53,0.17,0.34
"Enjawve","GamersOrigin","Support",4,"25%","100%",1,24,32,1.4,"56.9%","1.7%","32.0%","0%",-162,-248,2.3,1.1,"2.3%",122,"5.3%","4.3%",96,"8.5%",0,2.22,0.61,0.34
"Erdote","Team BDS Academy","Support",18,"61%","22%",11,51,153,3.2,"63.1%","4.2%","20.3%","17%",-57,187,1.7,1.1,"2.5%",124,"6.1%","5.4%",103,"8.8%",0,1.89,0.62,0.38
