"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Badlulu","Mirage Elyandra","Top",7,"86%","86%",15,6,35,8.3,"56.8%","17.0%","11.3%","14%",382,309,12.3,9,"25.2%",465,"21.4%","19.5%",284,"23.0%",1,0.34,0.11,0.14
"Bung","Team Oplon","ADC",12,"58%","70%",50,19,60,5.8,"70.1%","31.8%","14.3%","25%",-254,-2,-8.6,9.5,"34.2%",620,"26.8%","29.1%",309,"27.5%",0,0.34,0.09,0.27
"Cody Sun","Mirage Elyandra","ADC",7,"86%","71%",28,12,32,5,"68.2%","31.8%","22.6%","14%",337,210,13,9.6,"30.9%",604,"27.4%","30.3%",320,"26.3%",0,0.42,0.09,0.35
"Darlik","Team Oplon","Top",12,"58%","40%",38,27,59,3.6,"61.8%","24.2%","20.3%","33%",-177,-182,-9.2,7.9,"25.0%",556,"25.1%","23.8%",260,"23.2%",1,0.42,0.12,0.13
"DizL","IZI Dream","ADC",7,"14%","14%",24,20,27,2.6,"77.3%","36.4%","20.6%","43%",77,-15,-3.6,9.4,"33.6%",665,"29.5%","31.4%",300,"29.1%",0,0.3,0.05,0.29
"FEBIVEN","Mirage Elyandra","Middle",7,"86%","43%",30,10,37,6.7,"76.1%","34.1%","18.9%","29%",69,209,0.7,9.4,"28.5%",631,"29.3%","29.3%",314,"25.9%",0,0.36,0.12,0.21
"Frappii","Team MCES","ADC",12,"42%","40%",51,30,50,3.4,"71.1%","35.9%","17.6%","0%",13,-111,3.1,9.7,"34.2%",558,"25.1%","27.6%",313,"28.6%",0,0.42,0.18,0.21
"HONOR","Team MCES","Support",12,"42%","40%",7,30,106,3.8,"79.6%","4.9%","17.6%","17%",-86,38,-0.8,0.7,"2.0%",170,"8.0%","6.4%",90,"8.3%",0,1.44,0.35,0.26
"JDG","IZI Dream","Top",7,"14%","29%",12,15,21,2.2,"50.0%","18.2%","15.5%","14%",-243,-221,-8,7.7,"24.6%",394,"18.8%","16.6%",225,"22.0%",0,0.4,0.2,0.15
"Lingwi","Team MCES","Top",12,"42%","50%",16,31,70,2.8,"60.6%","11.3%","18.2%","17%",97,131,6.7,7.9,"24.4%",545,"24.9%","24.4%",238,"22.2%",1,0.42,0.15,0.16
"Memento","Mirage Elyandra","Jungle",7,"86%","14%",10,10,56,6.6,"75.0%","11.4%","18.9%","43%",120,223,0,5.2,"14.1%",275,"13.0%","13.6%",195,"15.8%",3,0.31,0.29,0.31
"Moutarde","Team MCES","Middle",12,"42%","50%",36,40,70,2.7,"74.6%","25.4%","23.5%","25%",-92,-19,-3.9,8,"24.3%",589,"26.3%","25.7%",245,"22.6%",0,0.27,0.14,0.13
"Noltey","IZI Dream","Jungle",7,"14%","100%",11,27,34,1.7,"68.2%","16.7%","27.8%","43%",-29,-173,-1.1,5.1,"14.7%",314,"14.8%","16.0%",163,"15.8%",0,0.22,0.17,0.38
"Peng","Team Oplon","Middle",12,"58%","30%",34,29,80,3.9,"72.6%","21.7%","21.8%","50%",-37,-98,1,8.3,"24.9%",647,"29.0%","29.0%",253,"23.0%",1,0.41,0.13,0.17
"Raxxo","Mirage Elyandra","Support",7,"86%","0%",5,15,61,4.4,"75.0%","5.7%","28.3%","43%",112,-207,-6.9,0.4,"1.2%",185,"8.8%","7.4%",110,"9.0%",0,1.48,0.31,0.28
"Roison","IZI Dream","Middle",7,"14%","86%",19,16,28,2.9,"71.2%","28.8%","16.5%","29%",151,-9,4.3,8.3,"24.7%",664,"29.5%","29.7%",251,"24.6%",1,0.33,0.07,0.14
"Shernfire","Team Oplon","Jungle",12,"58%","50%",26,37,82,2.9,"68.8%","16.6%","27.8%","42%",103,-18,1.9,5.2,"14.4%",311,"13.2%","13.7%",196,"17.3%",0,0.3,0.23,0.49
"Twiizt","Team Oplon","Support",12,"58%","80%",9,21,118,6,"80.9%","5.7%","15.8%","42%",5,-12,3.3,0.6,"1.5%",132,"5.9%","4.4%",101,"8.9%",0,1.29,0.32,0.26
"Zicssi","Team MCES","Jungle",12,"42%","40%",32,39,80,2.9,"78.9%","22.5%","22.9%","42%",-156,-11,-1.3,5.4,"15.2%",355,"15.7%","15.9%",202,"18.3%",0,0.27,0.22,0.42
"Zoelys","IZI Dream","Support",7,"14%","71%",0,19,51,2.7,"77.3%","0.0%","19.6%","43%",27,163,2.4,0.9,"2.4%",158,"7.4%","6.3%",87,"8.4%",0,1.35,0.27,0.31
