"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Cabochard","Karmine Corp","Top",7,"86%","29%",15,22,57,3.3,"48.6%","10.1%","20.6%","14%",-38,-190,-4,7.2,"19.4%",550,"18.0%","16.4%",236,"18.1%",0,0.34,0.16,0.14
"Caliste","Karmine Corp","ADC",7,"86%","43%",74,15,38,7.5,"75.7%","50.0%","14.0%","43%",404,88,4.1,10.2,"36.6%",1052,"35.2%","37.9%",419,"31.8%",0,0.55,0.09,0.27
"Cinkrof","Karmine Corp","Jungle",7,"86%","57%",15,21,83,4.7,"66.2%","10.1%","19.6%","43%",-247,-108,-7.1,4.4,"11.6%",355,"11.8%","10.8%",195,"15.1%",1,0.45,0.42,0.33
"Czajek","Vitality.Bee","Middle",8,"63%","25%",36,17,49,5,"82.5%","35.0%","19.1%","25%",-87,-30,0,8.7,"28.2%",644,"27.6%","28.3%",299,"26.1%",1,0.42,0.19,0.29
"Czekolad","BK ROG Esports","Middle",10,"40%","50%",39,35,69,3.1,"68.4%","24.7%","19.4%","20%",-154,13,-0.5,8.8,"29.0%",784,"31.2%","33.4%",307,"25.3%",0,0.41,0.1,0.18
"Daglas","Vitality.Bee","Jungle",8,"63%","25%",15,18,66,4.5,"78.6%","14.6%","20.2%","38%",-169,5,4.1,5.3,"15.0%",351,"15.3%","16.1%",206,"18.0%",0,0.29,0.26,0.3
"Eika","Aegis","Middle",4,"25%","75%",8,9,10,2,"66.7%","29.6%","14.3%","25%",-95,-193,-10.3,8.9,"29.0%",630,"38.5%","41.1%",263,"26.1%",0,0.57,0.19,0.26
"Hantera","Aegis","Support",4,"25%","50%",2,16,15,1.1,"63.0%","7.4%","25.4%","25%",17,167,0,1,"2.5%",92,"5.8%","5.4%",89,"8.8%",0,1.43,0.45,0.37
"Howling","BK ROG Esports","Top",10,"40%","70%",34,31,57,2.9,"57.6%","21.5%","17.2%","10%",-64,150,3.3,7.7,"22.5%",535,"21.2%","19.0%",258,"21.6%",1,0.29,0.07,0.16
"Jactroll","Vitality.Bee","Support",8,"63%","63%",8,25,72,3.2,"77.7%","7.8%","28.1%","38%",108,-12,0.6,1.1,"2.3%",161,"6.9%","5.7%",112,"9.8%",0,1.47,0.34,0.3
"Jezu","Team GO","ADC",12,"50%","58%",64,19,63,6.7,"76.0%","38.3%","13.8%","25%",457,97,2.6,9.8,"34.4%",633,"27.3%","30.0%",340,"28.9%",0,0.45,0.17,0.32
"kamilius","Team GO","Support",12,"50%","50%",6,42,112,2.8,"70.7%","3.6%","30.4%","33%",23,16,-0.3,1.1,"2.6%",127,"5.8%","5.7%",102,"8.6%",0,1.55,0.44,0.41
"Lot","Aegis","Top",4,"25%","50%",8,12,8,1.3,"59.3%","29.6%","19.0%","0%",-31,61,4.3,8.7,"26.3%",333,"21.3%","17.0%",247,"24.1%",0,0.34,0.12,0.16
"Lyncas","Team GO","Jungle",12,"50%","58%",20,26,100,4.6,"71.9%","12.0%","18.8%","58%",57,-126,-8.3,4.5,"11.4%",335,"15.2%","15.3%",189,"15.9%",0,0.35,0.26,0.25
"Melonik","Solary","Top",3,"0%","33%",7,8,2,1.1,"52.9%","41.2%","18.6%","33%",528,165,10,9,"30.6%",504,"29.2%","22.7%",297,"29.7%",0,0.44,0.14,0.08
"Neon","Vitality.Bee","ADC",8,"63%","50%",33,15,39,4.8,"69.9%","32.0%","16.9%","38%",80,-5,7.1,9.1,"32.2%",726,"32.3%","35.4%",311,"27.5%",0,0.35,0.11,0.3
"Peng","Solary","Middle",3,"0%","100%",3,8,7,1.3,"58.8%","17.6%","18.6%","0%",47,10,-1,8.1,"23.3%",433,"24.2%","24.0%",220,"22.0%",0,0.38,0.19,0.16
