"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",13,"62%","69%",30,25,62,3.7,"52.0%","16.9%","17.9%","15%",-151,20,2.6,7.9,"24.6%",378,"18.6%",,250,"21.7%",,0.39,0.12,0.16
"Aodi","EDward Gaming","Top",8,"50%","50%",16,21,40,2.7,"58.3%","16.7%","21.6%","0%",-185,-305,-9.5,7.1,"22.9%",289,"16.6%",,212,"20.4%",,0.4,0.19,0.16
"beishang","Team WE","Jungle",8,"50%","38%",21,14,65,6.1,"85.1%","20.8%","12.5%","50%",72,62,4,5.2,"14.8%",256,"16.0%",,207,"19.4%",,0.33,0.3,0.38
"Betty","Royal Never Give Up","ADC",4,"25%","25%",15,10,16,3.1,"67.4%","32.6%","16.1%","0%",-564,-202,-10.3,8.6,"31.6%",486,"26.8%",,267,"26.8%",,0.39,0.14,0.41
"Crisp","FunPlus Phoenix","Support",10,"60%","40%",6,23,78,3.7,"60.0%","4.3%","20.2%","30%",-43,-84,-0.2,1,"2.2%",98,"5.9%",,99,"8.5%",,1.59,0.53,0.26
"Cryin","eStar","Middle",4,"25%","75%",10,8,26,4.5,"83.7%","23.3%","13.3%","0%",-224,-66,-4.8,7.5,"22.8%",590,"30.1%",,230,"23.4%",,0.36,0.12,0.14
"Doinb","FunPlus Phoenix","Middle",10,"60%","70%",40,19,66,5.6,"75.7%","28.6%","16.7%","40%",139,-69,-2.9,9.2,"30.5%",523,"30.4%",,308,"26.4%",,0.5,0.14,0.17
"Elk","Team WE","ADC",8,"50%","75%",39,18,34,4.1,"72.3%","38.6%","16.1%","25%",-468,-75,-10.3,9,"35.5%",536,"30.8%",,306,"28.3%",,0.37,0.18,0.44
"GimGoon","FunPlus Phoenix","Top",7,"43%","43%",11,18,32,2.4,"56.6%","14.5%","22.0%","14%",-178,-147,-1.4,7.3,"20.9%",315,"19.8%",,223,"20.7%",,0.51,0.2,0.16
"Hope","EDward Gaming","ADC",8,"50%","38%",41,18,34,4.2,"78.1%","42.7%","18.6%","25%",339,153,7.1,9.3,"33.7%",548,"30.2%",,306,"29.2%",,0.43,0.18,0.54
"JackeyLove","Top Esports","ADC",13,"62%","38%",50,29,67,4,"66.1%","28.2%","20.7%","23%",364,109,15.2,9.4,"30.2%",638,"30.6%",,308,"26.7%",,0.37,0.17,0.5
"JieJie","EDward Gaming","Jungle",3,"33%","33%",2,3,20,7.3,"78.6%","7.1%","9.1%","33%",115,-239,0,5.2,"16.2%",201,"13.4%",,173,"17.0%",,0.38,0.28,0.32
"JunJia","EDward Gaming","Jungle",5,"60%","40%",10,13,42,4,"76.5%","14.7%","20.3%","40%",-142,56,-0.4,4.5,"14.2%",250,"11.9%",,172,"16.3%",,0.48,0.45,0.59
"Kanavi","JD Gaming","Jungle",8,"75%","25%",13,10,58,7.1,"68.9%","12.6%","13.9%","38%",83,24,0.9,6.1,"17.4%",234,"12.8%",,213,"18.0%",,0.43,0.31,0.61
"Karsa","Top Esports","Jungle",13,"62%","69%",26,36,67,2.6,"52.5%","14.7%","25.7%","38%",-1,135,-1.5,5,"14.8%",230,"11.3%",,186,"16.2%",,0.62,0.41,0.29
"Khan","FunPlus Phoenix","Top",3,"100%","100%",15,11,19,3.1,"53.1%","23.4%","34.4%","33%",369,387,3,6.7,"18.6%",478,"23.5%",,267,"20.3%",,0.52,0.28,0.1
"knight","Top Esports","Middle",13,"62%","46%",64,21,68,6.3,"74.6%","36.2%","15.0%","31%",237,133,6.1,9.1,"28.2%",711,"33.0%",,310,"26.5%",,0.33,0.14,0.21
"Langx","Royal Never Give Up","Top",4,"25%","75%",9,12,16,2.1,"54.3%","19.6%","19.4%","50%",359,528,14.5,7.7,"24.7%",404,"22.6%",,231,"23.5%",,0.36,0.09,0.13
"Leyan","Invictus Gaming","Jungle",4,"25%","25%",10,18,11,1.2,"47.7%","22.7%","29.5%","50%",-5,-369,4.3,5,"16.3%",178,"9.5%",,178,"17.9%",,0.43,0.21,0.41
"LokeN","JD Gaming","ADC",8,"75%","50%",43,12,34,6.4,"74.8%","41.7%","16.7%","13%",-181,-145,-4.1,10,"33.8%",552,"29.9%",,333,"28.4%",,0.4,0.16,0.44
"LvMao","JD Gaming","Support",8,"75%","75%",5,19,62,3.5,"65.0%","4.9%","26.4%","25%",17,3,-0.8,0.8,"1.3%",180,"10.7%",,97,"8.2%",,1.66,0.57,0.16
"Lwx","FunPlus Phoenix","ADC",10,"60%","80%",48,21,53,4.8,"72.1%","34.3%","18.4%","40%",110,202,-0.5,9.8,"33.1%",554,"31.7%",,331,"28.2%",,0.44,0.14,0.31
"Meiko","EDward Gaming","Support",8,"50%","75%",7,20,71,3.9,"81.3%","7.3%","20.6%","25%",160,115,-3.6,0.7,"1.7%",208,"11.7%",,102,"9.9%",,1.54,0.55,0.23
"Ming","Royal Never Give Up","Support",4,"25%","25%",2,16,34,2.3,"78.3%","4.3%","25.8%","25%",-317,-156,7,1,"3.0%",139,"8.2%",,88,"8.9%",,1.61,0.49,0.25
"MISSING","Team WE","Support",8,"50%","63%",5,23,73,3.4,"77.2%","5.0%","20.5%","25%",92,-5,0.8,1.1,"2.4%",138,"8.0%",,107,"10.1%",,1.7,0.46,0.34
"Morgan","Team WE","Top",8,"50%","38%",15,27,36,1.9,"50.5%","14.9%","24.1%","25%",184,36,-0.6,7.4,"24.5%",378,"22.4%",,230,"21.7%",,0.39,0.27,0.3
"Ning","Invictus Gaming","Jungle",3,"0%","100%",6,14,10,1.1,"51.6%","19.4%","21.9%","33%",-455,-207,-6.7,4.8,"14.2%",186,"8.9%",,160,"16.7%",,0.47,0.31,0.34
"Puff","Invictus Gaming","ADC",7,"14%","43%",18,22,31,2.2,"65.3%","24.0%","17.6%","0%",-340,-254,-13.7,9,"31.6%",499,"25.2%",,273,"26.7%",,0.43,0.08,0.45
"QiuQiu","Top Esports","Support",5,"40%","20%",0,10,23,2.3,"48.9%","0.0%","18.2%","20%",35,97,0.6,1.1,"2.6%",99,"5.7%",,89,"8.2%",,1.61,0.52,0.29
"Rookie","Invictus Gaming","Middle",7,"14%","57%",19,22,31,2.3,"66.7%","25.3%","17.6%","29%",-325,-44,1.7,7.5,"22.5%",589,"29.4%",,223,"22.7%",,0.33,0.16,0.22
"Scout","EDward Gaming","Middle",8,"50%","25%",20,22,50,3.2,"72.9%","20.8%","22.7%","38%",147,247,1.9,7.9,"26.8%",492,"29.1%",,243,"23.9%",,0.37,0.2,0.16
"ShiauC","eStar","Support",4,"25%","0%",1,14,31,2.3,"74.4%","2.3%","23.3%","25%",-99,-1,0.5,1,"2.8%",160,"8.5%",,81,"8.4%",,1.93,0.62,0.43
"Southwind","Invictus Gaming","Support",7,"14%","43%",6,15,40,3.1,"61.3%","8.0%","12.0%","0%",86,61,9.3,1.6,"4.9%",146,"7.7%",,102,"10.6%",,1.42,0.45,0.29
"Teacherma","Team WE","Middle",8,"50%","38%",21,30,50,2.4,"70.3%","20.8%","26.8%","25%",-142,-290,-6.1,7.3,"22.9%",392,"22.9%",,223,"20.5%",,0.32,0.16,0.16
"TheShy","Invictus Gaming","Top",7,"14%","14%",16,34,26,1.2,"56.0%","21.3%","27.2%","14%",-279,-332,-1.6,7.1,"25.6%",565,"28.5%",,221,"22.7%",,0.36,0.05,0.14
"Tian","FunPlus Phoenix","Jungle",10,"60%","40%",20,22,80,4.5,"71.4%","14.3%","19.3%","60%",51,-17,-0.9,4.9,"14.0%",197,"11.0%",,190,"16.3%",,0.46,0.39,0.41
"Wei","eStar","Jungle",4,"25%","75%",12,14,21,2.4,"76.7%","27.9%","23.3%","0%",-93,234,-1,4.6,"12.4%",325,"16.2%",,175,"17.8%",,0.58,0.53,0.4
"Wink","eStar","ADC",4,"25%","25%",14,12,18,2.7,"74.4%","32.6%","20.0%","25%",321,-78,0.8,9.8,"37.9%",516,"25.6%",,279,"28.8%",,0.4,0.13,0.59
"Xiaobai","eStar","Top",4,"25%","50%",6,12,23,2.4,"67.4%","14.0%","20.0%","0%",-8,38,2.3,7.5,"24.1%",380,"19.7%",,214,"21.6%",,0.46,0.24,0.22
