"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ale","LNG Esports","Top",7,"86%","29%",23,20,35,2.9,"47.5%","18.9%","37.7%",,,,,8.2,,472,"25.0%",,273,"21.2%",,0.38,0.19,0.18
"beishang","Team WE","Jungle",7,"14%","43%",13,28,25,1.4,"63.3%","21.7%","22.6%",,,,,5.6,,272,"17.0%",,178,"17.0%",,0.36,0.35,0.48
"Breathe","Team WE","Top",7,"14%","43%",15,28,23,1.4,"63.3%","25.0%","22.6%",,,,,8.1,,442,"26.3%",,240,"23.3%",,0.45,0.19,0.2
"Cryin","Royal Never Give Up","Middle",3,"100%","33%",12,2,30,21,"72.4%","20.7%","10.5%",,,,,8.3,,406,"19.6%",,290,"22.1%",,0.35,0.1,0.21
"Cube","Rare Atom","Top",3,"0%","67%",2,12,7,0.8,"75.0%","16.7%","21.4%",,,,,8.2,,445,"27.2%",,226,"24.0%",,0.39,0.07,0.14
"Elk","Team WE","ADC",7,"14%","86%",16,16,23,2.4,"65.0%","26.7%","12.9%",,,,,10,,423,"28.1%",,284,"27.1%",,0.43,0.17,0.39
"FoFo","Rare Atom","Middle",3,"0%","33%",1,7,7,1.1,"66.7%","8.3%","12.5%",,,,,8.5,,440,"27.8%",,216,"25.0%",,0.43,0.12,0.17
"GALA","Royal Never Give Up","ADC",3,"100%","0%",17,3,23,13.3,"69.0%","29.3%","15.8%",,,,,9.1,,709,"33.2%",,324,"24.9%",,0.34,0.12,0.2
"Hang","Rare Atom","Support",3,"0%","33%",1,12,8,0.8,"75.0%","8.3%","21.4%",,,,,1.3,,117,"7.4%",,71,"8.4%",,1.65,0.6,0.29
"iBoy","Rare Atom","ADC",3,"0%","100%",5,13,3,0.6,"66.7%","41.7%","23.2%",,,,,9.2,,333,"20.3%",,244,"25.7%",,0.35,0.13,0.43
"icon","LNG Esports","Middle",7,"86%","71%",22,7,47,9.9,"56.6%","18.0%","13.2%",,,,,8.4,,396,"21.4%",,278,"21.8%",,0.4,0.13,0.15
"Iwandy","LNG Esports","Support",7,"86%","71%",8,15,83,6.1,"74.6%","6.6%","28.3%",,,,,1.1,,135,"7.2%",,119,"9.4%",,1.87,0.6,0.42
"Leyan","Rare Atom","Jungle",3,"0%","0%",3,12,3,0.5,"50.0%","25.0%","21.4%",,,,,5.2,,269,"17.3%",,150,"17.0%",,0.27,0.17,0.5
"Light","LNG Esports","ADC",7,"86%","14%",42,9,39,9,"66.4%","34.4%","17.0%",,,,,10.1,,496,"26.7%",,363,"28.4%",,0.36,0.13,0.44
"Ming","Royal Never Give Up","Support",3,"100%","33%",5,4,29,8.5,"58.6%","8.6%","21.1%",,,,,1.3,,169,"8.0%",,139,"10.7%",,1.55,0.44,0.55
"MISSING","Team WE","Support",7,"14%","43%",4,30,32,1.2,"60.0%","6.7%","24.2%",,,,,1.2,,111,"7.3%",,85,"8.1%",,1.68,0.42,0.39
"Shanks","Team WE","Middle",7,"14%","43%",12,22,19,1.4,"51.7%","20.0%","17.7%",,,,,8.7,,332,"21.3%",,254,"24.5%",,0.47,0.21,0.16
"Tarzan","LNG Esports","Jungle",7,"86%","86%",27,2,58,42.5,"69.7%","22.1%","3.8%",,,,,6.1,,372,"19.7%",,245,"19.2%",,0.34,0.22,0.49
"Wei","Royal Never Give Up","Jungle",3,"100%","33%",13,3,25,12.7,"65.5%","22.4%","15.8%",,,,,6.1,,446,"20.9%",,270,"20.4%",,0.6,0.45,0.48
"Xiaohu","Royal Never Give Up","Top",3,"100%","100%",11,7,25,5.1,"62.1%","19.0%","36.8%",,,,,8,,398,"18.4%",,288,"21.9%",,0.42,0.14,0.24
