"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",35,"71%","63%",108,85,222,3.9,"56.6%","18.5%","23.0%","11%",170,179,6.2,8.1,"23.6%",557,"25.8%",,273,"21.6%",,0.38,0.15,0.21
"Aiming","Bilibili Gaming","ADC",38,"42%","39%",138,93,143,3,"64.2%","31.5%","17.1%","29%",23,81,2.3,9.5,"31.4%",486,"25.3%",,301,"26.8%",,0.55,0.12,0.41
"Aix","Rare Atom","Jungle",4,"50%","50%",5,10,20,2.5,"64.1%","12.8%","19.6%","50%",86,-43,3.3,6.6,"18.6%",291,"15.4%",,215,"19.6%",,0.58,0.27,0.36
"Aki","Oh My God","Jungle",39,"28%","54%",88,102,192,2.7,"69.5%","21.8%","17.2%","23%",-279,-279,-4.5,6,"17.7%",282,"16.1%",,200,"19.3%",,0.41,0.26,0.37
"Ale","LNG Esports","Top",7,"29%","43%",11,21,36,2.2,"62.7%","14.7%","25.6%","29%",-155,-77,-5.1,8,"25.1%",428,"23.9%",,235,"22.1%",,0.36,0.12,0.22
"Alielie","Oh My God","Top",6,"0%","50%",8,31,12,0.6,"74.1%","29.6%","28.4%","0%",-27,-265,0.7,7.8,"23.9%",431,"29.7%",,215,"24.2%",,0.31,0.14,0.11
"Angel","Suning","Middle",33,"64%","55%",89,48,236,6.8,"67.4%","18.5%","14.4%","18%",-47,-147,-1.1,8.7,"24.6%",507,"24.6%",,264,"22.4%",,0.48,0.21,0.23
"Aodi","Victory Five","Top",6,"50%","33%",14,18,43,3.2,"67.1%","16.5%","21.4%","33%",65,186,-0.7,6.9,"18.7%",464,"23.2%",,222,"18.9%",,0.37,0.26,0.08
"Baolan","Invictus Gaming","Support",13,"54%","62%",12,45,112,2.8,"61.4%","5.9%","25.1%","31%",-108,-97,-0.8,1.2,"2.7%",124,"6.2%",,108,"9.1%",,1.52,0.58,0.34
"Beichuan","FunPlus Phoenix","Jungle",14,"50%","71%",48,39,117,4.2,"76.7%","22.3%","17.8%","36%",-34,211,4.8,6.7,"19.6%",454,"20.4%",,247,"20.0%",,0.3,0.26,0.28
"beishang","Team WE","Jungle",36,"61%","36%",118,72,234,4.9,"69.0%","23.1%","16.7%","33%",113,232,4.1,6.5,"17.2%",308,"16.0%",,234,"19.5%",,0.31,0.29,0.49
"Betty","Rogue Warriors","ADC",17,"6%","59%",41,41,53,2.3,"68.1%","29.7%","15.5%","12%",-184,-100,-5.2,9.2,"33.1%",421,"25.1%",,262,"26.8%",,0.58,0.08,0.42
"Bin","Suning","Top",33,"64%","48%",103,67,204,4.6,"63.7%","21.4%","20.1%","18%",94,92,1.7,8.1,"23.5%",494,"23.7%",,269,"22.8%",,0.46,0.22,0.15
"Biubiu","Bilibili Gaming","Top",38,"42%","53%",85,158,200,1.8,"65.1%","19.4%","29.0%","13%",-133,-162,-3.6,7.6,"23.3%",487,"25.6%",,235,"21.1%",,0.46,0.19,0.19
"bless","ThunderTalk Gaming","Jungle",7,"14%","29%",7,21,16,1.1,"60.5%","18.4%","18.8%","0%",-204,-324,-4,6.8,"18.1%",259,"18.0%",,172,"18.4%",,0.25,0.25,0.39
"Bo","FunPlus Phoenix","Jungle",10,"100%","40%",68,24,62,5.4,"68.8%","36.0%","22.4%","40%",711,542,9.5,7.6,"21.1%",523,"22.8%",,319,"23.0%",,0.22,0.24,0.34
"Breathe","Team WE","Top",36,"61%","47%",102,68,215,4.7,"62.2%","20.0%","15.8%","17%",172,61,3.4,8,"24.2%",412,"21.8%",,266,"22.4%",,0.44,0.21,0.17
"Bright","Oh My God","Top",2,"0%","100%",5,5,11,3.2,"61.5%","19.2%","13.2%","0%",-263,125,-8.5,6.4,"18.7%",511,"27.7%",,193,"18.9%",,0.45,0.15,0.29
"Chance","LGD Gaming","Support",25,"36%","24%",19,95,177,2.1,"67.6%","6.6%","24.8%","12%",-64,2,1.2,1.2,"2.6%",122,"7.0%",,99,"9.2%",,1.56,0.49,0.38
