"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",10,"70%","40%",25,26,55,3.1,"47.9%","15.0%","26.3%",,,,,7.8,,642,"26.6%",,258,"20.4%",,0.38,0.13,0.15
"Able","Oh My God","ADC",37,"51%","38%",153,92,173,3.5,"69.4%","32.6%","18.9%",,,,,9.5,,516,"26.2%",,305,"27.3%",,0.53,0.05,0.49
"Aiming","Bilibili Gaming","ADC",41,"59%","51%",143,85,257,4.7,"69.7%","24.9%","16.0%",,,,,9.6,,609,"30.1%",,309,"26.4%",,0.46,0.14,0.38
"Aki","Oh My God","Jungle",37,"51%","65%",88,80,245,4.2,"70.9%","18.7%","16.4%",,,,,5.8,,328,"16.8%",,204,"18.6%",,0.3,0.23,0.31
"Ale","LNG Esports","Top",43,"58%","33%",160,109,195,3.3,"61.0%","27.5%","23.2%",,,,,8.1,,516,"26.5%",,267,"23.7%",,0.35,0.16,0.19
"Aliez","Victory Five","Top",22,"9%","27%",43,78,68,1.4,"62.4%","24.2%","23.8%",,,,,7.4,,355,"22.7%",,210,"22.4%",,0.41,0.25,0.17
"Angel","Suning","Middle",42,"57%","36%",121,71,258,5.3,"67.4%","21.5%","16.3%",,,,,7.8,,415,"22.0%",,247,"21.7%",,0.45,0.18,0.22
"Baolan","Invictus Gaming","Support",4,"50%","50%",2,15,29,2.1,"64.6%","4.2%","21.4%",,,,,1.3,,152,"7.8%",,93,"8.6%",,1.71,0.62,0.31
"beishang","Team WE","Jungle",40,"58%","63%",141,95,300,4.6,"72.4%","23.2%","17.7%",,,,,5.9,,379,"17.8%",,226,"19.7%",,0.33,0.32,0.45
"Betty","Rogue Warriors","ADC",30,"43%","67%",101,74,209,4.2,"76.5%","24.9%","16.6%",,,,,8.8,,556,"27.5%",,273,"24.8%",,0.39,0.11,0.32
"Bin","Suning","Top",42,"57%","48%",154,97,176,3.4,"58.7%","27.4%","22.3%",,,,,8.6,,460,"25.0%",,279,"24.3%",,0.46,0.2,0.16
"Biubiu","Bilibili Gaming","Top",41,"59%","61%",109,115,251,3.1,"62.7%","19.0%","21.7%",,,,,8,,445,"22.1%",,257,"22.0%",,0.45,0.21,0.19
"Breathe","Team WE","Top",40,"58%","63%",171,112,226,3.5,"65.2%","28.1%","20.9%",,,,,8.1,,484,"22.8%",,277,"24.4%",,0.43,0.22,0.2
"Clearlove","EDward Gaming","Jungle",1,"0%","100%",2,5,7,1.8,"90.0%","20.0%","22.7%",,,,,4.8,,214,"16.4%",,176,"17.6%",,0.29,0.22,0.36
"COLD","Oh My God","Support",37,"51%","59%",16,126,315,2.6,"70.4%","3.4%","25.9%",,,,,1.3,,142,"7.4%",,100,"9.1%",,1.46,0.52,0.3
"Creme","Oh My God","Middle",37,"51%","59%",124,92,221,3.8,"73.4%","26.4%","18.9%",,,,,7.9,,525,"27.2%",,255,"23.3%",,0.29,0.11,0.19
"Crisp","FunPlus Phoenix","Support",32,"69%","47%",28,73,314,4.7,"67.5%","5.5%","18.3%",,,,,1.9,,142,"6.5%",,128,"10.1%",,1.45,0.55,0.29
"Cryin","Royal Never Give Up","Middle",36,"61%","56%",78,93,314,4.2,"72.6%","14.4%","19.5%",,,,,7.8,,453,"21.7%",,250,"20.8%",,0.33,0.14,0.19
"Cube","Rare Atom","Top",41,"61%","51%",121,100,221,3.4,"64.9%","23.0%","21.3%",,,,,8,,449,"22.4%",,253,"21.8%",,0.47,0.15,0.15
"Doinb","FunPlus Phoenix","Middle",39,"72%","56%",187,70,260,6.4,"71.3%","29.8%","14.6%",,,,,9,,551,"24.9%",,313,"24.8%",,0.46,0.14,0.25
"Elk","Team WE","ADC",39,"59%","36%",137,83,270,4.9,"67.9%","22.9%","16.1%",,,,,9.3,,633,"30.4%",,293,"25.4%",,0.4,0.17,0.36
"fate","Victory Five","Support",16,"6%","38%",3,45,76,1.8,"65.3%","2.5%","18.2%",,,,,1.1,,111,"7.2%",,73,"8.0%",,1.55,0.55,0.23
"fearness","LGD Gaming","Top",20,"50%","50%",68,63,107,2.8,"65.5%","25.5%","21.8%",,,,,7.9,,469,"23.7%",,260,"23.4%",,0.28,0.09,0.21
"Feikun","ThunderTalk Gaming","Middle",2,"0%","50%",1,8,7,1,"42.1%","5.3%","18.2%",,,,,7.6,,426,"21.9%",,203,"21.0%",,0.33,0.16,0.33
