"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",4,"25%","25%",10,18,29,2.2,"78.0%","20.0%","30.0%",,,,,8.7,,484,"28.7%",,294,"25.9%",,0.35,0.12,0.17
"Able","Oh My God","ADC",3,"0%","0%",4,13,6,0.8,"55.6%","22.2%","23.2%",,,,,8.4,,367,"25.3%",,233,"26.2%",,0.38,0.13,0.25
"Aiming","Bilibili Gaming","ADC",3,"0%","0%",8,8,9,2.1,"50.0%","23.5%","12.1%",,,,,9.7,,613,"33.9%",,298,"26.7%",,0.41,0.15,0.29
"Aki","Oh My God","Jungle",3,"0%","33%",3,14,7,0.7,"55.6%","16.7%","25.0%",,,,,5.1,,312,"20.6%",,155,"17.4%",,0.25,0.19,0.29
"Ale","LNG Esports","Top",20,"50%","30%",74,73,93,2.3,"59.9%","26.5%","25.8%",,,,,8.2,,445,"24.2%",,275,"24.7%",,0.41,0.21,0.23
"Angel","Suning","Middle",5,"40%","20%",9,12,25,2.8,"57.6%","15.3%","16.4%",,,,,7.9,,452,"22.4%",,231,"21.3%",,0.5,0.27,0.25
"beishang","Team WE","Jungle",22,"55%","68%",63,54,143,3.8,"67.8%","20.7%","20.7%",,,,,5.3,,314,"16.0%",,205,"17.6%",,0.36,0.36,0.44
"Bin","Suning","Top",5,"40%","80%",11,14,16,1.9,"45.8%","18.6%","19.2%",,,,,8,,369,"18.0%",,250,"22.9%",,0.41,0.15,0.15
"Biubiu","Bilibili Gaming","Top",3,"0%","33%",5,18,14,1.1,"55.9%","14.7%","27.3%",,,,,7.9,,359,"21.7%",,246,"22.4%",,0.46,0.2,0.25
"Breathe","Team WE","Top",22,"55%","82%",77,50,102,3.6,"58.9%","25.3%","19.2%",,,,,8.3,,418,"22.0%",,282,"24.1%",,0.5,0.24,0.21
"COLD","Oh My God","Support",3,"0%","67%",4,12,13,1.4,"94.4%","22.2%","21.4%",,,,,1.4,,136,"9.3%",,95,"10.8%",,1.15,0.44,0.32
"Creme","Oh My God","Middle",3,"0%","100%",6,10,5,1.1,"61.1%","33.3%","17.9%",,,,,7.3,,336,"22.8%",,215,"23.8%",,0.41,0.14,0.09
"Crisp","FunPlus Phoenix","Support",10,"70%","50%",6,36,137,4,"76.9%","3.2%","22.8%",,,,,1,,123,"5.9%",,106,"8.8%",,1.91,0.61,0.35
"Cryin","Royal Never Give Up","Middle",4,"25%","50%",13,16,25,2.4,"63.3%","21.7%","23.2%",,,,,7.5,,622,"22.7%",,236,"21.7%",,0.36,0.16,0.18
"Cube","Rare Atom","Top",5,"40%","20%",6,12,21,2.3,"55.1%","12.2%","20.0%",,,,,7.8,,390,"22.7%",,220,"20.5%",,0.38,0.11,0.18
"Doinb","FunPlus Phoenix","Middle",10,"70%","70%",44,18,108,8.4,"81.7%","23.7%","11.4%",,,,,9.1,,516,"24.7%",,316,"26.0%",,0.53,0.13,0.22
"Elk","Team WE","ADC",22,"55%","68%",77,44,142,5,"72.0%","25.3%","16.9%",,,,,9.5,,614,"31.0%",,307,"26.0%",,0.4,0.16,0.35
"Flandre","EDward Gaming","Top",16,"69%","38%",47,43,93,3.3,"63.9%","21.5%","24.7%",,,,,8.4,,524,"25.9%",,275,"24.3%",,0.28,0.12,0.3
"FoFo","Rare Atom","Middle",5,"40%","40%",18,10,15,3.3,"67.3%","36.7%","16.7%",,,,,9.1,,467,"26.7%",,283,"26.1%",,0.3,0.12,0.25
"GALA","Royal Never Give Up","ADC",4,"25%","75%",13,13,23,2.8,"60.0%","21.7%","18.8%",,,,,9.3,,806,"29.4%",,285,"25.1%",,0.46,0.14,0.28
"Hang","Rare Atom","Support",5,"40%","40%",3,11,28,2.8,"63.3%","6.1%","18.3%",,,,,1.2,,120,"7.0%",,90,"8.3%",,1.61,0.42,0.46
"huanfeng","Suning","ADC",5,"40%","60%",24,9,18,4.7,"71.2%","40.7%","12.3%",,,,,9.8,,640,"32.5%",,310,"28.9%",,0.47,0.18,0.22
"iBoy","Rare Atom","ADC",5,"40%","60%",8,12,16,2,"49.0%","16.3%","20.0%",,,,,8.9,,391,"21.7%",,258,"24.2%",,0.79,0.08,0.4
"icon","LNG Esports","Middle",20,"50%","65%",59,60,123,3,"65.2%","21.1%","21.2%",,,,,8,,446,"24.0%",,246,"21.8%",,0.4,0.16,0.18
"Iwandy","LNG Esports","Support",20,"50%","30%",13,68,156,2.5,"60.6%","4.7%","24.0%",,,,,1.3,,106,"5.9%",,100,"8.9%",,1.94,0.61,0.53
"JackeyLove","Top Esports","ADC",4,"25%","50%",7,16,21,1.8,"56.0%","14.0%","26.7%",,,,,8.6,,440,"27.2%",,246,"21.9%",,0.42,0.19,0.19
"JieJie","EDward Gaming","Jungle",13,"69%","31%",36,29,93,4.4,"70.9%","19.8%","20.4%",,,,,5.2,,303,"15.0%",,193,"17.1%",,0.42,0.33,0.47
"JunJia","EDward Gaming","Jungle",3,"67%","67%",7,7,13,2.9,"54.1%","18.9%","21.9%",,,,,5.8,,273,"17.0%",,202,"16.8%",,0.34,0.32,0.5
"Karsa","Top Esports","Jungle",4,"25%","0%",17,12,16,2.8,"66.0%","34.0%","20.0%",,,,,6.2,,247,"14.3%",,224,"19.6%",,0.4,0.43,0.35
"knight","Top Esports","Middle",4,"25%","25%",15,8,16,3.9,"62.0%","30.0%","13.3%",,,,,8.9,,404,"23.8%",,271,"24.3%",,0.25,0.16,0.28
"Leyan","Rare Atom","Jungle",5,"40%","60%",14,15,20,2.3,"69.4%","28.6%","25.0%",,,,,6.7,,370,"22.0%",,226,"21.0%",,0.25,0.15,0.49
"Light","LNG Esports","ADC",20,"50%","35%",66,32,106,5.4,"61.6%","23.7%","11.3%",,,,,9.1,,517,"26.4%",,281,"24.6%",,0.44,0.1,0.31
"Lwx","FunPlus Phoenix","ADC",10,"70%","50%",56,35,63,3.4,"64.0%","30.1%","22.2%",,,,,9.3,,598,"27.0%",,317,"26.0%",,0.42,0.12,0.24
"Meiko","EDward Gaming","Support",16,"69%","75%",6,50,132,2.8,"63.0%","2.7%","28.7%",,,,,1,,97,"5.0%",,95,"8.3%",,1.69,0.52,0.38
"Ming","Royal Never Give Up","Support",4,"25%","50%",4,12,37,3.4,"68.3%","6.7%","17.4%",,,,,1.2,,219,"8.3%",,108,"10.0%",,1.72,0.52,0.48
"MISSING","Team WE","Support",22,"55%","41%",8,52,221,4.4,"75.3%","2.6%","19.9%",,,,,1.1,,136,"7.0%",,110,"9.3%",,1.74,0.46,0.37
"New","Oh My God","Top",3,"0%","33%",1,7,9,1.4,"55.6%","5.6%","12.5%",,,,,7.8,,327,"22.0%",,192,"21.8%",,0.43,0.18,0.12
"Nuguri","FunPlus Phoenix","Top",10,"70%","50%",45,30,70,3.8,"61.8%","24.2%","19.0%",,,,,7.2,,568,"26.0%",,269,"21.6%",,0.3,0.16,0.29
"ON","Suning","Support",5,"40%","60%",2,18,33,1.9,"59.3%","3.4%","24.7%",,,,,1.2,,137,"6.9%",,92,"8.3%",,2.51,0.59,0.54
"ppgod","Bilibili Gaming","Support",3,"0%","33%",2,18,14,0.9,"47.1%","5.9%","27.3%",,,,,1.2,,104,"6.0%",,86,"7.6%",,1.72,0.47,0.53
"Scout","EDward Gaming","Middle",16,"69%","44%",64,25,91,6.2,"70.8%","29.2%","14.4%",,,,,8.5,,455,"22.7%",,276,"24.3%",,0.43,0.13,0.28
"Shanks","Team WE","Middle",22,"55%","32%",79,61,124,3.3,"66.8%","26.0%","23.4%",,,,,8.4,,475,"24.0%",,271,"23.0%",,0.44,0.19,0.23
"SofM","Suning","Jungle",5,"40%","60%",13,20,31,2.2,"74.6%","22.0%","27.4%",,,,,6.1,,399,"20.2%",,200,"18.6%",,0.75,0.33,0.57
"Tarzan","LNG Esports","Jungle",20,"50%","75%",67,50,137,4.1,"73.1%","24.0%","17.7%",,,,,6.1,,370,"19.5%",,224,"19.9%",,0.39,0.24,0.44
"Tian","FunPlus Phoenix","Jungle",10,"70%","30%",35,39,81,3,"62.4%","18.8%","24.7%",,,,,5.4,,356,"16.4%",,213,"17.5%",,0.51,0.43,0.45
"Viper","EDward Gaming","ADC",16,"69%","50%",59,20,91,7.5,"68.5%","26.9%","11.5%",,,,,9.4,,618,"31.0%",,297,"26.0%",,0.53,0.16,0.41
"Wei","Royal Never Give Up","Jungle",4,"25%","0%",15,17,24,2.3,"65.0%","25.0%","24.6%",,,,,4.9,,463,"17.1%",,205,"18.7%",,0.45,0.42,0.44
"Weiwei","Bilibili Gaming","Jungle",3,"0%","0%",12,12,11,1.9,"67.6%","35.3%","18.2%",,,,,5.8,,300,"16.7%",,208,"18.5%",,0.42,0.39,0.49
