"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",10,"80%","50%",31,25,74,4.2,"59.3%","17.5%","24.3%","20%",-62,-43,1.8,7.7,"24.4%",498,"21.6%",,257,"20.8%",,0.45,0.17,0.22
"Bdd","Gen.G","Middle",7,"43%","50%",28,18,30,3.2,"81.7%","39.4%","18.6%","57%",247,56,4.1,9,"25.3%",470,"27.6%",,284,"25.2%",,0.52,0.3,0.25
"BeryL","Dplus KIA","Support",3,"33%","0%",2,14,23,1.8,"73.5%","5.9%","29.2%","33%",-358,-236,-16.7,1.1,"3.6%",163,"7.9%",,101,"9.1%",,1.63,0.51,0.49
"Canna","T1","Top",3,"33%","33%",8,7,9,2.4,"45.9%","21.6%","18.4%","0%",-115,160,-7.3,7.9,"24.0%",404,"24.6%",,232,"20.5%",,0.38,0.14,0.12
"Canyon","Dplus KIA","Jungle",3,"33%","100%",9,8,14,2.9,"67.6%","26.5%","16.7%","33%",104,249,6.7,5.1,"13.7%",299,"14.6%",,186,"17.5%",,0.59,0.38,0.32
"Chovy","DRX","Middle",5,"40%","80%",15,12,22,3.1,"67.3%","27.3%","23.5%","20%",4,58,2.8,8.7,"23.1%",461,"27.2%",,258,"23.1%",,0.59,0.27,0.3
"Clid","Gen.G","Jungle",7,"43%","67%",13,16,40,3.3,"74.6%","18.3%","16.5%","43%",-74,-213,-4.4,5.5,"16.3%",295,"16.5%",,198,"18.5%",,0.87,0.4,0.43
"Crisp","FunPlus Phoenix","Support",11,"55%","67%",8,31,80,2.8,"55.7%","5.1%","21.1%","18%",193,-18,10.5,1.8,"4.1%",136,"7.3%",,109,"9.4%",,1.27,0.43,0.22
"Cuzz","T1","Jungle",3,"33%","0%",3,6,20,3.8,"62.2%","8.1%","15.8%","33%",-47,-291,-0.3,5.9,"16.0%",199,"12.5%",,189,"16.4%",,0.46,0.44,0.68
"Deft","DRX","ADC",5,"40%","40%",13,11,30,3.9,"78.2%","23.6%","21.6%","20%",-220,-163,-15,8.4,"27.8%",453,"27.6%",,263,"24.1%",,0.87,0.19,0.38
"Doinb","FunPlus Phoenix","Middle",11,"55%","44%",33,30,91,4.1,"78.5%","20.9%","20.4%","18%",-127,-275,-9.4,8.3,"27.3%",455,"24.3%",,262,"23.9%",,0.42,0.15,0.2
"Doran","DRX","Top",5,"40%","40%",10,10,18,2.8,"50.9%","18.2%","19.6%","0%",-15,-80,1.2,8.5,"25.3%",348,"22.3%",,262,"23.8%",,0.58,0.25,0.18
"Effort","T1","Support",3,"33%","33%",5,8,23,3.5,"75.7%","13.5%","21.1%","33%",42,347,1.3,1,"2.4%",232,"14.2%",,105,"9.3%",,1.91,0.56,0.36
"Faker","T1","Middle",3,"33%","67%",12,9,12,2.7,"64.9%","32.4%","23.7%","67%",10,-32,-0.3,9.4,"26.7%",472,"29.4%",,320,"27.6%",,0.4,0.17,0.34
"Ghost","Dplus KIA","ADC",3,"33%","100%",9,8,12,2.6,"61.8%","26.5%","16.7%","33%",361,12,14.7,9.2,"31.8%",482,"23.3%",,292,"27.2%",,0.46,0.14,0.22
"JackeyLove","Top Esports","ADC",10,"80%","63%",49,26,54,4,"58.2%","27.7%","25.2%","20%",432,239,20.8,9.4,"28.5%",717,"30.5%",,316,"25.5%",,0.33,0.14,0.46
"Kanavi","JD Gaming","Jungle",8,"50%","29%",22,25,56,3.1,"77.2%","21.8%","21.9%","13%",76,129,4.4,6.2,"18.1%",352,"15.2%",,216,"18.8%",,0.79,0.27,0.75
"Karsa","Top Esports","Jungle",10,"80%","50%",27,21,70,4.6,"54.8%","15.3%","20.4%","30%",-58,21,-1.5,5.5,"15.9%",244,"10.7%",,209,"16.9%",,0.54,0.38,0.42
"Kellin","Gen.G","Support",1,"0%","100%",0,4,5,1.3,"100.0%","0.0%","22.2%","100%",137,100,3,0.9,"0.7%",80,"5.7%",,75,"8.1%",,1.39,0.4,0.12
"Keria","DRX","Support",5,"40%","80%",7,11,35,3.8,"76.4%","12.7%","21.6%","20%",199,93,10.2,2.2,"5.4%",161,"9.4%",,121,"10.4%",,1.39,0.5,0.54
"Khan","FunPlus Phoenix","Top",11,"55%","67%",42,27,54,3.6,"60.8%","26.6%","18.4%","18%",74,-47,-6.1,7.4,"23.3%",458,"24.5%",,256,"22.6%",,0.46,0.24,0.2
"knight","Top Esports","Middle",10,"80%","50%",59,15,66,8.3,"70.6%","33.3%","14.6%","20%",123,178,5.6,9.5,"29.6%",661,"28.6%",,334,"27.1%",,0.34,0.14,0.33
"Life","Gen.G","Support",6,"50%","40%",4,21,37,2,"62.1%","6.1%","26.6%","0%",-33,-145,-0.8,1.9,"5.3%",145,"8.4%",,103,"9.3%",,1.36,0.41,0.26
"LokeN","JD Gaming","ADC",8,"50%","57%",36,12,45,6.8,"80.2%","35.6%","10.5%","38%",-67,-97,-0.9,9.4,"29.6%",729,"31.6%",,304,"26.8%",,0.32,0.12,0.31
"LvMao","JD Gaming","Support",8,"50%","71%",1,29,64,2.2,"64.4%","1.0%","25.4%","38%",-151,-24,-0.4,0.9,"1.8%",143,"7.0%",,84,"7.4%",,1.58,0.54,0.23
"Lwx","FunPlus Phoenix","ADC",11,"55%","33%",46,28,63,3.9,"69.0%","29.1%","19.0%","18%",-421,-154,-18.7,7.8,"27.6%",535,"27.9%",,280,"25.2%",,0.52,0.14,0.31
"Ning","Invictus Gaming","Jungle",3,"0%","67%",3,14,10,0.9,"68.4%","15.8%","24.6%","67%",-82,-83,1.3,5.1,"14.8%",167,"8.7%",,153,"15.9%",,0.44,0.36,0.57
"Nuguri","Dplus KIA","Top",3,"33%","33%",5,14,16,1.5,"61.8%","14.7%","29.2%","0%",26,-75,5.7,7.8,"26.2%",556,"27.0%",,249,"23.6%",,0.39,0.16,0.18
"Puff","Invictus Gaming","ADC",3,"0%","67%",8,7,3,1.6,"57.9%","42.1%","12.3%","33%",4,-114,-1.3,10.2,"33.6%",598,"31.4%",,279,"29.0%",,0.31,0.08,0.4
"Pyosik","DRX","Jungle",5,"40%","40%",10,7,32,6,"76.4%","18.2%","13.7%","20%",-65,-91,-3.4,6.7,"18.4%",225,"13.4%",,217,"18.7%",,0.75,0.41,0.6
"Rascal","Gen.G","Top",7,"43%","67%",10,21,32,2,"59.2%","14.1%","21.6%","29%",-158,-34,-2.1,8.5,"25.2%",389,"22.5%",,249,"22.5%",,0.49,0.22,0.23
"Rookie","Invictus Gaming","Middle",3,"0%","67%",6,10,5,1.1,"57.9%","31.6%","17.5%","67%",-92,-6,1.7,7.9,"22.9%",563,"30.2%",,229,"24.0%",,0.36,0.26,0.25
"Ruler","Gen.G","ADC",7,"43%","17%",16,17,29,2.6,"63.4%","22.5%","17.5%","14%",45,183,2.1,9.1,"28.6%",427,"25.5%",,275,"24.6%",,0.72,0.22,0.43
"ShowMaker","Dplus KIA","Middle",3,"33%","33%",9,4,10,4.8,"55.9%","26.5%","8.3%","0%",75,155,2.7,8,"24.7%",562,"27.3%",,245,"22.6%",,0.45,0.11,0.19
"Southwind","Invictus Gaming","Support",3,"0%","0%",0,8,12,1.5,"63.2%","0.0%","14.0%","33%",-141,98,4,1,"2.1%",140,"7.5%",,70,"7.3%",,1.72,0.53,0.33
"Teddy","T1","ADC",3,"33%","67%",9,8,19,3.5,"75.7%","24.3%","21.1%","67%",182,-27,8.3,9.8,"30.9%",310,"19.3%",,298,"26.2%",,0.58,0.14,0.27
"TheShy","Invictus Gaming","Top",3,"0%","33%",2,18,6,0.4,"42.1%","10.5%","31.6%","0%",93,-265,3.7,8,"26.7%",415,"22.2%",,226,"23.8%",,0.33,0.03,0.15
"Tian","FunPlus Phoenix","Jungle",11,"55%","56%",29,31,76,3.4,"66.5%","18.4%","21.1%","27%",81,98,0.5,5.9,"17.7%",295,"15.9%",,212,"18.8%",,0.41,0.4,0.44
"Yagao","JD Gaming","Middle",8,"50%","29%",21,24,48,2.9,"68.3%","20.8%","21.1%","0%",-195,26,-1,8.1,"23.6%",570,"25.7%",,253,"22.4%",,0.39,0.13,0.22
"yuyanjia","Top Esports","Support",10,"80%","38%",11,16,122,8.3,"75.1%","6.2%","15.5%","30%",-48,6,-12.7,0.7,"1.6%",207,"8.6%",,121,"9.7%",,1.5,0.47,0.17
"Zoom","JD Gaming","Top",8,"50%","43%",21,24,30,2.1,"50.5%","20.8%","21.1%","13%",123,266,6.5,8.8,"26.9%",450,"20.5%",,278,"24.7%",,0.47,0.17,0.2
