"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Backlund","Dusty","Middle",9,"67%","56%",46,14,68,8.1,"61.6%","24.9%","14.6%","22%",45,-105,-1.6,8.1,"25.6%",502,"24.3%","24.7%",289,"22.3%",0,0.42,0.09,0.23
"Cboi","Bifrost","Jungle",10,"50%","30%",21,40,83,2.6,"68.4%","13.8%","24.0%","0%",-394,-133,-0.2,5.2,"15.0%",252,"13.6%","13.9%",188,"16.6%",1,0.35,0.32,0.35
"Dan","JD|XL","Jungle",4,"25%","25%",10,14,26,2.6,"64.3%","17.9%","17.1%","25%",-364,-84,-4.8,5.3,"15.3%",277,"12.6%","13.1%",190,"17.2%",0,0.35,0.4,0.38
"DuaLL","Bifrost","Support",10,"50%","80%",16,49,79,1.9,"62.5%","10.5%","29.3%","0%",433,301,17.5,2.8,"8.9%",234,"12.7%","12.0%",143,"12.7%",0,0.9,0.31,0.32
"EMENES","JD|XL","Middle",4,"25%","50%",11,21,20,1.5,"55.4%","19.6%","25.6%","0%",419,-184,14.3,8.7,"26.6%",622,"28.3%","27.8%",279,"25.1%",0,0.34,0.18,0.3
"EYLIPH","Dusty","Top",9,"67%","89%",29,23,52,3.5,"43.8%","15.7%","24.0%","33%",555,521,10.6,7.7,"22.6%",413,"20.8%","20.2%",267,"21.0%",0,0.38,0.17,0.17
"Fatihcan","Riddle Esports","ADC",7,"43%","43%",30,19,30,3.2,"58.3%","29.1%","15.7%","14%",-521,-245,-7,8.4,"31.4%",515,"26.8%","28.4%",274,"25.9%",0,0.4,0.14,0.22
"FGG","Dusty","Support",9,"67%","11%",18,20,105,6.2,"66.5%","9.7%","20.8%","22%",242,188,-6.9,1,"2.6%",254,"11.7%","10.3%",142,"11.0%",0,1.17,0.38,0.27
"Furuy","Bifrost","Middle",10,"50%","60%",38,28,70,3.9,"71.1%","25.0%","16.8%","0%",-391,-240,-8.2,8.7,"28.5%",479,"25.6%","25.1%",280,"24.4%",0,0.51,0.21,0.19
"Haru","X7 Esports","Jungle",7,"71%","71%",33,18,41,4.1,"58.3%","26.0%","20.0%","71%",450,229,3.9,6.4,"19.4%",387,"15.0%","14.8%",260,"21.1%",0,0.36,0.33,0.3
"Jaeger","X7 Esports","Top",7,"71%","71%",28,22,35,2.9,"49.6%","22.0%","24.4%","29%",320,286,9.7,8.6,"25.4%",635,"25.2%","25.5%",294,"23.4%",0,0.38,0.15,0.27
"Kasing","X7 Esports","Support",7,"71%","14%",5,22,81,3.9,"67.7%","3.9%","24.4%","57%",-406,-284,-16,1,"2.1%",123,"4.9%","4.6%",111,"9.0%",0,1.84,0.47,0.3
