"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Buchi","Lundqvist Lightside","Top",7,"86%","57%",26,19,50,4,"45.2%","15.5%","18.8%","0%",141,84,1.9,7.9,"22.3%",628,"20.6%","17.7%",279,"20.3%",0,0.45,0.12,0.09
"Cast","UniQ Esports Club","Jungle",8,"25%","25%",27,36,79,2.9,"73.1%","18.6%","19.5%","13%",-181,-218,-4.9,5.9,"17.5%",506,"18.1%","19.4%",239,"19.8%",2,0.24,0.15,0.28
"DrChaos","Lundqvist Lightside","Support",7,"86%","29%",11,23,124,5.9,"80.4%","6.5%","22.8%","43%",299,162,-5.1,1,"2.8%",241,"7.9%","6.5%",149,"10.7%",0,1.39,0.29,0.33
"Emp","Lundqvist Lightside","Jungle",7,"86%","71%",45,14,79,8.9,"73.8%","26.8%","13.9%","0%",-162,-6,3.9,7.2,"22.9%",665,"20.8%","23.8%",298,"21.2%",0,0.42,0.09,0.18
"FlayStation","UniQ Esports Club","Support",8,"25%","75%",8,44,85,2.1,"64.1%","5.5%","23.8%","38%",-215,-242,-0.3,1.1,"3.0%",201,"7.6%","6.8%",113,"9.5%",0,1.84,0.53,0.31
"Kenal","Venomcrest Esports","ADC",9,"44%","22%",52,32,55,3.3,"73.8%","35.9%","18.6%","22%",-37,10,1.6,9.3,"34.3%",766,"30.5%","31.2%",328,"26.9%",0,0.33,0.06,0.27
"MeLikePanda","Venomcrest Esports","Top",9,"44%","44%",20,26,43,2.4,"43.4%","13.8%","15.1%","11%",398,252,8.3,8,"24.0%",516,"20.3%","18.1%",268,"22.2%",0,0.42,0.11,0.11
"Modliszka","Venomcrest Esports","Middle",9,"44%","67%",29,34,57,2.5,"59.3%","20.0%","19.8%","22%",-286,-240,-8.2,7.4,"20.3%",583,"24.1%","25.2%",248,"20.6%",0,0.32,0.14,0.16
"Nitjit","Lundqvist Lightside","ADC",7,"86%","100%",43,25,70,4.5,"67.3%","25.6%","24.8%","29%",188,54,1.7,8.3,"24.2%",759,"24.4%","24.9%",320,"23.2%",0,0.41,0.13,0.23
"OWLONSKY","Venomcrest Esports","Jungle",9,"44%","56%",35,36,80,3.2,"79.3%","24.1%","20.9%","56%",287,198,1.3,5.7,"17.9%",463,"18.1%","19.4%",247,"20.7%",1,0.45,0.4,0.28
"Painful","Lundqvist Lightside","Middle",7,"86%","43%",43,20,65,5.4,"64.3%","25.6%","19.8%","14%",254,195,6.3,9.2,"27.8%",835,"26.4%","27.1%",339,"24.6%",0,0.3,0.03,0.16
"RustySniper","UniQ Esports Club","ADC",8,"25%","38%",58,39,53,2.8,"76.6%","40.0%","21.1%","38%",-123,-59,-3.3,8.7,"31.4%",854,"31.2%","32.0%",341,"28.4%",0,0.35,0.03,0.32
"Touch","Venomcrest Esports","Support",9,"44%","44%",9,44,103,2.5,"77.2%","6.2%","25.6%","22%",-42,89,4.2,1.3,"3.5%",172,"6.9%","6.1%",119,"9.7%",0,1.42,0.33,0.38
"ukko2000","UniQ Esports Club","Top",8,"25%","50%",11,34,43,1.6,"37.2%","7.6%","18.4%","0%",-571,-357,-11,6.2,"16.3%",391,"14.4%","12.3%",194,"16.1%",0,0.48,0.21,0.06
"UniqueCORN","UniQ Esports Club","Middle",8,"25%","38%",41,32,48,2.8,"61.4%","28.3%","17.3%","13%",99,99,3.8,8.9,"31.8%",776,"28.7%","29.5%",311,"26.1%",0,0.27,0.03,0.13
