"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"BOSS","MOUZ","Top",3,"0%","67%",9,14,10,1.4,"54.3%","25.7%","23.0%","0%",131,-235,3.7,7.4,"23.9%",593,"30.0%","29.8%",263,"25.3%",0,0.43,0.18,0.06
"D4nKa","GamerLegion","Jungle",11,"55%","60%",27,37,116,3.9,"70.8%","13.4%","21.1%","27%",-14,4,-1.3,5.4,"15.5%",315,"14.1%","14.5%",205,"17.7%",0,0.28,0.23,0.29
"Decay","FC Schalke 04 Esports","Middle",4,"25%","75%",11,7,18,4.1,"70.7%","26.8%","11.3%","25%",-423,-6,-4.3,8.7,"24.6%",306,"19.4%","20.1%",256,"22.8%",0,0.36,0.15,0.29
"Dreamer Ace","Unicorns of Love Sexy Edition","Support",11,"64%","36%",13,34,103,3.4,"66.3%","7.4%","25.2%","27%",-90,-13,1.3,1.1,"2.7%",135,"6.6%","5.6%",108,"9.0%",0,1.58,0.52,0.4
"ESCIK","GamerLegion","Middle",11,"55%","20%",40,34,99,4.1,"68.8%","19.8%","19.4%","18%",-77,-55,-7,7.6,"23.3%",548,"25.0%","24.6%",250,"21.2%",0,0.65,0.22,0.2
"HungryPanda","FC Schalke 04 Esports","Support",4,"25%","50%",1,24,26,1.1,"65.9%","2.4%","38.7%","25%",-118,246,0.3,1.1,"2.6%",129,"7.7%","6.0%",90,"8.0%",0,1.65,0.64,0.39
"iBo","Unicorns of Love Sexy Edition","Top",11,"64%","27%",43,25,58,4,"57.7%","24.6%","18.5%","0%",245,264,10,8.9,"26.1%",646,"30.6%","29.9%",299,"24.5%",0,0.42,0.19,0.21
"Isma","FC Schalke 04 Esports","Jungle",4,"25%","25%",9,12,20,2.4,"70.7%","22.0%","19.4%","25%",113,136,5,6,"15.4%",324,"18.8%","17.7%",202,"17.9%",1,0.26,0.25,0.29
"jinjo","GamerLegion","ADC",11,"55%","30%",76,27,78,5.7,"76.2%","37.6%","15.4%","36%",132,205,3.6,9.4,"32.6%",675,"29.2%","31.7%",341,"28.1%",0,0.47,0.12,0.27
"Keduii","Berlin International Gaming","ADC",6,"50%","33%",22,20,42,3.2,"78.0%","26.8%","20.4%","33%",215,336,8.3,9.5,"34.8%",581,"30.0%","33.4%",312,"27.5%",0,0.5,0.19,0.45
"Kynetic","Eintracht Spandau","ADC",7,"57%","50%",48,18,46,5.2,"75.2%","38.4%","14.0%","29%",115,-22,1.7,8.5,"29.1%",662,"29.1%","30.9%",351,"28.6%",0,0.49,0.2,0.22
"Lurox","Unicorns of Love Sexy Edition","Jungle",11,"64%","45%",35,24,78,4.7,"64.6%","20.0%","17.8%","18%",-18,-48,-2.2,5.6,"15.3%",269,"12.8%","13.3%",210,"17.6%",0,0.36,0.41,0.31
"Lyncas","MOUZ","Jungle",3,"0%","33%",5,10,15,2,"57.1%","14.3%","16.4%","0%",131,171,8.3,5.3,"12.5%",234,"11.4%","12.0%",174,"16.3%",0,0.34,0.32,0.19
"Nomanz","MOUZ","Middle",3,"0%","33%",4,11,14,1.6,"51.4%","11.4%","18.0%","0%",-399,-298,-4,8.7,"28.8%",479,"23.4%","24.7%",230,"21.7%",0,0.37,0.11,0.15
"Obsess","Eintracht Spandau","Jungle",7,"57%","50%",18,31,62,2.6,"64.0%","14.4%","24.0%","29%",101,45,1.2,5.1,"15.6%",304,"13.7%","14.9%",200,"16.5%",1,0.37,0.39,0.38
"Pabu","Berlin International Gaming","Jungle",6,"50%","67%",16,17,37,3.1,"64.6%","19.5%","17.3%","33%",-187,-141,-2.5,5,"11.8%",303,"15.8%","14.8%",192,"16.9%",0,0.32,0.33,0.33
"Peco","MOUZ","ADC",3,"0%","67%",15,13,11,2,"74.3%","42.9%","21.3%","67%",-339,-433,-8.3,8.8,"32.8%",647,"30.4%","29.5%",301,"28.2%",1,0.47,0.21,0.43
"Pride","Eintracht Spandau","Top",7,"57%","33%",19,26,49,2.6,"54.4%","15.2%","20.2%","0%",-55,-82,-7,8,"24.5%",522,"24.0%","22.0%",270,"22.0%",0,0.49,0.18,0.18
"Prime","Eintracht Spandau","Support",7,"57%","50%",6,33,75,2.5,"64.8%","4.8%","25.6%","29%",52,180,-1.5,1,"2.6%",132,"6.0%","5.7%",104,"8.6%",0,1.5,0.5,0.46
"Quicktimer","Berlin International Gaming","Support",6,"50%","83%",4,22,52,2.5,"68.3%","4.9%","22.4%","33%",208,6,-5.3,0.7,"2.1%",184,"9.6%","7.1%",102,"9.3%",0,1.29,0.47,0.43
"Reptile","Unicorns of Love Sexy Edition","ADC",11,"64%","82%",31,21,68,4.7,"56.6%","17.7%","15.6%","18%",-290,-327,-10.6,9,"30.3%",388,"19.5%","20.6%",281,"23.6%",0,0.39,0.11,0.22
"Ruby","Unicorns of Love Sexy Edition","Middle",11,"64%","55%",53,31,81,4.3,"76.6%","30.3%","23.0%","9%",162,38,3,8.9,"25.6%",608,"30.5%","30.7%",300,"25.3%",0,0.65,0.19,0.32
