"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alois","SK Gaming Prime","Top",6,"0%","17%",7,24,19,1.1,"65.0%","17.5%","20.3%","0%",-44,224,2.2,7.4,"22.7%",413,"22.6%","17.3%",207,"21.6%",0,0.36,0.23,0.16
"Amazing","MOUZ","Jungle",5,"40%","100%",4,23,31,1.5,"60.3%","6.9%","31.1%","20%",-121,-212,0.8,4.9,"12.3%",194,"10.5%","10.0%",157,"14.1%",0,0.27,0.19,0.24
"BOSS","MOUZ","Top",5,"40%","0%",10,15,23,2.2,"56.9%","17.2%","20.3%","0%",-159,-191,-2.2,8,"24.1%",440,"23.6%","20.8%",253,"23.0%",0,0.43,0.15,0.16
"Decay","FC Schalke 04 Esports","Middle",15,"67%","40%",57,23,85,6.2,"58.2%","23.4%","12.6%","13%",20,131,0.3,9.2,"25.5%",523,"22.0%","23.0%",298,"23.5%",0,0.43,0.18,0.27
"Eckas","SK Gaming Prime","Jungle",6,"0%","83%",11,25,22,1.3,"82.5%","27.5%","21.2%","33%",-9,-69,-5.3,5.5,"15.8%",273,"14.5%","14.4%",182,"18.5%",0,0.34,0.27,0.37
"Gadget","SK Gaming Prime","ADC",6,"0%","50%",10,23,15,1.1,"62.5%","25.0%","19.5%","17%",-194,-92,-7,9.6,"34.5%",581,"30.0%","33.5%",286,"28.5%",0,0.34,0.08,0.24
"HARPOON","Berlin International Gaming","ADC",8,"38%","38%",40,14,22,4.4,"68.9%","44.4%","12.8%","13%",-317,-237,-6.4,9.8,"34.6%",599,"34.1%","39.0%",320,"30.5%",0,0.41,0.1,0.34
"Isma","FC Schalke 04 Esports","Jungle",15,"67%","40%",44,30,134,5.9,"73.0%","18.0%","16.4%","33%",221,254,6.3,5.7,"14.9%",365,"15.6%","15.6%",225,"17.8%",0,0.24,0.25,0.24
"Jaeger","FC Schalke 04 Esports","Top",15,"67%","80%",46,55,109,2.8,"63.5%","18.9%","30.1%","53%",-32,-58,1.5,7.8,"21.7%",559,"24.4%","21.5%",263,"21.1%",0,0.42,0.22,0.23
"Kynetic","Eintracht Spandau","ADC",5,"40%","80%",19,15,25,2.9,"68.8%","29.7%","19.0%","20%",106,84,4.8,8.9,"29.0%",656,"26.1%","27.5%",299,"25.5%",0,0.42,0.19,0.31
"Lilipp","FC Schalke 04 Esports","Support",15,"67%","67%",18,49,146,3.3,"67.2%","7.4%","26.8%","20%",13,-18,0.9,0.9,"2.2%",172,"7.3%","6.4%",112,"8.8%",0,1.75,0.58,0.39
"Lurox","Unicorns of Love Sexy Edition","Jungle",7,"86%","14%",24,13,63,6.7,"64.9%","17.9%","19.1%","57%",-86,-136,-1.4,5.1,"15.0%",326,"11.3%","11.1%",205,"16.3%",1,0.36,0.34,0.28
"marlon","Berlin International Gaming","Support",8,"38%","13%",3,33,62,2,"72.2%","3.3%","30.3%","13%",-147,-9,-4.1,0.8,"2.0%",123,"7.0%","5.7%",79,"7.4%",0,1.41,0.42,0.3
"Nomanz","MOUZ","Middle",5,"40%","20%",15,15,24,2.6,"67.2%","25.9%","20.3%","20%",-213,19,-2.4,9.2,"27.4%",488,"25.1%","25.5%",269,"24.0%",0,0.54,0.1,0.36
"Obsess","Eintracht Spandau","Jungle",5,"40%","60%",14,15,33,3.1,"73.4%","21.9%","19.0%","40%",-389,-358,-5,4.8,"12.7%",291,"11.6%","12.7%",191,"16.3%",2,0.41,0.37,0.52
"Pabu","Berlin International Gaming","Jungle",8,"38%","38%",21,22,46,3,"74.4%","23.3%","20.2%","25%",-15,50,-3.9,5.4,"15.5%",235,"13.7%","13.6%",184,"17.4%",0,0.49,0.31,0.44
"Peco","MOUZ","ADC",5,"40%","100%",25,6,20,7.5,"77.6%","43.1%","8.1%","40%",150,263,5.4,10.2,"33.5%",694,"35.7%","39.3%",341,"30.4%",1,0.43,0.13,0.37
"Phantomles","SK Gaming Prime","Middle",6,"0%","67%",8,15,22,2,"75.0%","20.0%","12.7%","17%",-103,-64,-2.8,8.3,"23.2%",470,"24.8%","27.1%",225,"22.4%",0,0.43,0.19,0.22
"Pride","Eintracht Spandau","Top",5,"40%","0%",14,18,19,1.8,"51.6%","21.9%","22.8%","20%",96,137,6.4,8.2,"26.5%",664,"27.3%","23.9%",283,"24.3%",0,0.49,0.19,0.19
"Prime","Eintracht Spandau","Support",5,"40%","20%",4,14,44,3.4,"75.0%","6.3%","17.7%","0%",17,131,-2.8,0.7,"1.5%",196,"7.8%","7.0%",106,"9.0%",0,1.71,0.45,0.29
"Ruby","Unicorns of Love Sexy Edition","Middle",7,"86%","71%",35,16,59,5.9,"70.1%","26.1%","23.5%","43%",117,-44,1.9,8.5,"24.2%",886,"31.9%","34.8%",285,"22.9%",0,0.55,0.2,0.29
"Saviour","MOUZ","Support",5,"40%","100%",4,15,39,2.9,"74.1%","6.9%","20.3%","40%",122,-119,4.4,1.1,"2.8%",100,"5.2%","4.4%",96,"8.5%",0,1.79,0.4,0.43
"Scarface","Unicorns of Love Sexy Edition","Top",7,"86%","57%",25,9,50,8.3,"56.0%","18.7%","13.2%","43%",97,-119,-5.4,8,"25.7%",644,"23.3%","19.3%",287,"22.8%",0,0.39,0.16,0.14
"Seal","SK Gaming Prime","Support",6,"0%","33%",4,31,22,0.8,"65.0%","10.0%","26.3%","33%",-28,-232,-1,1.2,"3.7%",153,"8.2%","7.7%",91,"9.1%",0,1.65,0.36,0.42
"Shiganari","Unicorns of Love Sexy Edition","ADC",7,"86%","29%",41,12,48,7.4,"66.4%","30.6%","17.6%","29%",225,46,4.9,10,"32.7%",765,"27.5%","29.2%",361,"28.2%",0,0.49,0.2,0.34
"Special","Eintracht Spandau","Middle",5,"40%","60%",13,17,29,2.5,"65.6%","20.3%","21.5%","20%",-63,-165,0,9.5,"30.3%",682,"27.1%","28.9%",292,"24.8%",0,0.42,0.16,0.12
"TakeSet","FC Schalke 04 Esports","ADC",15,"67%","40%",79,26,101,6.9,"73.8%","32.4%","14.2%","20%",56,26,0.5,11,"35.8%",746,"30.7%","33.4%",371,"28.9%",0,0.34,0.11,0.52
