"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"unknown team","ADC",23,"22%","73%",88,111,91,1.6,"65.8%","32.4%","21.0%","22%",-911,-414,-14,7.3,"29.1%",537,"25.3%","26.9%",253,"24.9%",0,0.32,0.07,0.19
,"All for One Gaming","ADC",1,"100%","0%",2,3,8,3.3,"47.6%","9.5%","27.3%","0%",269,-230,-18,7.5,"26.8%",653,"23.7%","24.6%",276,"20.3%",0,0.38,0.19,0.13
,"Black Lion","Jungle",7,"29%","33%",24,35,57,2.3,"68.6%","20.3%","21.6%","14%",70,386,16.4,6.8,"23.5%",584,"23.2%","23.1%",248,"22.1%",0,0.49,0.2,0.46
,"unknown team","Jungle",16,"19%","44%",45,80,94,1.7,"70.2%","22.7%","20.6%","25%",-438,-340,-8.5,5.1,"16.9%",383,"17.7%","18.2%",196,"20.0%",1,0.26,0.11,0.31
,"DIVIZON","Jungle",6,"0%","0%",13,32,16,0.9,"61.7%","27.7%","26.7%","17%",-650,-809,-18.8,5,"15.4%",349,"18.0%","18.0%",191,"19.7%",0,0.13,0.13,0.2
,"Black Lion","Middle",7,"29%","100%",34,35,54,2.5,"74.6%","28.8%","21.6%","14%",-382,-211,-5.7,7.5,"25.4%",613,"24.3%","25.1%",271,"23.9%",0,0.44,0.14,0.15
,"unknown team","Middle",21,"24%","38%",52,78,108,2.1,"63.7%","20.7%","16.7%","24%",-387,-307,-12.1,7.4,"26.7%",480,"22.6%","23.8%",227,"23.1%",0,0.37,0.13,0.12
,"DIVIZON","Middle",6,"0%","50%",11,20,12,1.2,"48.9%","23.4%","16.7%","0%",-149,-229,-10.2,8,"27.3%",612,"31.0%","33.1%",235,"24.0%",0,0.44,0.21,0.15
,"DIVIZON","Support",6,"0%","75%",5,22,30,1.6,"74.5%","10.6%","18.3%","17%",-3,152,-3.7,1.1,"4.0%",161,"7.4%","7.0%",96,"9.9%",0,1.25,0.25,0.33
,"unknown team","Support",17,"24%","25%",12,76,113,1.6,"68.7%","6.6%","21.8%","35%",-314,-112,2.5,1.3,"4.8%",204,"10.2%","9.7%",99,"10.0%",0,0.94,0.27,0.2
,"Black Lion","Top",7,"29%","100%",17,26,47,2.5,"54.2%","14.4%","16.0%","0%",-400,-452,-5,6.7,"20.0%",445,"17.4%","15.9%",200,"18.1%",0,0.25,0.04,0.11
,"unknown team","Top",24,"29%","53%",52,97,97,1.5,"53.4%","18.6%","19.5%","17%",-109,-61,-4.4,7.1,"23.4%",494,"23.6%","20.6%",223,"22.0%",0,0.36,0.09,0.09
"Adept","WAVE Esports","Support",9,"56%","57%",24,24,104,5.3,"74.4%","14.0%","21.8%","67%",103,56,1.9,1.1,"2.8%",250,"9.5%","8.5%",152,"11.9%",0,1.29,0.33,0.25
"Afroboi","E WIE EINFACH E-SPORTS","Jungle",6,"50%","100%",20,20,74,4.7,"77.7%","16.5%","18.3%","33%",-1,-46,-6.8,4.2,"11.8%",308,"12.0%","12.2%",204,"17.3%",3,0.26,0.27,0.4
"Agile","unknown team","Middle",6,"50%","67%",32,20,19,2.6,"60.0%","37.6%","15.9%","0%",-231,-170,-5.5,8.7,"31.2%",686,"29.4%","34.3%",319,"26.5%",0,0.38,0.07,0.18
"Agurin","No Need Orga","Jungle",7,"57%","50%",25,30,45,2.3,"58.3%","20.8%","21.4%","43%",748,411,15.1,6.6,"20.0%",576,"21.8%","21.2%",268,"20.9%",2,0.44,0.18,0.34
"Akkers","mYinsanity","Top",9,"56%","33%",23,24,45,2.8,"45.6%","15.4%","15.4%","22%",45,-36,0.1,8.1,"24.6%",504,"22.8%","20.3%",256,"21.2%",0,0.42,0.13,0.18
"Akre","Eintracht Frankfurt","Jungle",8,"38%","40%",35,22,70,4.8,"76.1%","25.4%","13.6%","38%",138,129,2.6,6.2,"19.0%",427,"16.6%","17.0%",243,"21.4%",1,0.27,0.14,0.41
"Alcaffee","mYinsanity","Middle",9,"56%","17%",39,32,58,3,"65.1%","26.2%","20.5%","33%",20,-3,0.3,8.1,"23.5%",617,"27.3%","27.9%",298,"24.4%",0,0.38,0.12,0.21
"Alois","SK Gaming Prime","Top",13,"54%","55%",45,37,82,3.4,"51.8%","18.4%","18.3%","8%",304,145,7.4,8.3,"26.6%",577,"21.7%","19.0%",284,"22.4%",0,0.25,0.12,0.15
"Autophil","VININE","Jungle",6,"17%","40%",12,26,25,1.4,"68.5%","22.2%","23.0%","50%",-182,-58,-5,5.2,"16.1%",346,"18.7%","18.6%",188,"19.9%",1,0.3,0.28,0.3
"Baxe",,"Top",9,"44%","29%",19,16,67,5.4,"49.7%","11.0%","10.4%","11%",-84,130,-10,6.6,"18.5%",431,"17.7%","15.0%",217,"18.0%",0,0.41,0.14,0.12
"behave","Austrian Force willhaben","Jungle",4,"50%","100%",15,3,35,16.7,"73.5%","22.1%","5.2%","0%",-374,272,10.3,7.2,"23.4%",389,"17.3%","19.8%",276,"24.0%",0,0.56,0.27,0.42
"Biotic","unknown team","Support",5,"0%","0%",0,30,36,1.2,"66.7%","0.0%","23.1%","0%",-117,-148,-5.6,0.8,"2.6%",194,"9.0%","7.8%",78,"8.0%",0,1.12,0.24,0.21
"Bladeshow","VININE","Top",6,"17%","60%",12,21,12,1.1,"44.4%","22.2%","18.6%","17%",-240,-338,-7.2,7.6,"29.2%",455,"23.6%","22.7%",215,"23.0%",0,0.3,0.03,0.11
"BOSS","MOUZ","Top",6,"50%","33%",17,11,39,5.1,"47.1%","14.3%","11.7%","33%",95,-96,-1.5,7.5,"24.0%",504,"19.8%","18.4%",264,"21.4%",0,0.44,0.19,0.06
"Broeki","No Need Orga","ADC",7,"57%","50%",33,25,33,2.6,"55.0%","27.5%","17.9%","29%",-504,77,13.4,8.8,"27.3%",570,"21.1%","22.4%",297,"23.0%",0,0.33,0.1,0.15
"Canee","FC Schalke 04 Esports","Jungle",11,"73%","78%",20,42,101,2.9,"52.8%","8.7%","21.2%","36%",-364,-125,-7.5,4.8,"12.7%",310,"11.6%","11.3%",194,"14.3%",0,0.29,0.25,0.25
"Ceelus","DIVIZON","Top",6,"0%","50%",5,27,14,0.7,"40.4%","10.6%","22.5%","0%",-434,-461,-12,6.7,"22.2%",339,"17.7%","16.2%",187,"20.1%",0,0.35,0.07,0.04
"Coldraa","Hertha BSC eSport","ADC",16,"81%","57%",101,29,115,7.4,"67.5%","31.6%","19.9%","25%",529,177,5.4,8.2,"27.3%",622,"24.3%","25.5%",334,"25.4%",0,0.38,0.15,0.19
"Crowno","Kaufland Hangry Knights","Top",14,"64%","38%",41,52,70,2.1,"49.3%","18.2%","27.4%","29%",250,247,6.9,7.9,"26.8%",673,"28.1%","25.4%",274,"23.2%",0,0.54,0.21,0.2
"D4nKa","GamerLegion","Jungle",13,"62%","55%",50,37,154,5.5,"75.3%","18.5%","20.4%","31%",-43,-116,-2.4,6,"18.0%",492,"16.9%","18.0%",258,"19.6%",1,0.46,0.13,0.44
"Decay","FC Schalke 04 Esports","Middle",11,"73%","67%",60,32,38,3.1,"42.8%","26.2%","16.2%","18%",219,171,8.9,9.1,"24.5%",574,"23.0%","23.3%",315,"22.7%",0,0.29,0.1,0.18
"Deletus","unknown team","Jungle",5,"0%","50%",18,28,26,1.6,"81.5%","33.3%","21.5%","0%",-126,51,6,4.8,"13.5%",394,"18.4%","18.7%",191,"19.7%",1,0.06,0.06,0.14
"dibu","mYinsanity","Jungle",9,"56%","83%",30,33,77,3.2,"71.8%","20.1%","21.2%","56%",55,-53,-2.2,5.9,"18.5%",365,"15.4%","16.5%",238,"19.1%",3,0.52,0.38,0.41
"Don Arts","Unicorns of Love Sexy Edition","Support",3,"0%",,1,15,25,1.7,"60.5%","2.3%","23.8%","0%",-107,148,4,1.2,"2.7%",136,"5.8%","6.2%",90,"7.5%",0,0.93,0.26,0.47
"Eckas","SK Gaming Prime","Jungle",13,"54%","27%",54,29,108,5.6,"66.1%","22.0%","14.4%","8%",36,200,5.5,6.1,"18.4%",443,"16.4%","17.9%",250,"19.8%",2,0.5,0.27,0.28
"Envy Carry","WAVE Esports","Middle",9,"56%","57%",37,24,68,4.4,"61.0%","21.5%","21.8%","33%",-122,-253,-2.6,8.2,"30.2%",474,"18.9%","18.9%",291,"23.0%",0,0.28,0.15,0.17
"Ephekles","Sprout","Support",5,"40%","67%",0,19,36,1.9,"63.2%","0.0%","22.6%","0%",-265,-160,-2.2,0.7,"2.4%",166,"7.1%","6.6%",85,"7.8%",0,1.42,0.34,0.22
"ESCIK","GamerLegion","Middle",13,"62%","64%",79,34,112,5.6,"70.5%","29.2%","18.8%","23%",252,505,10.8,8.3,"26.1%",895,"30.5%","31.2%",311,"23.6%",0,0.43,0.11,0.13
"F1VTY","MOUZ","Jungle",6,"50%","67%",13,21,76,4.2,"74.8%","10.9%","22.3%","67%",-463,-369,-15.5,4.4,"12.6%",340,"13.3%","13.0%",190,"15.0%",1,0.25,0.22,0.2
"FatShield","unknown team","Top",1,"100%",,4,5,23,5.4,"71.1%","10.5%","19.2%","100%",1022,1006,5,5.6,"15.2%",730,"21.1%","19.0%",251,"18.4%",0,0.4,0.22,0.19
"FatShield","EPIC-DUDES","Top",9,"44%","33%",23,28,66,3.2,"61.0%","15.8%","16.8%","0%",-85,275,5.7,7.6,"22.7%",576,"24.3%","22.4%",255,"22.0%",1,0.35,0.08,0.12
"Finnry","Austrian Force willhaben","Jungle",2,"0%",,8,9,16,2.7,"85.7%","28.6%","18.8%","50%",-374,-178,9,5.5,"17.4%",486,"17.8%","18.6%",204,"20.0%",0,0.36,0.17,0.18
"FisheR","EPIC-DUDES","Middle",9,"44%","50%",37,33,60,2.9,"66.4%","25.3%","19.8%","22%",31,-93,-1.6,8.3,"27.3%",617,"25.7%","26.0%",277,"23.6%",0,0.43,0.14,0.16
"Flamer","Hertha BSC eSport","Top",13,"85%","64%",66,22,82,6.7,"57.8%","25.8%","20.2%","15%",212,4,6.8,8.9,"27.5%",618,"24.3%","23.0%",324,"24.7%",0,0.27,0.08,0.12
"Flay","Kaufland Hangry Knights","Support",14,"64%","38%",9,41,131,3.4,"62.2%","4.0%","21.6%","29%",-86,-182,1.8,0.9,"1.8%",162,"6.7%","6.0%",97,"8.3%",0,1.02,0.25,0.18
"Fliko","WeSports","ADC",8,"38%","29%",25,17,50,4.4,"62.0%","20.7%","13.4%","25%",116,15,-3.8,8.2,"31.1%",492,"22.9%","23.9%",260,"23.9%",0,0.41,0.13,0.14
"Gadget","SK Gaming Prime","ADC",13,"54%","73%",84,47,86,3.6,"69.4%","34.3%","23.3%","15%",292,230,4,8.3,"26.0%",771,"27.6%","28.2%",336,"25.9%",0,0.41,0.1,0.3
"Geeroid","KIT SC SmartWe","ADC",8,"50%","33%",26,17,33,3.5,"55.1%","24.3%","13.9%","0%",-14,89,0.4,8.5,"27.3%",484,"20.3%","23.0%",280,"23.4%",0,0.31,0.05,0.15
"GentlemanHero","KIT SC SmartWe","Top",8,"50%","83%",21,31,25,1.5,"43.0%","19.6%","25.4%","13%",-128,-47,5.6,8.3,"28.2%",654,"28.6%","27.8%",268,"22.4%",0,0.29,0.01,0.04
"Gint","Black Lion","ADC",7,"29%","33%",30,25,56,3.4,"72.9%","25.4%","15.4%","14%",-225,-113,-7.4,7.9,"27.2%",548,"21.5%","23.4%",272,"25.1%",0,0.29,0.06,0.11
"Glowing","unknown team","Middle",5,"0%","50%",15,20,17,1.6,"59.3%","27.8%","15.4%","0%",-152,-33,2.2,8.3,"28.0%",518,"25.5%","29.0%",247,"25.2%",0,0.4,0.12,0.15
"HARPOON","Berlin International Gaming","ADC",19,"63%","35%",120,47,104,4.8,"66.7%","35.7%","16.4%","58%",99,-143,-2.7,9.3,"31.5%",604,"26.2%","28.5%",345,"28.1%",3,0.37,0.07,0.19
"Heimdall","RNL ROAR","Support",11,"73%","50%",10,33,111,3.7,"68.4%","5.6%","23.4%","27%",53,108,-2,0.8,"2.3%",267,"10.6%","9.2%",125,"10.4%",0,1.12,0.23,0.31
"Impulse","DIVIZON","ADC",6,"0%","50%",13,19,19,1.7,"68.1%","27.7%","15.8%","0%",53,-191,-3.7,8.5,"31.1%",516,"25.9%","25.6%",256,"26.3%",0,0.38,0.06,0.28
