"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Afroboi","FC Schalke 04 Esports","Jungle",5,"40%","60%",10,17,29,2.3,"61.9%","15.9%","25.4%","20%",-178,-26,-1.8,4.6,"14.9%",241,"12.6%","12.8%",171,"16.2%",1,0.3,0.26,0.2
"Alexx","MOUZ","Jungle",9,"44%","22%",16,35,63,2.3,"60.8%","12.3%","28.0%","22%",-165,-222,-4.9,4.8,"16.0%",260,"12.5%","12.5%",170,"15.7%",1,0.23,0.22,0.4
"Carlsen","MOUZ","Top",9,"44%","78%",23,26,45,2.6,"52.3%","17.7%","20.8%","0%",-154,107,-2.2,7.5,"25.0%",465,"20.4%","18.9%",244,"22.5%",0,0.22,0.1,0.19
"FEBIVEN","SK Gaming Prime","Middle",13,"46%","54%",40,39,87,3.3,"67.2%","21.2%","21.4%","31%",-2,-33,-2.5,8.5,"26.3%",528,"24.3%","24.7%",259,"21.8%",0,0.43,0.16,0.2
"Fun K3y","Unicorns of Love Sexy Edition","ADC",9,"67%","67%",40,24,57,4,"69.8%","28.8%","21.6%","22%",-145,-196,-2.8,8.9,"27.5%",590,"25.2%","26.5%",305,"24.2%",0,0.41,0.17,0.3
"HARPOON","Berlin International Gaming","ADC",11,"64%","36%",60,24,43,4.3,"63.6%","37.0%","14.5%","18%",-225,-181,-7,9.8,"34.8%",628,"27.7%","32.1%",341,"28.9%",1,0.45,0.12,0.27
"JNX","SK Gaming Prime","Top",13,"46%","62%",39,32,71,3.4,"58.2%","20.6%","17.6%","8%",162,62,2.6,8.2,"24.4%",549,"26.3%","24.3%",271,"23.2%",0,0.44,0.12,0.22
"Kaymin","Berlin International Gaming","Middle",11,"64%","45%",37,40,70,2.7,"66.0%","22.8%","24.1%","36%",-95,-427,-7.9,7.2,"21.1%",511,"23.6%","22.8%",241,"20.5%",0,0.51,0.24,0.2
"Keduii","SK Gaming Prime","ADC",13,"46%","31%",60,36,70,3.6,"68.8%","31.7%","19.8%","31%",256,292,6.2,9.7,"32.9%",598,"27.3%","28.9%",331,"28.1%",0,0.49,0.16,0.33
"Kynetic","MOUZ","ADC",9,"44%","78%",39,23,61,4.3,"76.9%","30.0%","18.4%","33%",433,124,10.1,8.9,"31.2%",722,"31.1%","34.1%",298,"27.2%",0,0.45,0.17,0.3
"Lekcyc","Unicorns of Love Sexy Edition","Support",9,"67%","44%",9,30,92,3.4,"72.7%","6.5%","27.0%","22%",-21,169,0.9,1.1,"2.8%",214,"9.5%","8.3%",119,"9.5%",0,1.99,0.42,0.45
"Leon","Berlin International Gaming","Support",11,"64%","36%",8,26,107,4.4,"71.0%","4.9%","15.7%","18%",-160,107,3.7,1.2,"3.2%",139,"6.6%","5.6%",115,"9.6%",0,1.49,0.28,0.39
"Lilipp","Eintracht Spandau","Support",3,"0%","33%",1,8,11,1.5,"50.0%","4.2%","14.0%","0%",-23,-83,-4,1.1,"3.2%",200,"10.5%","9.6%",95,"9.0%",0,1.59,0.55,0.46
"Lurox","SK Gaming Prime","Jungle",13,"46%","69%",39,36,87,3.5,"66.7%","20.6%","19.8%","23%",-167,-327,-8.2,5,"14.0%",319,"14.8%","16.1%",205,"17.2%",2,0.39,0.36,0.38
"Mask","Unicorns of Love Sexy Edition","Middle",9,"67%","56%",34,11,69,9.4,"74.1%","24.5%","9.9%","11%",67,232,7.8,9.7,"28.2%",674,"28.8%","29.3%",311,"25.3%",0,0.35,0.13,0.37
"Mishigu","FC Schalke 04 Esports","ADC",5,"40%","20%",5,13,28,2.5,"52.4%","7.9%","19.4%","0%",-476,10,-10,8.4,"31.0%",408,"22.3%","23.9%",243,"23.8%",0,0.41,0.21,0.27
"Peach","Unicorns of Love Sexy Edition","Jungle",9,"67%","33%",37,25,65,4.1,"73.4%","26.6%","22.5%","44%",273,413,11,6.6,"18.3%",407,"17.5%","18.2%",256,"20.3%",1,0.29,0.17,0.3
"Pride","Eintracht Spandau","Top",3,"0%","0%",3,11,10,1.2,"54.2%","12.5%","19.3%","67%",655,353,10.7,7.9,"24.4%",451,"23.6%","18.3%",243,"23.7%",0,0.48,0.21,0.23
"Prime","SK Gaming Prime","Support",13,"46%","62%",11,39,133,3.7,"76.2%","5.8%","21.4%","38%",97,-76,-0.6,1.1,"2.3%",156,"7.3%","6.0%",115,"9.7%",0,1.69,0.55,0.47
"Rulfchen","Berlin International Gaming","Jungle",11,"64%","73%",34,40,91,3.1,"77.2%","21.0%","24.1%","45%",31,223,5,5.5,"16.0%",373,"16.7%","17.0%",230,"19.5%",2,0.27,0.24,0.43
"Sacre","FC Schalke 04 Esports","Top",5,"40%","0%",17,16,18,2.2,"55.6%","27.0%","23.9%","20%",247,-51,4.8,7.6,"22.3%",498,"26.1%","23.5%",250,"23.5%",0,0.45,0.2,0.17
"Seal","FC Schalke 04 Esports","Support",5,"40%","80%",10,11,41,4.6,"81.0%","15.9%","16.4%","0%",-189,-137,4,1.4,"3.5%",243,"10.8%","9.5%",131,"11.8%",0,1.57,0.39,0.49
"Sencux","MOUZ","Middle",9,"44%","44%",43,18,57,5.6,"76.9%","33.1%","14.4%","22%",219,467,10.8,8,"24.3%",603,"27.4%","27.9%",264,"24.2%",0,0.41,0.19,0.17
"Simpli","FC Schalke 04 Esports","Middle",5,"40%","60%",21,10,27,4.8,"76.2%","33.3%","14.9%","0%",-358,-361,-12.2,8.5,"28.2%",598,"28.1%","30.3%",265,"24.7%",0,0.32,0.16,0.14
"SMILEY","Eintracht Spandau","ADC",3,"0%","100%",6,16,6,0.8,"50.0%","25.0%","28.1%","0%",-354,-400,-6.3,9.4,"32.2%",510,"26.6%","32.9%",261,"24.9%",0,0.32,0.07,0.27
"Special","Eintracht Spandau","Middle",3,"0%","33%",7,11,4,1,"45.8%","29.2%","19.3%","0%",97,213,4.3,8.6,"26.1%",445,"23.4%","22.9%",248,"24.5%",0,0.45,0.21,0.16
"Tore","MOUZ","Support",9,"44%","44%",9,23,99,4.7,"83.1%","6.9%","18.4%","44%",189,-85,-5.4,1.1,"3.6%",199,"8.6%","6.7%",114,"10.4%",0,1.35,0.31,0.53
"Venour","Unicorns of Love Sexy Edition","Top",9,"67%","11%",19,21,54,3.5,"52.5%","13.7%","18.9%","22%",-209,-87,-3.9,8,"23.1%",452,"19.0%","17.8%",252,"20.8%",0,0.32,0.08,0.1
"Vizicsacsi","Berlin International Gaming","Top",11,"64%","82%",23,36,65,2.4,"54.3%","14.2%","21.7%","18%",-185,-163,-3.2,7.7,"24.9%",560,"25.4%","22.5%",248,"21.5%",0,0.57,0.29,0.22
"Zanzarah","Eintracht Spandau","Jungle",3,"0%","0%",7,11,13,1.8,"83.3%","29.2%","19.3%","67%",581,72,2,5,"14.1%",302,"16.0%","16.3%",179,"17.9%",0,0.25,0.24,0.24
