"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Agurin","NNO Prime","Jungle",6,"100%","67%",20,12,50,5.8,"75.3%","21.5%","26.7%","67%",411,464,12.5,7.6,"23.0%",676,"25.1%","27.5%",282,"21.7%",1,0.65,0.18,0.36
"Akabane","GamerLegion","Jungle",12,"50%","67%",19,37,102,3.3,"75.2%","11.8%","24.5%","17%",-172,-106,-1.3,5.1,"13.4%",261,"11.1%","11.6%",190,"16.6%",0,0.3,0.28,0.27
"Difference","DKB Diamonds","Top",8,"25%","38%",24,27,39,2.3,"62.4%","23.8%","19.9%","13%",227,286,6.8,8.4,"26.5%",570,"24.7%","21.5%",272,"24.9%",0,0.41,0.12,0.2
"Eckbard","DKB Diamonds","Support",8,"25%","63%",7,31,67,2.4,"73.3%","6.9%","22.8%","25%",-146,-301,-3.1,0.9,"2.6%",136,"5.9%","4.6%",99,"8.9%",0,1.27,0.32,0.3
"Flamer","NNO Prime","Top",6,"100%","83%",17,2,38,27.5,"59.1%","18.3%","4.4%","0%",-107,24,-1.3,8.7,"23.9%",529,"19.6%","17.3%",286,"21.9%",0,0.39,0.11,0.08
"Highway","Austrian Force willhaben","Support",10,"40%","40%",6,34,79,2.5,"75.2%","5.3%","24.6%","50%",37,111,0.7,1.1,"2.7%",154,"6.7%","6.1%",99,"9.1%",0,1.39,0.26,0.36
"jinjo","GamerLegion","ADC",12,"50%","42%",74,28,53,4.5,"78.9%","46.0%","18.5%","25%",92,-10,5.7,9.7,"32.4%",860,"35.1%","37.9%",327,"28.3%",0,0.38,0.11,0.29
"JiT","DKB Diamonds","Jungle",8,"25%","75%",14,37,65,2.1,"78.2%","13.9%","27.2%","50%",221,125,-2.8,4.7,"13.6%",340,"14.2%","13.9%",182,"17.0%",1,0.42,0.3,0.25
"Lamabear","NNO Prime","Support",6,"100%","0%",3,12,69,6,"77.4%","3.2%","26.7%","83%",177,177,2.3,1.1,"2.1%",146,"5.3%","3.8%",120,"9.2%",0,1.45,0.3,0.29
"Matislaw","NNO Prime","Middle",6,"100%","50%",26,7,32,8.3,"62.4%","28.0%","15.6%","50%",277,100,0,8.6,"24.6%",665,"24.5%","25.0%",299,"23.1%",0,0.45,0.18,0.14
"Nan0","Austrian Force willhaben","Middle",10,"40%","70%",23,15,55,5.2,"69.0%","20.4%","10.9%","10%",-130,-25,-1.5,8.8,"27.8%",576,"26.2%","29.6%",250,"23.5%",0,0.39,0.14,0.11
"Noltey","Austrian Force willhaben","Jungle",10,"40%","0%",20,29,65,2.9,"75.2%","17.7%","21.0%","40%",-217,-251,-3.8,4.9,"13.4%",235,"10.8%","10.9%",180,"17.2%",0,0.27,0.2,0.28
"Notiko","NNO Prime","ADC",6,"100%","50%",27,12,32,4.9,"63.4%","29.0%","26.7%","33%",-263,-102,-7.2,8.6,"26.4%",697,"25.5%","26.5%",315,"24.1%",0,0.33,0.1,0.22
"Phantomles","GamerLegion","Middle",12,"50%","42%",41,29,72,3.9,"70.2%","25.5%","19.2%","17%",-152,2,3.8,8.4,"23.7%",604,"25.4%","26.1%",256,"22.4%",0,0.45,0.19,0.25
"Piwek","Austrian Force willhaben","ADC",10,"40%","60%",50,24,37,3.6,"77.0%","44.2%","17.4%","40%",271,154,4.7,9.6,"34.3%",768,"32.5%","34.4%",312,"28.7%",0,0.31,0.1,0.26
"Relative","DKB Diamonds","Middle",8,"25%","38%",31,18,55,4.8,"85.1%","30.7%","13.2%","38%",182,-48,-3.9,8.1,"25.8%",671,"27.8%","29.8%",263,"24.4%",0,0.62,0.25,0.18
"Sven","Austrian Force willhaben","Top",10,"40%","50%",14,36,53,1.9,"59.3%","12.4%","26.1%","20%",-224,-296,-8.8,7.6,"21.9%",518,"23.8%","19.1%",223,"21.4%",0,0.33,0.12,0.1
"Tracyn","GamerLegion","Top",12,"50%","42%",21,20,58,4,"49.1%","13.0%","13.2%","0%",89,44,3.5,9,"28.0%",508,"21.7%","18.7%",279,"24.3%",0,0.22,0.08,0.14
"Visdom","GamerLegion","Support",12,"50%","75%",6,37,117,3.3,"76.4%","3.7%","24.5%","25%",-22,20,0.3,1,"2.3%",159,"6.8%","5.7%",97,"8.4%",0,1.54,0.39,0.28
"Wenbo","DKB Diamonds","ADC",8,"25%","50%",25,23,43,3,"67.3%","24.8%","16.9%","13%",-279,-102,-9,8.6,"31.4%",686,"27.4%","30.2%",271,"24.8%",0,0.34,0.07,0.26
