"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Bible","Dplus KIA Challengers","Support",10,"50%","60%",7,26,79,3.3,"75.4%","6.1%","23.9%","10%",-375,-75,3.3,0.9,"2.4%",179,"9.1%","7.9%",106,"9.6%",0,1.75,0.45,0.35
"Bonnie","KT Rolster Challengers","Jungle",5,"40%","80%",14,14,35,3.5,"66.2%","18.9%","18.2%","20%",-456,-532,-9.6,4.7,"13.0%",255,"10.9%","11.2%",187,"16.9%",0,0.28,0.29,0.48
"Castle","KT Rolster Challengers","Top",5,"40%","40%",21,17,27,2.8,"64.9%","28.4%","22.1%","0%",-259,-297,-2.6,7.2,"21.9%",538,"23.2%","20.9%",231,"21.3%",0,0.39,0.18,0.18
"Clear","DRX Challengers","Top",10,"50%","70%",16,18,57,4.1,"57.5%","12.6%","17.0%","20%",295,286,6.2,8.6,"25.9%",432,"21.8%","20.4%",249,"21.6%",0,0.37,0.24,0.18
"DnDn","Nongshim Esports Academy","Top",15,"60%","73%",39,38,97,3.6,"66.7%","19.1%","18.3%","20%",64,-31,-4.5,8.1,"25.0%",465,"22.7%","18.9%",255,"21.6%",0,0.39,0.28,0.21
"FIESTA","Nongshim Esports Academy","Middle",15,"60%","40%",39,38,107,3.8,"71.6%","19.1%","18.3%","20%",49,95,2.7,9,"27.7%",583,"27.9%","29.3%",282,"24.2%",0,0.46,0.2,0.27
"Forest","T1 Esports Academy","Jungle",5,"40%","80%",20,17,32,3.1,"75.4%","29.0%","20.7%","20%",90,140,7,6.3,"18.3%",467,"18.9%","18.7%",244,"20.0%",1,0.27,0.29,0.4
"Jiwoo","Nongshim Esports Academy","ADC",15,"60%","47%",70,38,92,4.3,"79.4%","34.3%","18.3%","13%",173,26,-0.9,9.6,"32.9%",615,"28.7%","31.3%",326,"27.6%",0,0.38,0.13,0.38
"Jun","DRX Challengers","Support",10,"50%","40%",17,21,89,5,"83.5%","13.4%","19.8%","50%",411,86,11.7,2.2,"6.3%",186,"9.7%","8.5%",140,"12.1%",0,1.67,0.43,0.44
"kabbie","T1 Esports Academy","Support",5,"40%","100%",4,16,42,2.9,"66.7%","5.8%","19.5%","20%",27,-481,-1.6,1,"2.4%",159,"7.9%","7.4%",102,"9.0%",0,1.58,0.37,0.22
