"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Baut","T1 Esports Academy","Support",13,"54%","62%",9,32,111,3.8,"74.1%","5.6%","18.8%","62%",54,55,-2,1.1,"3.0%",191,"9.0%","7.6%",115,"9.7%",0,1.91,0.49,0.4
"Bay","T1 Esports Academy","Middle",13,"54%","46%",36,27,83,4.4,"73.5%","22.2%","15.9%","31%",-251,-178,-5.5,7.8,"22.6%",479,"24.6%","24.9%",249,"21.8%",0,0.41,0.19,0.18
"Bible","Dplus KIA Challengers","Support",12,"75%","67%",13,35,105,3.4,"60.2%","6.6%","27.8%","17%",85,131,0.3,1.3,"3.4%",188,"9.6%","7.8%",131,"10.2%",0,1.81,0.51,0.47
"Calix","Nongshim Esports Academy","Middle",4,"50%","50%",9,5,18,5.4,"73.0%","24.3%","13.5%","50%",134,29,-0.3,8.8,"25.4%",466,"31.3%","30.4%",253,"23.1%",0,0.39,0.16,0.26
"Callme","Nongshim Esports Academy","Middle",1,"0%","0%",3,2,5,4,"72.7%","27.3%","11.1%","100%",590,290,3,10,"34.1%",656,"24.7%","24.3%",315,"29.2%",0,0.21,0.15,0.34
"Castle","KT Rolster Challengers","Top",11,"45%","82%",20,33,47,2,"56.3%","16.8%","25.4%","9%",150,92,5.5,8,"22.8%",404,"24.0%","21.5%",236,"21.8%",0,0.44,0.28,0.21
"Clear","DRX Challengers","Top",14,"50%","71%",30,28,69,3.5,"58.2%","17.6%","15.9%","14%",156,-54,3.4,8.4,"23.8%",454,"25.0%","21.8%",269,"23.4%",0,0.33,0.14,0.25
"Dal","T1 Esports Academy","Top",13,"54%","15%",28,49,57,1.7,"52.5%","17.3%","28.8%","15%",-103,13,-1.8,7.4,"20.6%",383,"20.5%","18.7%",230,"20.4%",0,0.34,0.23,0.09
"Duro","Hanwha Life Esports Challengers","Support",3,"0%","33%",3,7,16,2.7,"65.5%","10.3%","15.9%","0%",-283,-163,0,0.8,"2.9%",258,"13.2%","11.4%",80,"8.8%",0,1.7,0.43,0.33
"Feisty","KT Rolster Challengers","Middle",12,"42%","17%",34,24,49,3.5,"68.6%","28.1%","16.3%","17%",97,-14,3.3,9.1,"28.6%",413,"25.0%","26.0%",265,"25.2%",0,0.31,0.24,0.22
"Forest","T1 Esports Academy","Jungle",13,"54%","62%",33,39,87,3.1,"74.1%","20.4%","22.9%","54%",70,107,4.2,6,"18.1%",393,"19.5%","20.0%",228,"19.7%",0,0.45,0.29,0.49
"Guwon","Hanwha Life Esports Challengers","Jungle",3,"0%","33%",5,12,16,1.8,"72.4%","17.2%","27.3%","0%",-51,-19,-1,4.9,"14.9%",208,"12.0%","12.7%",156,"17.3%",1,0.43,0.3,0.43
"HamBak","KT Rolster Challengers","Jungle",12,"42%","42%",23,28,65,3.1,"72.7%","19.0%","19.0%","42%",-20,61,-1.3,5.1,"13.4%",263,"16.4%","18.3%",191,"17.8%",1,0.44,0.41,0.42
"HH","Nongshim Esports Academy","Support",5,"40%","80%",3,15,35,2.5,"79.2%","6.3%","27.3%","40%",64,30,1,1.1,"2.9%",111,"6.1%","4.8%",95,"8.8%",0,1.61,0.5,0.43
"Hype","KT Rolster Challengers","ADC",12,"42%","58%",35,27,57,3.4,"76.0%","28.9%","18.4%","33%",-35,-33,-0.7,9.6,"33.4%",414,"25.5%","27.2%",287,"26.2%",0,0.62,0.27,0.42
"Jiwoo","Nongshim Esports Academy","ADC",5,"40%","60%",17,13,15,2.5,"66.7%","35.4%","23.6%","0%",22,203,-1.8,9.3,"29.9%",493,"27.5%","29.5%",283,"25.7%",0,0.43,0.18,0.44
"Loopy","Dplus KIA Challengers","Support",9,"44%","44%",9,19,58,3.5,"73.6%","9.9%","18.6%","22%",41,-24,-3.8,0.9,"2.4%",212,"10.2%","9.1%",105,"9.6%",0,1.6,0.51,0.36
"Lucid","Dplus KIA Challengers","Jungle",21,"62%","62%",52,50,148,4,"69.7%","18.1%","21.9%","24%",-36,-46,0.3,5.3,"14.0%",284,"14.4%","14.8%",206,"17.3%",4,0.5,0.43,0.4
"Lure","Hanwha Life Esports Challengers","ADC",3,"0%","0%",3,7,15,2.6,"62.1%","10.3%","15.9%","0%",-768,-26,-10.7,8.1,"30.2%",401,"24.1%","27.6%",213,"23.1%",0,0.48,0.15,0.21
"Mihile","Nongshim Esports Academy","Top",5,"40%","20%",9,11,21,2.7,"62.5%","18.8%","20.0%","20%",-159,-108,-9,8.3,"23.6%",349,"19.5%","18.5%",245,"22.6%",0,0.43,0.28,0.35
"PerfecT","KT Rolster Challengers","Top",1,"0%","100%",0,3,1,0.3,"50.0%","0.0%","17.6%","0%",461,615,18,7.3,"15.6%",394,"36.2%","16.0%",178,"21.7%",0,0.37,0.18,0.22
"Piero","DRX Challengers","Support",14,"50%","29%",3,35,119,3.5,"71.8%","1.8%","19.9%","36%",-127,-115,0.6,1.2,"3.1%",115,"6.5%","5.7%",103,"8.9%",0,1.81,0.54,0.5
"Pleata","DRX Challengers","ADC",14,"50%","57%",56,24,70,5.3,"74.1%","32.9%","13.6%","36%",-212,182,-1,9.8,"32.7%",465,"25.6%","27.9%",302,"26.4%",0,0.5,0.16,0.32
"Pullbae","Dplus KIA Challengers","Middle",21,"62%","67%",65,43,115,4.2,"62.7%","22.6%","18.9%","14%",-47,25,-1.7,8.4,"23.5%",522,"26.1%","25.9%",264,"22.2%",1,0.48,0.2,0.23
"Rahel","Dplus KIA Challengers","ADC",21,"62%","48%",93,35,117,6,"73.2%","32.4%","15.4%","10%",157,-72,3.4,10.4,"35.7%",520,"26.2%","28.8%",339,"28.8%",0,0.5,0.19,0.52
"Reble","KT Rolster Challengers","Support",1,"0%","100%",0,4,1,0.3,"50.0%","0.0%","23.5%","0%",-123,-739,1,1.1,"2.5%",84,"7.7%","10.8%",64,"7.8%",0,1.36,0.48,0.22
"Roamer","Hanwha Life Esports Challengers","Middle",3,"0%","33%",9,5,11,4,"69.0%","31.0%","11.4%","0%",449,305,10.3,9,"28.5%",590,"32.1%","32.0%",256,"27.1%",0,0.41,0.16,0.25
"Rooster","Hanwha Life Esports Challengers","Top",3,"0%","100%",9,13,6,1.2,"51.7%","31.0%","29.5%","0%",217,180,9,7.4,"23.6%",347,"18.6%","16.3%",218,"23.7%",0,0.21,0.09,0.37
"SeTab","DRX Challengers","Middle",14,"50%","64%",52,43,57,2.5,"64.1%","30.6%","24.4%","36%",44,45,2.4,9.1,"26.9%",506,"28.1%","29.3%",279,"24.4%",0,0.37,0.21,0.3
"Smash","T1 Esports Academy","ADC",13,"54%","46%",56,23,59,5,"71.0%","34.6%","13.5%","54%",175,-122,-0.6,9.9,"35.7%",508,"26.3%","28.8%",330,"28.4%",0,0.43,0.12,0.33
"Sounda","Nongshim Esports Academy","Jungle",5,"40%","40%",7,9,31,4.2,"79.2%","14.6%","16.4%","80%",38,38,0.2,5.7,"16.5%",283,"16.8%","18.1%",203,"18.6%",2,0.69,0.39,0.65
"Sponge","DRX Challengers","Jungle",14,"50%","36%",29,46,95,2.7,"72.9%","17.1%","26.1%","57%",4,-92,-3.1,5.1,"13.5%",262,"14.7%","15.3%",194,"16.9%",2,0.48,0.33,0.37
"Thanatos","Dplus KIA Challengers","Top",21,"62%","38%",55,46,124,3.9,"62.4%","19.2%","20.2%","10%",-134,-49,-4,8.1,"23.8%",474,"23.5%","22.2%",256,"21.7%",0,0.39,0.2,0.21
"Way","KT Rolster Challengers","Support",11,"45%","36%",9,28,85,3.4,"79.0%","7.6%","21.5%","36%",31,56,3.7,1,"2.3%",128,"8.2%","7.1%",101,"9.0%",0,1.52,0.42,0.3
