"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Andil","Kwangdong Freecs Challengers","Support",20,"20%","35%",11,50,117,2.6,"73.6%","6.3%","16.9%","40%",-69,52,-2,0.9,"1.8%",152,"7.7%","6.6%",88,"8.4%",0,1.45,0.43,0.3
"Baut","T1 Esports Academy","Support",42,"31%","48%",31,126,344,3,"76.1%","6.3%","18.6%","26%",-54,40,-2.3,1.1,"1.9%",143,"7.1%","6.0%",100,"8.6%",0,1.62,0.5,0.29
"Bible","Dplus KIA Challengers","Support",27,"89%","59%",20,61,285,5,"70.1%","4.6%","29.5%","22%",141,5,0.1,1,"2.2%",156,"6.8%","5.4%",131,"9.4%",0,1.57,0.48,0.35
"Bull","Kwangdong Freecs Challengers","ADC",43,"30%","63%",141,103,178,3.1,"70.1%","31.0%","16.0%","30%",71,112,-2.8,9.1,"31.0%",570,"26.5%","29.2%",294,"26.7%",1,0.51,0.18,0.39
"Calix","Nongshim Esports Academy","ADC",4,"50%","50%",13,12,15,2.3,"60.9%","28.3%","24.0%","0%",-393,-87,-12.5,9.4,"33.2%",386,"16.6%","18.1%",294,"25.9%",0,0.41,0.19,0.37
"Calix","Nongshim Esports Academy","Middle",8,"50%","25%",29,16,26,3.4,"59.8%","31.5%","18.0%","25%",133,-72,1.1,9.6,"27.1%",542,"24.7%","23.4%",312,"25.6%",0,0.46,0.15,0.18
"Callme","Nongshim Esports Academy","Middle",35,"66%","63%",93,84,210,3.6,"68.9%","21.1%","20.6%","20%",5,101,1.3,9.1,"25.2%",591,"25.6%","25.9%",285,"23.1%",1,0.39,0.2,0.29
"Career","DRX Challengers","Support",26,"62%","65%",32,82,229,3.2,"80.3%","9.8%","25.0%","35%",107,61,7.5,1.7,"4.3%",196,"9.1%","8.5%",128,"10.7%",0,1.54,0.36,0.36
"Carfe","Gen.G Global Academy","ADC",45,"42%","49%",179,113,221,3.5,"72.9%","32.6%","20.5%","13%",-194,-184,-5.4,9.8,"31.7%",544,"26.5%","29.6%",305,"26.3%",0,0.46,0.12,0.39
"Casting","Gen.G Global Academy","Top",7,"29%","71%",12,19,30,2.2,"50.6%","14.5%","19.6%","14%",-88,-30,-2.3,7.6,"23.8%",554,"26.7%","25.2%",232,"21.0%",1,0.47,0.2,0.21
"Castle","KT Rolster Challengers","Top",5,"40%","60%",8,11,18,2.4,"83.9%","25.8%","17.7%","20%",-80,-115,1.6,8.2,"24.0%",422,"22.3%","17.6%",237,"23.0%",0,0.47,0.22,0.14
"Cleaver","Kwangdong Freecs Challengers","Middle",43,"30%","29%",121,152,182,2,"66.6%","26.6%","23.6%","19%",-29,-46,-1.3,8.4,"25.8%",568,"26.7%","26.6%",256,"23.4%",0,0.38,0.22,0.19
"Courage","Kwangdong Freecs Challengers","Jungle",39,"26%","54%",65,130,246,2.4,"77.4%","16.2%","21.5%","49%",59,43,-1,5,"13.4%",279,"13.4%","13.6%",185,"17.3%",0,0.37,0.33,0.33
"Cypher","T1 Esports Academy","ADC",2,"0%","100%",10,11,11,1.9,"55.3%","26.3%","25.0%","0%",83,65,8,8.9,"30.2%",686,"26.7%","26.3%",278,"23.8%",0,0.4,0.2,0.49
"Dal","T1 Esports Academy","Top",42,"31%","33%",101,117,183,2.4,"57.6%","20.5%","17.3%","24%",137,79,2.2,8,"21.7%",443,"22.0%","19.1%",253,"21.8%",1,0.33,0.2,0.12
