"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Callme","Nongshim Esports Academy","Middle",13,"69%","62%",41,25,72,4.5,"73.9%","26.8%","19.2%","46%",87,45,-0.3,9.7,"27.9%",618,"29.3%","30.0%",314,"25.4%",0,0.27,0.17,0.39
"Carfe","Gen.G Global Academy","ADC",3,"0%","0%",3,12,3,0.5,"66.7%","33.3%","25.5%","0%",-732,-74,-8.7,9.3,"28.6%",349,"24.0%","23.2%",250,"26.3%",0,0.39,0.17,0.35
"deokdam","DRX Challengers","ADC",14,"50%","57%",59,29,66,4.3,"69.1%","32.6%","18.5%","14%",36,-18,0.1,10.1,"32.8%",612,"28.9%","32.0%",327,"27.2%",1,0.47,0.1,0.33
"Duro","Hanwha Life Esports Challengers","Support",11,"45%","18%",4,33,105,3.3,"73.6%","2.7%","24.6%","45%",-97,51,-0.5,1,"1.9%",107,"5.1%","4.2%",104,"8.7%",0,1.73,0.5,0.37
"Feisty","KT Rolster Challengers","Middle",4,"25%","50%",7,12,22,2.4,"72.5%","17.5%","23.1%","25%",172,-27,4.8,9.2,"29.3%",550,"29.5%","29.1%",263,"24.2%",0,0.32,0.18,0.37
"Frog","DRX Challengers","Top",14,"50%","57%",31,22,58,4,"49.2%","17.1%","14.0%","0%",-182,-39,-6.4,8.3,"24.1%",351,"17.3%","15.9%",258,"21.8%",0,0.46,0.22,0.13
"Guwon","Hanwha Life Esports Challengers","Jungle",11,"45%","36%",18,36,89,3,"72.3%","12.2%","26.9%","55%",-206,-326,-5.1,5.2,"13.2%",251,"11.6%","12.5%",187,"15.8%",3,0.34,0.26,0.46
"HamBak","KT Rolster Challengers","Jungle",4,"25%","75%",4,14,21,1.8,"62.5%","10.0%","26.9%","50%",96,110,-0.5,4.9,"11.2%",243,"13.0%","11.8%",170,"15.9%",1,0.31,0.37,0.47
"HH","Nongshim Esports Academy","Support",13,"69%","69%",5,25,119,5,"81.0%","3.3%","19.2%","54%",73,-158,-0.9,1.2,"2.6%",142,"6.9%","6.0%",108,"8.6%",0,1.82,0.5,0.36
"Hype","KT Rolster Challengers","ADC",4,"25%","50%",20,7,7,3.9,"67.5%","50.0%","13.5%","50%",117,-153,-7,9.9,"32.7%",526,"25.5%","29.5%",313,"28.6%",0,0.63,0.2,0.34
"Lospa","Gen.G Global Academy","Support",3,"0%","100%",0,9,8,0.9,"88.9%","0.0%","19.1%","0%",-207,-266,-1,1.2,"2.4%",78,"5.9%","5.0%",76,"8.0%",0,2.08,0.62,0.39
"Lucid","Dplus KIA Challengers","Jungle",17,"53%","41%",22,41,134,3.8,"76.8%","10.8%","18.9%","24%",159,206,3.6,5.1,"12.0%",258,"12.6%","13.4%",182,"15.7%",5,0.43,0.4,0.32
"Lure","Hanwha Life Esports Challengers","ADC",11,"45%","55%",59,21,60,5.7,"80.4%","39.9%","15.7%","45%",122,-53,1.3,10.6,"34.2%",712,"33.5%","36.7%",349,"29.1%",0,0.4,0.09,0.33
"Mihile","Nongshim Esports Academy","Top",13,"69%","23%",29,34,48,2.3,"50.3%","19.0%","26.2%","0%",46,88,1,8.9,"24.4%",461,"22.3%","19.7%",277,"22.4%",0,0.38,0.19,0.14
"Ophelia","Gen.G Global Academy","Middle",3,"0%","67%",2,10,6,0.8,"88.9%","22.2%","21.3%","0%",20,48,3.3,9,"24.4%",517,"37.9%","40.4%",224,"23.5%",0,0.63,0.36,0.27
"PerfecT","KT Rolster Challengers","Top",4,"25%","75%",9,11,8,1.5,"42.5%","22.5%","21.2%","0%",199,-87,7,9,"25.2%",530,"27.5%","25.4%",260,"23.8%",0,0.47,0.23,0.28
"Pleata","DRX Challengers","Support",14,"50%","29%",10,39,129,3.6,"76.8%","5.5%","24.8%","14%",104,127,2.5,1.3,"2.4%",146,"6.9%","5.9%",113,"9.3%",0,1.91,0.55,0.43
"Pullbae","Dplus KIA Challengers","Middle",17,"53%","41%",54,43,95,3.5,"73.4%","26.6%","19.8%","6%",-44,-64,0.6,9,"25.4%",617,"29.0%","29.0%",292,"25.0%",0,0.51,0.22,0.29
"Rahel","Dplus KIA Challengers","ADC",17,"53%","65%",78,40,70,3.7,"72.9%","38.4%","18.4%","18%",-112,-76,0.8,10.7,"34.9%",592,"27.9%","30.6%",339,"28.5%",1,0.51,0.18,0.4
"Roamer","Hanwha Life Esports Challengers","Middle",11,"45%","45%",39,24,72,4.6,"75.0%","26.4%","17.9%","36%",-132,-81,-2.1,9,"26.0%",654,"30.6%","30.4%",290,"24.1%",0,0.49,0.16,0.28
"Rooster","Hanwha Life Esports Challengers","Top",11,"45%","82%",28,20,58,4.3,"58.1%","18.9%","14.9%","9%",-64,-54,-2.2,8.6,"24.7%",406,"19.2%","16.2%",268,"22.2%",0,0.42,0.12,0.17
"SeTab","DRX Challengers","Middle",14,"50%","50%",56,32,66,3.8,"67.4%","30.9%","20.4%","36%",23,97,-0.9,9.2,"27.4%",685,"32.6%","31.6%",298,"24.9%",0,0.45,0.18,0.3
"Sounda","Nongshim Esports Academy","Jungle",13,"69%","62%",17,30,97,3.8,"74.5%","11.1%","23.1%","38%",-32,-53,-1.5,5.3,"12.1%",239,"11.3%","11.1%",197,"15.9%",2,0.45,0.41,0.4
"Sponge","DRX Challengers","Jungle",14,"50%","43%",25,35,119,4.1,"79.6%","13.8%","22.3%","21%",-5,18,2.5,5.4,"13.3%",308,"14.4%","14.6%",200,"16.8%",3,0.56,0.39,0.39
"Thanatos","Dplus KIA Challengers","Top",17,"53%","47%",39,38,79,3.1,"58.1%","19.2%","17.5%","0%",98,27,4.8,8.8,"25.3%",517,"24.8%","21.7%",261,"22.0%",0,0.29,0.14,0.22
"Thumb","Dplus KIA Challengers","Support",17,"53%","65%",10,55,137,2.7,"72.4%","4.9%","25.3%","24%",-33,64,0.2,1.1,"2.3%",118,"5.7%","5.3%",102,"8.8%",0,1.64,0.44,0.42
"vital","Nongshim Esports Academy","ADC",13,"69%","31%",61,16,50,6.9,"72.5%","39.9%","12.3%","46%",138,228,1.9,10.8,"33.0%",631,"30.2%","33.2%",345,"27.8%",0,0.56,0.14,0.48
"Way","KT Rolster Challengers","Support",4,"25%","50%",0,8,27,3.4,"67.5%","0.0%","15.4%","75%",-40,-147,-4.3,1,"1.6%",80,"4.5%","4.2%",85,"7.6%",0,1.6,0.44,0.3
"Winner","Gen.G Global Academy","Jungle",3,"0%","100%",1,11,5,0.5,"66.7%","11.1%","23.4%","0%",-117,27,-6.3,5.8,"16.9%",118,"8.4%","9.9%",164,"17.4%",1,0.44,0.31,0.33
"Zest","Gen.G Global Academy","Top",3,"0%","0%",3,5,4,1.4,"77.8%","33.3%","10.6%","0%",65,-42,-2.7,9.1,"27.7%",334,"23.8%","21.5%",235,"24.8%",0,0.25,0.1,0.24
