"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",17,"53%","41%",71,35,80,4.3,"72.9%","34.3%","18.6%","18%",-162,37,-3.8,9.8,"32.3%",554,"28.5%","31.8%",326,"28.0%",0,0.43,0.15,0.39
"Bdd","KT Rolster","Middle",17,"53%","53%",38,37,113,4.1,"72.9%","18.4%","19.7%","35%",207,-37,-1.1,8.7,"24.4%",466,"24.2%","23.6%",267,"23.1%",0,0.4,0.19,0.15
"Burdol","Liiv SANDBOX","Top",4,"25%","25%",4,11,8,1.1,"44.4%","14.8%","22.0%","25%",-194,-270,-1,8.1,"22.8%",265,"18.7%","17.4%",219,"20.9%",0,0.42,0.3,0.22
"Canna","Dplus KIA","Top",4,"25%","50%",7,7,12,2.7,"67.9%","25.0%","15.2%","25%",2,-241,6.8,9.1,"26.4%",560,"28.3%","27.2%",271,"24.9%",0,0.39,0.15,0.19
"Canyon","Dplus KIA","Jungle",4,"25%","75%",6,10,14,2,"71.4%","21.4%","21.7%","50%",-126,-351,-5.5,5.5,"14.5%",273,"14.0%","17.3%",199,"18.4%",1,0.45,0.33,0.37
"Chovy","Gen.G","Middle",16,"63%","56%",56,23,88,6.3,"67.0%","26.0%","13.5%","19%",148,71,3.5,9,"25.2%",592,"27.7%","27.8%",292,"24.3%",0,0.65,0.17,0.48
"Clid","Hanwha Life Esports","Jungle",12,"42%","33%",7,28,66,2.6,"65.8%","6.3%","21.9%","42%",17,54,-0.4,5.4,"13.0%",237,"13.9%","14.7%",175,"15.9%",2,0.41,0.4,0.47
"Clozer","Liiv SANDBOX","Middle",4,"25%","75%",3,9,13,1.8,"59.3%","11.1%","18.0%","25%",-176,-23,-4,9.1,"26.3%",375,"27.0%","28.9%",229,"22.4%",0,0.31,0.18,0.17
"Cuzz","KT Rolster","Jungle",17,"53%","59%",53,44,102,3.5,"74.9%","25.6%","23.4%","35%",160,234,3.6,5.8,"16.0%",323,"16.8%","17.8%",212,"18.3%",5,0.34,0.3,0.49
"Deft","Dplus KIA","ADC",4,"25%","25%",11,10,12,2.3,"82.1%","39.3%","21.7%","25%",-253,129,5.5,9.1,"29.2%",501,"25.3%","24.8%",275,"25.4%",0,0.47,0.19,0.38
"Delight","Gen.G","Support",16,"63%","38%",9,36,149,4.4,"73.5%","4.2%","21.1%","13%",-47,-38,1.6,1.1,"2.3%",138,"6.7%","5.0%",114,"9.3%",0,1.71,0.46,0.4
"Doran","Gen.G","Top",16,"63%","31%",23,42,98,2.9,"56.3%","10.7%","24.6%","19%",-30,-127,-1.5,7.5,"20.9%",438,"21.0%","18.2%",244,"20.2%",0,0.43,0.24,0.18
"Envyy","Liiv SANDBOX","ADC",4,"25%","100%",10,10,10,2,"74.1%","37.0%","20.0%","0%",223,106,3.3,10,"33.6%",520,"34.9%","34.4%",300,"28.7%",0,0.44,0.13,0.3
