"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",40,"85%","35%",229,49,218,9.1,"74.9%","38.4%","15.9%","28%",196,111,2.5,10.5,"34.5%",644,"29.6%","34.0%",374,"29.0%",1,0.43,0.12,0.39
"Andil","Kwangdong Freecs","Support",20,"10%","80%",10,72,87,1.3,"67.4%","6.9%","22.6%","30%",11,213,2,1.1,"1.9%",127,"6.6%","6.3%",85,"8.0%",0,1.57,0.47,0.29
"Bdd","KT Rolster","Middle",40,"85%","50%",135,58,280,7.2,"69.5%","22.6%","18.8%","28%",42,-93,0.8,8.8,"23.3%",570,"26.3%","24.6%",282,"22.0%",1,0.44,0.21,0.18
"BeryL","DRX","Support",43,"37%","49%",15,140,278,2.1,"70.6%","3.6%","24.3%","16%",-8,40,-0.5,1.3,"3.2%",160,"8.3%","7.6%",103,"9.4%",0,1.67,0.47,0.48
"Bible","Dplus KIA","Support",13,"62%","46%",12,43,109,2.8,"68.8%","6.8%","24.7%","15%",1,48,0.8,1.1,"2.2%",113,"4.8%","4.0%",109,"8.9%",0,1.87,0.59,0.38
"BuLLDoG","Kwangdong Freecs","Middle",38,"26%","68%",75,106,141,2,"64.3%","22.3%","19.2%","13%",-124,-45,-2.8,9.3,"27.6%",598,"29.1%","30.0%",267,"24.5%",0,0.46,0.24,0.24
"Burdol","Liiv SANDBOX","Top",23,"26%","35%",46,65,97,2.2,"56.3%","18.1%","19.1%","13%",-228,-136,-4.7,7.6,"22.2%",431,"22.1%","19.6%",232,"20.8%",0,0.4,0.24,0.15
"Canna","Dplus KIA","Top",40,"60%","50%",86,94,191,2.9,"52.8%","16.4%","22.0%","15%",72,120,1.5,8,"23.9%",501,"21.9%","18.0%",255,"21.4%",0,0.4,0.22,0.15
"Canyon","Dplus KIA","Jungle",40,"60%","55%",89,90,291,4.2,"72.4%","17.0%","21.0%","30%",212,134,2.5,6.1,"17.0%",329,"14.4%","15.7%",223,"18.6%",4,0.5,0.38,0.38
"Chovy","Gen.G","Middle",39,"82%","41%",104,53,266,7,"65.7%","18.5%","16.7%","23%",193,119,5.9,9.5,"25.8%",611,"27.0%","27.1%",299,"23.0%",0,0.41,0.17,0.42
"Clear","Liiv SANDBOX","Top",16,"38%","50%",26,42,76,2.4,"56.7%","14.4%","20.1%","19%",-37,51,-2.2,8.2,"23.6%",447,"21.9%","18.8%",244,"21.3%",0,0.34,0.18,0.22
"Clid","Hanwha Life Esports","Jungle",15,"67%","27%",34,34,96,3.8,"71.4%","18.7%","26.6%","40%",-94,-1,-0.1,5.9,"15.6%",276,"12.8%","14.3%",217,"18.4%",4,0.44,0.44,0.47
"Clozer","Liiv SANDBOX","Middle",39,"31%","46%",118,103,176,2.9,"67.7%","27.2%","18.7%","26%",-2,39,1.3,9.7,"29.1%",587,"29.7%","30.2%",290,"25.9%",0,0.38,0.21,0.29
"Croco","DRX","Jungle",25,"36%","48%",41,69,155,2.8,"75.4%","15.8%","19.9%","44%",-188,-287,-9.7,5.1,"14.3%",283,"13.7%","14.7%",191,"17.3%",2,0.46,0.37,0.4
"Cuzz","KT Rolster","Jungle",40,"85%","50%",101,65,345,6.9,"74.7%","16.9%","21.0%","48%",-1,39,2.6,5.9,"14.7%",317,"14.7%","15.7%",227,"17.6%",4,0.4,0.38,0.48
"Deft","Dplus KIA","ADC",37,"62%","49%",173,75,201,5,"73.9%","34.2%","18.4%","24%",5,-40,0.9,9.6,"31.0%",730,"31.0%","33.3%",328,"27.1%",0,0.52,0.16,0.43
"Delight","Gen.G","Support",39,"82%","54%",25,65,379,6.2,"71.8%","4.4%","20.4%","41%",24,1,2.8,1.1,"2.1%",145,"6.3%","5.7%",122,"9.4%",0,1.58,0.4,0.32
"DnDn","Nongshim RedForce","Top",43,"30%","44%",57,125,143,1.6,"48.8%","13.9%","21.3%","7%",-148,-105,-1.9,8.2,"24.8%",451,"23.9%","19.7%",233,"21.4%",0,0.55,0.31,0.15
"Doran","Gen.G","Top",39,"82%","51%",101,82,220,3.9,"57.0%","17.9%","25.8%","31%",95,-46,-0.5,8.5,"24.0%",536,"23.8%","19.9%",292,"22.3%",0,0.37,0.18,0.15
"DuDu","Kwangdong Freecs","Top",38,"26%","58%",83,92,133,2.3,"64.3%","24.7%","16.7%","13%",61,65,4.2,8.9,"26.1%",523,"24.5%","20.6%",260,"23.5%",0,0.31,0.12,0.18
"Effort","OKSavingsBank BRION","Support",45,"33%","51%",16,107,266,2.6,"74.2%","4.2%","22.2%","36%",-30,-35,0.9,1,"2.0%",111,"6.1%","5.5%",95,"8.6%",1,1.8,0.55,0.38
"Faker","T1","Middle",23,"74%","52%",63,50,127,3.8,"61.3%","20.3%","23.5%","13%",60,140,3.5,8.9,"24.3%",592,"25.5%","25.3%",288,"22.5%",0,0.43,0.16,0.24
"FATE","DRX","Middle",34,"44%","47%",92,60,156,4.1,"69.7%","25.8%","14.1%","9%",-75,-81,-0.9,9.1,"27.5%",585,"29.4%","30.9%",277,"24.6%",0,0.42,0.2,0.27
"Feisty","KT Rolster","Middle",1,"100%","0%",6,2,13,9.5,"82.6%","26.1%","18.2%","0%",76,266,4,9.2,"26.5%",781,"32.1%","33.5%",363,"26.0%",0,0.53,0.33,0.14
"FIESTA","Nongshim RedForce","Middle",31,"32%","55%",84,88,153,2.7,"69.7%","24.7%","18.8%","26%",-82,-47,-3.8,8.3,"23.6%",582,"28.6%","29.6%",257,"23.2%",0,0.49,0.28,0.26
"Grizzly","Hanwha Life Esports","Jungle",26,"65%","42%",58,63,193,4,"69.9%","16.2%","21.1%","23%",102,56,1.5,5.5,"13.3%",310,"14.2%","15.0%",213,"17.0%",3,0.38,0.4,0.33
"Gumayusi","T1","ADC",41,"51%","59%",171,74,179,4.7,"73.8%","36.1%","15.6%","17%",34,-20,4.6,10.7,"34.2%",617,"28.5%","31.4%",343,"28.6%",1,0.55,0.17,0.46
"HamBak","KT Rolster","Jungle",1,"100%","0%",2,1,15,17,"73.9%","8.7%","9.1%","0%",78,-176,-3,6.1,"16.6%",336,"13.8%","14.5%",239,"17.1%",0,0.53,0.5,0.64
"Hena","OKSavingsBank BRION","ADC",45,"33%","38%",133,80,134,3.3,"70.3%","35.0%","16.6%","27%",-30,-31,-4,10,"32.3%",520,"27.7%","30.7%",296,"27.1%",1,0.53,0.15,0.47
"Hype","KT Rolster","ADC",1,"100%","100%",10,3,12,7.3,"95.7%","43.5%","27.3%","0%",-557,-94,-2,9.6,"31.7%",711,"29.2%","28.9%",380,"27.2%",0,0.44,0.11,0.44
"Ivory","OKSavingsBank BRION","Middle",10,"30%","60%",12,29,30,1.4,"56.8%","16.2%","26.4%","10%",-213,-106,-6.9,9,"26.4%",468,"25.1%","24.3%",241,"22.4%",0,0.52,0.22,0.21
"Jiwoo","Nongshim RedForce","ADC",36,"31%","53%",137,112,135,2.4,"73.5%","37.0%","21.6%","39%",-91,41,-1.6,10.2,"34.6%",581,"29.0%","31.7%",316,"28.3%",1,0.4,0.15,0.45
"Juhan","DRX","Jungle",18,"39%","44%",23,51,96,2.3,"76.8%","14.8%","22.2%","17%",-62,-41,1.1,5.2,"13.4%",240,"13.5%","14.2%",183,"17.2%",0,0.54,0.43,0.45
"Jun","Kwangdong Freecs","Support",18,"44%","50%",10,52,135,2.8,"75.5%","5.2%","22.4%","22%",40,-22,0.3,0.8,"1.7%",194,"9.0%","8.6%",100,"8.6%",0,1.65,0.5,0.26
"Kael","Liiv SANDBOX","Support",39,"31%","51%",14,125,295,2.5,"71.2%","3.2%","22.7%","21%",-41,-77,-0.7,1,"2.3%",126,"6.6%","5.9%",95,"8.4%",0,1.8,0.58,0.39
"Karis","OKSavingsBank BRION","Middle",35,"34%","60%",80,63,140,3.5,"71.9%","26.1%","16.9%","23%",-67,5,-2.1,9.1,"26.3%",498,"27.1%","28.6%",267,"24.1%",0,0.32,0.2,0.29
"Kellin","Dplus KIA","Support",27,"59%","41%",19,49,252,5.5,"77.7%","5.4%","19.3%","33%",77,-4,-1.3,1,"2.2%",177,"8.1%","7.2%",114,"9.4%",0,1.67,0.41,0.34
"Keria","T1","Support",41,"51%","32%",23,97,339,3.7,"76.4%","4.9%","20.5%","20%",56,39,0.9,1.1,"2.1%",155,"7.2%","6.6%",110,"9.1%",0,1.74,0.52,0.38
"Kiin","KT Rolster","Top",40,"85%","48%",111,56,246,6.4,"59.8%","18.6%","18.1%","13%",-21,-8,0.8,8.8,"25.5%",494,"23.1%","20.3%",286,"22.2%",0,0.4,0.16,0.17
"Kingen","Hanwha Life Esports","Top",41,"66%","51%",71,76,208,3.7,"51.6%","13.1%","17.8%","12%",-23,-7,-1,8.3,"23.7%",492,"22.9%","19.8%",258,"21.1%",0,0.47,0.26,0.17
