"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Allorim","Wildcard Gaming","Top",2,"0%","100%",0,5,4,0.8,"33.3%","0.0%","16.7%","0%",-496,-391,-10.5,8.2,"26.9%",282,"24.9%","20.6%",198,"21.4%",0,0.37,0.17,0.14
"APA","Maryville University","Middle",3,"33%","67%",12,10,18,3,"62.5%","25.0%","19.2%","33%",-439,-644,-22.7,7.4,"27.8%",519,"27.4%","28.6%",242,"21.6%",0,0.35,0.05,0.15
"Armao","Team Liquid Academy","Jungle",16,"75%","38%",46,41,109,3.8,"61.0%","18.1%","22.3%","50%",299,201,2.9,6.7,"16.4%",256,"12.3%","12.8%",219,"18.1%",3,0.21,0.18,0.23
"Array","100 Thieves Next","ADC",6,"33%","50%",10,17,21,1.8,"44.3%","14.3%","20.5%","17%",-490,-173,-15.5,8.2,"27.5%",399,"21.6%","24.9%",238,"22.1%",0,0.41,0.14,0.24
"Avano","Winthrop University","Middle",4,"0%","50%",6,20,11,0.9,"50.0%","17.6%","22.5%","25%",-497,-322,-13.3,7.7,"25.8%",370,"25.7%","28.3%",224,"21.5%",0,0.46,0.2,0.14
"Azog","Maryville University","ADC",3,"33%","67%",15,8,16,3.9,"64.6%","31.3%","15.4%","0%",112,-78,1.7,7.9,"26.4%",431,"23.2%","24.9%",273,"25.5%",0,0.43,0.08,0.21
"Blazze","No Team","Middle",5,"20%","0%",14,26,24,1.5,"53.5%","19.7%","20.6%","20%",-456,-397,-10.2,7.3,"24.1%",461,"21.7%","21.5%",235,"21.7%",0,0.36,0.06,0.11
"Blossoms","Wildcard Gaming","Support",2,"0%","0%",2,8,7,1.1,"75.0%","16.7%","26.7%","50%",-379,-690,-5.5,1,"2.6%",88,"7.8%","6.5%",78,"8.4%",0,1.29,0.43,0.18
"Bradley","Team Liquid Academy","Top",16,"75%","25%",59,48,86,3,"57.1%","23.2%","26.1%","6%",-88,-149,-0.9,8.2,"24.9%",561,"26.3%","25.0%",287,"23.5%",0,0.39,0.14,0.16
"Breezy","CLG Academy","Support",10,"50%","60%",16,25,84,4,"67.1%","10.7%","18.0%","20%",19,-156,-1.8,1,"2.3%",189,"8.8%","7.4%",124,"10.2%",0,1.49,0.4,0.32
"Busio","100 Thieves Academy","Support",26,"73%","35%",30,73,284,4.3,"67.8%","6.5%","23.4%","31%",142,66,1,1.1,"2.4%",187,"8.6%","7.4%",115,"9.2%",0,1.35,0.35,0.31
"Chad","Immortals Academy","Jungle",17,"53%","47%",71,62,130,3.2,"73.1%","25.8%","20.5%","47%",-30,67,1.6,5.8,"17.5%",375,"18.2%","18.4%",228,"19.3%",2,0.19,0.17,0.26
"Chime","Golden Guardians Academy","Support",14,"50%","50%",11,40,122,3.3,"66.8%","5.5%","21.9%","21%",-91,-38,3.1,1.1,"2.2%",173,"8.3%","7.1%",100,"8.5%",0,1.6,0.41,0.34
"Concept","Immortals Academy","Top",17,"53%","59%",53,57,86,2.4,"50.5%","19.3%","18.9%","24%",10,-68,-1.2,7.8,"23.0%",397,"19.1%","18.2%",263,"22.1%",0,0.32,0.07,0.2
"Copy","Cloud9 Academy","Middle",11,"55%","73%",28,25,47,3,"53.2%","19.9%","21.4%","18%",58,143,0.4,8.9,"24.3%",432,"22.5%","23.1%",272,"22.2%",0,0.38,0.06,0.14
"Cozy","Taco Gaming","Top",7,"29%","14%",21,28,36,2,"51.4%","18.9%","20.1%","14%",114,365,-3.6,7.1,"24.9%",514,"24.3%","21.4%",253,"23.4%",0,0.37,0.12,0.15
"Daption","Evil Geniuses Prodigies","Support",7,"29%","29%",6,40,71,1.9,"65.3%","5.1%","27.6%","14%",-80,-284,-3.7,1.2,"3.1%",176,"7.7%","6.8%",106,"8.5%",0,1.5,0.5,0.33
"DARKWINGS","Dignitas Academy","Middle",9,"56%","44%",32,18,46,4.3,"56.1%","23.0%","16.8%","11%",-130,-5,1.7,8.2,"27.2%",485,"24.3%","26.5%",266,"23.5%",1,0.55,0.19,0.25
"Darshan","Cloud9 Academy","Top",11,"55%","18%",26,17,47,4.3,"51.8%","18.4%","14.5%","18%",365,376,13,8.2,"22.1%",466,"23.1%","21.8%",267,"21.8%",0,0.37,0.07,0.12
"Dhokla","CLG Academy","Top",10,"50%","50%",28,36,45,2,"49.0%","18.8%","25.9%","20%",-108,-50,5.4,8.3,"25.8%",513,"25.3%","23.9%",262,"21.9%",0,0.38,0.13,0.16
"Diamond","FlyQuest Academy","Support",16,"63%","69%",19,62,169,3,"68.1%","6.9%","26.5%","25%",-23,-50,-5.4,0.9,"2.7%",202,"9.4%","7.8%",114,"9.8%",0,1.37,0.35,0.32
"Doxa","Taco Gaming","Middle",7,"29%","71%",30,24,28,2.4,"52.3%","27.0%","17.3%","14%",-118,-172,-7.3,7.2,"25.3%",500,"23.6%","25.6%",241,"21.8%",0,0.29,0.11,0.07
