"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"Taco Gaming","Top",4,"0%","50%",7,19,9,0.8,"55.2%","24.1%","21.6%","0%",13,21,-2,8,"22.7%",561,"30.5%","29.4%",239,"24.4%",0,0.35,0.03,0.16
"Ablazeolive","Golden Guardians Academy","Middle",4,"50%","0%",20,17,40,3.5,"69.0%","23.0%","22.4%","50%",-377,-14,-2,7.6,"23.9%",836,"33.1%","34.0%",298,"23.1%",0,0.51,0.17,0.21
"Airren","CLG Faith","ADC",2,"0%",,6,11,9,1.4,"71.4%","28.6%","23.9%","0%",-889,-385,-46.5,5.1,"23.3%",371,"19.9%","21.0%",214,"21.2%",0,0.72,0.13,0.19
"Akaadian","Golden Guardians Academy","Jungle",6,"33%","50%",21,26,42,2.4,"65.6%","21.9%","21.5%","50%",-379,-200,-0.2,5.5,"16.9%",391,"16.8%","17.9%",229,"18.9%",0,0.34,0.32,0.3
"AnDa","TSM Academy","Jungle",10,"40%","57%",17,31,41,1.9,"61.1%","17.9%","24.4%","20%",163,-119,-0.5,5.4,"15.9%",225,"11.4%","11.6%",192,"17.6%",1,0.3,0.3,0.45
"APA","Maryville University","Middle",3,"33%",,12,5,15,5.4,"87.1%","38.7%","16.1%","33%",-109,-207,-11.7,8.1,"25.6%",816,"42.8%","46.7%",292,"27.7%",0,0.4,0.01,0.11
"Armao","Team Liquid Academy","Jungle",25,"68%","32%",62,51,186,4.9,"71.5%","17.9%","20.2%","40%",59,37,0.3,4.9,"13.3%",281,"12.5%","13.4%",189,"16.5%",2,0.23,0.19,0.27
"Array","Golden Guardians Academy","ADC",6,"33%","100%",26,18,29,3.1,"57.3%","27.1%","14.9%","0%",66,-101,0.2,8.8,"32.5%",519,"22.5%","24.9%",303,"25.4%",0,0.42,0.15,0.27
"Arrow","Immortals Academy","ADC",17,"59%","53%",83,29,113,6.8,"71.3%","30.2%","12.4%","29%",15,138,0.3,8.2,"28.2%",621,"27.6%","29.3%",302,"26.5%",0,0.47,0.17,0.33
"Azog","Maryville University","ADC",3,"33%",,7,9,13,2.2,"64.5%","22.6%","29.0%","33%",-1050,-523,-18,9,"33.6%",295,"15.0%","13.7%",273,"26.0%",0,0.36,0.03,0.36
"Blazze","Cincinnati Fear","Middle",5,"20%","40%",14,18,21,1.9,"61.4%","24.6%","18.8%","60%",83,65,-10,7.2,"21.7%",499,"23.5%","23.5%",229,"21.6%",0,0.36,0.16,0.16
