"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Airren","The Last Dance","ADC",5,"20%","60%",6,18,21,1.5,"69.2%","15.4%","23.1%","0%",-371,-234,-6,9,"31.2%",398,"24.8%","25.9%",243,"25.9%",0,0.44,0.14,0.19
"Allorim","Team Fish Taco","Top",11,"45%","64%",26,28,42,2.4,"47.9%","18.3%","15.5%","18%",-114,-155,-5.2,8.1,"25.2%",460,"22.0%","20.9%",254,"22.3%",0,0.33,0.11,0.1
"Aspect","Team Liquid First","Middle",8,"38%","50%",34,23,42,3.3,"60.3%","27.0%","18.9%","13%",-35,-16,-0.3,8.5,"27.4%",472,"24.7%","24.6%",279,"24.5%",0,0.41,0.23,0.14
"Azog","Supernova","ADC",9,"56%","56%",59,23,57,5,"75.8%","38.6%","19.5%","22%",186,-30,2,9.4,"35.9%",702,"29.7%","31.9%",333,"29.0%",0,0.33,0.05,0.25
"Bejjaniii","The Last Dance","Top",5,"20%","40%",7,13,15,1.7,"56.4%","17.9%","16.7%","0%",-621,-316,-16.8,7.6,"24.1%",385,"25.7%","25.9%",207,"22.4%",0,0.46,0.14,0.09
"Blazze","FLY FAM","Middle",4,"0%","50%",7,18,17,1.3,"68.6%","20.0%","22.2%","0%",-340,-596,-10.5,7.5,"23.7%",429,"23.9%","23.4%",223,"23.1%",0,0.32,0.11,0.19
"Chookies","Supernova","Support",9,"56%","44%",7,20,112,6,"77.8%","4.6%","16.9%","11%",32,331,-3.6,0.9,"2.4%",214,"9.2%","7.9%",119,"10.4%",0,1.38,0.25,0.24
"Daption","Team Fish Taco","Support",11,"45%","27%",6,54,77,1.5,"58.5%","4.2%","29.8%","18%",-106,-170,1,1,"2.1%",130,"6.3%","5.1%",103,"9.0%",0,1.54,0.36,0.31
"Dardoch","Team Fish Taco","Jungle",11,"45%","82%",32,38,70,2.7,"71.8%","22.5%","21.0%","36%",90,191,5.2,5.7,"16.1%",369,"18.0%","18.7%",219,"19.5%",0,0.24,0.16,0.34
"DARKWINGS","AOE Gold","Middle",7,"71%","43%",20,21,48,3.2,"56.7%","16.7%","17.5%","0%",-88,-62,7.4,8.4,"27.0%",495,"21.0%","20.6%",270,"22.6%",0,0.39,0.14,0.21
"Dragoon","Supernova","Top",9,"56%","44%",25,24,52,3.2,"50.3%","16.3%","20.3%","11%",18,197,1.8,7.4,"23.7%",551,"23.1%","20.3%",236,"20.9%",0,0.39,0.1,0.08
"Getback","Maryville University","Middle",11,"64%","36%",45,25,70,4.6,"58.1%","22.7%","16.6%","9%",193,201,0.3,7.9,"25.8%",594,"26.0%","26.6%",276,"23.1%",0,0.42,0.18,0.14
"Hyper","FLY FAM","Jungle",4,"0%","25%",15,15,16,2.1,"88.6%","42.9%","18.5%","0%",-252,33,3.3,5.8,"18.5%",303,"16.8%","16.6%",206,"21.7%",2,0.41,0.22,0.3
"Iconic","Team Tony Top","Jungle",7,"71%","43%",22,13,58,6.2,"69.6%","19.1%","16.9%","29%",216,69,3.1,6.2,"17.9%",320,"14.1%","15.3%",231,"18.4%",0,0.25,0.17,0.28
"Instinct","FLY FAM","ADC",4,"0%","75%",8,14,16,1.7,"68.6%","22.9%","17.3%","0%",-47,-1,-0.8,9.1,"33.0%",549,"29.9%","32.8%",271,"27.9%",0,0.35,0.12,0.21
"Kisno","Supernova","Jungle",9,"56%","22%",30,33,71,3.1,"66.0%","19.6%","28.0%","44%",-171,-317,-13.4,4.5,"14.8%",316,"13.9%","15.1%",204,"17.7%",0,0.27,0.33,0.34
"Levitate","Team Tony Top","ADC",7,"71%","71%",38,15,47,5.7,"73.9%","33.0%","19.5%","29%",58,-48,0.7,9.7,"33.6%",664,"28.8%","32.1%",339,"26.9%",0,0.29,0.06,0.36
"links","AOE Gold","ADC",7,"71%","71%",52,19,34,4.5,"71.7%","43.3%","15.8%","29%",-86,-293,-4.6,8.9,"33.4%",699,"28.9%","28.6%",341,"28.6%",0,0.38,0.07,0.31
"lunacia","FLY FAM","Top",4,"0%","50%",4,20,15,1,"54.3%","11.4%","24.7%","0%",-612,-238,-20.8,6.1,"20.2%",269,"15.4%","14.3%",170,"17.9%",0,0.2,0.03,0.09
"Messages","The Last Dance","Middle",5,"20%","100%",6,17,21,1.6,"69.2%","15.4%","21.8%","20%",-305,-69,-5.6,7.2,"21.3%",405,"25.7%","25.2%",195,"20.3%",0,0.26,0.09,0.09
"miya","Team Liquid First","ADC",8,"38%","63%",31,24,36,2.8,"53.2%","24.6%","19.7%","0%",-101,154,-3.5,9.6,"35.2%",506,"26.8%","29.0%",309,"28.2%",0,0.25,0.04,0.19
"Niles","Maryville University","Top",11,"64%","55%",58,37,67,3.4,"63.1%","29.3%","24.5%","18%",170,207,8.1,7.4,"23.4%",633,"27.3%","26.4%",277,"23.1%",0,0.49,0.28,0.13
"Nxi","The Last Dance","Jungle",5,"20%","60%",16,12,13,2.4,"74.4%","41.0%","15.4%","0%",-131,-67,3.8,6,"20.2%",231,"14.0%","14.9%",211,"22.0%",0,0.18,0.12,0.27
"OddOrange","Maryville University","Jungle",11,"64%","82%",36,29,109,5,"73.2%","18.2%","19.2%","64%",197,-15,-1.4,5.3,"17.2%",296,"12.9%","13.2%",221,"18.4%",1,0.4,0.32,0.31
"Onat","Supernova","Middle",9,"56%","56%",32,18,67,5.5,"64.7%","20.9%","15.3%","44%",87,18,-1.9,7.6,"23.1%",564,"24.2%","24.8%",252,"22.0%",0,0.27,0.11,0.2
"Qwacker","AOE Gold","Top",7,"71%","29%",23,26,45,2.6,"56.7%","19.2%","21.7%","14%",-176,-192,-3.9,7.1,"22.2%",462,"18.5%","18.3%",254,"21.3%",0,0.33,0.11,0.14
"Red","Team Fish Taco","ADC",11,"45%","9%",48,30,52,3.3,"70.4%","33.8%","16.6%","9%",-103,-27,-1.5,9.7,"34.7%",582,"27.7%","29.0%",323,"27.9%",1,0.36,0.12,0.33
"RobbyBob","Team Fish Taco","Middle",11,"45%","27%",30,31,67,3.1,"68.3%","21.1%","17.1%","27%",-22,-41,1.9,7.7,"21.9%",551,"26.1%","26.3%",243,"21.2%",0,0.32,0.1,0.13
