"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Allorim","Mirage Alliance","Top",11,"73%","64%",38,24,96,5.6,"55.4%","15.7%","14.5%","9%",181,218,3.5,7.5,"22.6%",504,"17.7%","15.8%",256,"19.5%",0,0.38,0.1,0.14
"Chad","Mirage Alliance","Jungle",11,"73%","45%",61,42,126,4.5,"77.3%","25.2%","25.3%","64%",166,118,2.5,5.8,"19.4%",528,"17.7%","19.2%",268,"20.3%",1,0.14,0.14,0.24
"Chookies","Winthrop University","Support",8,"50%","50%",4,31,98,3.3,"74.5%","2.9%","24.6%","0%",-180,-84,-0.6,1.1,"2.3%",175,"7.5%","6.6%",104,"8.6%",0,1.45,0.29,0.22
"Dardoch","Mirage Alliance","Support",11,"73%","55%",15,34,168,5.4,"75.6%","6.2%","20.5%","55%",155,266,3.3,1.2,"2.9%",220,"7.8%","7.0%",137,"10.3%",0,1.15,0.24,0.32
"Denathor","Winthrop University","Top",8,"50%","63%",32,21,51,4,"60.6%","23.4%","16.7%","25%",-23,-43,5.4,8,"24.6%",531,"22.9%","21.4%",283,"24.0%",0,0.4,0.07,0.11
"Dragoon","LiT Esports","Top",9,"78%","44%",35,28,60,3.4,"55.6%","20.5%","22.2%","33%",-139,66,-9.1,6.6,"19.3%",550,"21.0%","20.0%",247,"19.7%",0,0.37,0.09,0.05
"Kachu","Team Ambition","Middle",7,"29%","29%",38,27,47,3.1,"74.6%","33.3%","15.8%","29%",-8,185,3.1,7.6,"27.4%",651,"26.5%","26.3%",275,"24.2%",0,0.34,0.11,0.19
"Kisno","LiT Esports","Jungle",9,"78%","33%",36,17,81,6.9,"68.4%","21.1%","13.5%","11%",-78,-155,-3.4,5.7,"19.1%",551,"19.7%","21.3%",246,"19.5%",0,0.3,0.21,0.34
"Leemo","Team Ambition","Jungle",7,"29%","57%",11,41,78,2.2,"78.1%","9.6%","24.0%","29%",-187,-38,-1.4,4.4,"12.9%",334,"13.7%","12.1%",183,"16.6%",0,0.36,0.29,0.19
"Levitate","Team Ambition","ADC",7,"29%","57%",32,28,42,2.6,"64.9%","28.1%","16.4%","29%",218,215,6.4,8.3,"30.0%",724,"28.9%","30.9%",291,"26.3%",0,0.3,0.09,0.22
