"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","100 Thieves","Middle",6,"50%","50%",13,17,28,2.4,"53.9%","17.1%","28.8%","17%",81,-177,-1.2,8.9,"27.4%",449,"25.1%","24.0%",263,"23.0%",0,0.51,0.25,0.19
"aphromoo","FlyQuest","Support",6,"33%","67%",5,15,31,2.4,"65.5%","9.1%","19.0%","50%",70,20,-0.5,0.8,"2.2%",119,"8.0%","6.0%",87,"8.4%",0,1.37,0.44,0.42
"Biofrost","Dignitas","Support",10,"40%","30%",3,17,70,4.3,"67.6%","2.8%","13.6%","10%",126,138,-3,1.1,"3.6%",154,"8.0%","7.5%",96,"8.9%",0,1.58,0.47,0.49
"Bjergsen","Team Liquid","Middle",13,"85%","38%",42,8,83,15.6,"66.1%","22.2%","7.3%","15%",-31,-72,-2.6,8.8,"24.8%",507,"23.4%","24.6%",288,"22.7%",0,0.42,0.17,0.17
"Blaber","Cloud9","Jungle",10,"50%","40%",25,23,70,4.1,"76.0%","20.0%","20.5%","60%",237,111,3.3,6.6,"18.8%",229,"13.0%","11.1%",225,"19.8%",0,0.35,0.27,0.46
"Blue","Dignitas","Middle",10,"40%","60%",28,26,41,2.7,"63.9%","25.9%","20.8%","0%",-2,144,3.4,8.9,"28.2%",463,"25.3%","25.4%",272,"25.7%",1,0.44,0.15,0.17
"Bradley","Team Liquid","Top",1,"100%","0%",7,0,2,9,"60.0%","46.7%","0.0%","0%",-6,-145,1,9.1,"24.0%",698,"29.7%","27.6%",306,"22.8%",0,0.33,0.1,0.17
"Bwipo","Team Liquid","Top",12,"83%","83%",53,41,56,2.7,"62.6%","30.5%","38.0%","33%",306,110,7,8.9,"27.8%",652,"30.8%","28.3%",323,"25.4%",0,0.47,0.23,0.2
"Chime","Golden Guardians","Support",6,"17%","33%",4,23,30,1.5,"65.4%","7.7%","24.5%","33%",146,-151,2.8,0.9,"2.7%",136,"8.1%","6.6%",82,"8.4%",0,1.36,0.47,0.37
"Closer","100 Thieves","Jungle",6,"50%","83%",25,11,35,5.5,"78.9%","32.9%","18.6%","33%",361,103,3.2,5.6,"15.0%",312,"16.6%","18.3%",224,"19.1%",0,0.22,0.23,0.34
"Contractz","Counter Logic Gaming","Jungle",7,"43%","71%",13,26,30,1.7,"63.2%","19.1%","25.5%","14%",-299,-401,-6.1,5,"12.5%",229,"14.0%","14.8%",179,"16.4%",1,0.37,0.31,0.31
"CoreJJ","Team Liquid","Support",3,"67%","33%",2,7,29,4.4,"70.5%","4.5%","23.3%","33%",-5,-173,-6,1,"2.7%",158,"7.3%","6.7%",120,"9.9%",0,1.36,0.37,0.43
