"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","100 Thieves","Middle",18,"67%","28%",72,46,110,4,"64.5%","25.5%","23.4%","22%",-12,-148,-2.4,8.5,"24.6%",561,"27.9%","29.0%",287,"23.6%",1,0.58,0.22,0.27
"Ablazeolive","Golden Guardians","Middle",19,"47%","42%",49,53,93,2.7,"64.0%","22.1%","21.9%","11%",-4,-80,0.1,8.4,"25.0%",567,"29.4%","31.5%",257,"23.1%",0,0.45,0.17,0.21
"aphromoo","FlyQuest","Support",20,"50%","45%",11,64,136,2.3,"67.1%","5.0%","26.9%","20%",5,47,2.9,1.2,"2.7%",102,"6.4%","5.4%",94,"8.5%",0,1.29,0.44,0.32
"Arrow","Immortals","ADC",10,"20%","40%",29,21,27,2.7,"57.7%","29.9%","14.7%","10%",-352,-144,-5.2,8.3,"27.0%",383,"22.3%","23.6%",248,"24.3%",0,0.49,0.2,0.31
"Berserker","Cloud9","ADC",18,"72%","33%",62,25,83,5.8,"59.4%","25.4%","12.6%","11%",-157,-1,0.3,9.8,"28.7%",512,"26.4%","29.1%",303,"24.2%",1,0.43,0.16,0.3
"Biofrost","Dignitas","Support",18,"44%","50%",12,38,133,3.8,"75.9%","6.3%","20.3%","22%",44,-63,-6.6,0.9,"2.5%",161,"10.0%","8.7%",99,"8.9%",0,1.6,0.5,0.39
"Bjergsen","Team Liquid","Middle",18,"78%","61%",60,21,127,8.9,"69.5%","22.3%","12.2%","28%",-22,3,-2.8,9.1,"24.5%",506,"25.1%","26.4%",285,"23.0%",0,0.39,0.13,0.15
"Blaber","Cloud9","Jungle",18,"72%","61%",50,42,127,4.2,"72.5%","20.5%","21.2%","33%",97,114,3.9,7.7,"19.2%",326,"16.6%","17.4%",249,"20.1%",2,0.32,0.21,0.32
"Blue","Dignitas","Middle",18,"44%","61%",50,34,75,3.7,"65.4%","26.2%","18.2%","28%",54,75,1.1,9.5,"28.3%",456,"27.5%","29.4%",288,"26.1%",0,0.41,0.13,0.26
"Breezy","Counter Logic Gaming","Support",1,"0%","0%",0,4,3,0.8,"50.0%","0.0%","20.0%","0%",-248,249,1,1.7,"6.2%",134,"8.4%","6.5%",73,"7.9%",0,1.24,0.5,0.32
