"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","100 Thieves","Middle",18,"78%","44%",48,32,127,5.5,"70.3%","19.3%","21.9%","39%",23,-114,-2.3,9.3,"27.8%",521,"26.0%","26.3%",287,"24.1%",0,0.51,0.23,0.29
"Ablazeolive","Golden Guardians","Middle",16,"31%","63%",35,48,71,2.2,"68.4%","22.6%","21.4%","6%",-142,-67,-0.3,8.5,"25.7%",529,"27.3%","28.7%",250,"23.5%",0,0.41,0.17,0.27
"aphromoo","FlyQuest","Support",19,"53%","58%",21,44,131,3.5,"71.4%","9.9%","20.5%","26%",-11,24,1.1,0.9,"2.3%",116,"6.0%","5.0%",99,"8.9%",0,1.3,0.38,0.26
"Berserker","Cloud9","ADC",16,"69%","50%",59,31,100,5.1,"69.1%","25.7%","17.6%","13%",108,-91,7.3,8.7,"26.2%",549,"25.6%","27.7%",301,"24.5%",0,0.45,0.17,0.32
"Biofrost","Dignitas","Support",18,"17%","44%",10,35,97,3.1,"71.8%","6.7%","16.3%","28%",32,-83,0.6,1.4,"3.7%",140,"8.5%","7.4%",97,"9.5%",0,1.51,0.4,0.35
"Bjergsen","Team Liquid","Middle",18,"67%","44%",63,19,102,8.7,"69.3%","26.5%","11.3%","6%",200,212,5.1,9.2,"26.6%",585,"26.3%","27.2%",291,"24.2%",0,0.4,0.16,0.19
"Blaber","Cloud9","Jungle",19,"58%","53%",46,50,124,3.4,"68.5%","18.5%","23.1%","32%",212,269,8.5,7.3,"17.5%",364,"17.6%","18.3%",221,"18.7%",1,0.32,0.21,0.42
"Blue","Dignitas","Middle",18,"17%","61%",46,36,52,2.7,"65.8%","30.9%","16.7%","11%",-91,-41,-1.5,9.4,"29.2%",456,"27.0%","29.0%",266,"25.9%",0,0.43,0.11,0.24
"Bwipo","Team Liquid","Top",18,"67%","61%",66,46,74,3,"58.8%","27.7%","27.4%","17%",310,181,6.9,9,"27.9%",646,"29.9%","29.0%",311,"25.7%",0,0.44,0.21,0.18
"Chime","TSM","Support",11,"36%","55%",11,27,83,3.5,"80.3%","9.4%","19.9%","27%",-4,-111,-5.1,1,"2.3%",175,"9.1%","8.6%",98,"9.0%",0,1.74,0.35,0.39
"Closer","100 Thieves","Jungle",18,"78%","50%",50,32,111,5,"64.7%","20.1%","21.9%","33%",-111,-67,-3.9,5.9,"13.3%",248,"11.6%","12.8%",195,"16.3%",2,0.34,0.28,0.42
"Contractz","Counter Logic Gaming","Jungle",18,"61%","56%",46,47,108,3.3,"68.1%","20.4%","20.0%","61%",122,17,-0.6,6.3,"16.5%",336,"14.6%","14.8%",204,"18.0%",0,0.35,0.29,0.37
"CoreJJ","Team Liquid","Support",18,"67%","56%",12,39,172,4.7,"77.3%","5.0%","23.2%","44%",-85,-58,-4.3,0.9,"2.5%",148,"6.8%","6.2%",108,"9.0%",0,1.78,0.4,0.46
"Danny","Evil Geniuses","ADC",18,"83%","56%",88,26,108,7.5,"70.0%","31.4%","15.3%","17%",138,-1,6,9.7,"31.5%",786,"31.9%","35.5%",327,"26.5%",1,0.38,0.14,0.41
"Destiny","Cloud9","Support",3,"0%","67%",0,9,12,1.3,"66.7%","0.0%","22.5%","33%",121,99,20.7,2.7,"6.0%",153,"7.9%","6.0%",109,"9.9%",0,1.05,0.25,0.14
"Dhokla","Counter Logic Gaming","Top",18,"61%","44%",38,52,80,2.3,"52.2%","16.8%","22.1%","17%",9,60,-2.7,8.9,"29.5%",553,"24.0%","22.3%",284,"23.9%",0,0.36,0.12,0.2
"eXyu","Dignitas","Jungle",7,"14%","29%",9,25,31,1.6,"64.5%","14.5%","25.8%","14%",-61,-160,-2.4,4.9,"12.0%",226,"13.6%","14.1%",158,"15.2%",1,0.27,0.31,0.39
"FBI","100 Thieves","ADC",18,"78%","56%",85,26,95,6.9,"72.3%","34.1%","17.8%","17%",-14,-64,-8.7,8.5,"26.7%",610,"29.9%","32.7%",308,"25.6%",0,0.6,0.18,0.42
"Fudge","Cloud9","Top",19,"58%","32%",58,41,99,3.8,"63.3%","23.4%","19.0%","21%",-66,-64,-2.4,8.8,"27.4%",516,"23.6%","23.0%",288,"24.3%",0,0.35,0.09,0.22
"Gamsu","Dignitas","Top",11,"18%","27%",22,28,31,1.9,"60.9%","25.3%","23.7%","18%",-93,-16,-1.8,8.3,"24.5%",438,"26.7%","25.1%",241,"23.5%",0,0.34,0.12,0.14
"Hans Sama","Team Liquid","ADC",18,"67%","11%",55,33,103,4.8,"66.4%","23.1%","19.6%","39%",233,274,10.5,9.4,"29.9%",545,"24.8%","25.0%",300,"24.9%",0,0.46,0.18,0.3
"Hoon","Dignitas","Top",7,"14%","43%",5,26,31,1.4,"58.1%","8.1%","26.8%","14%",-92,10,4.1,8,"23.6%",399,"24.6%","20.7%",217,"21.3%",0,0.38,0.2,0.23
"huhi","100 Thieves","Support",18,"78%","56%",14,26,175,7.3,"75.9%","5.6%","17.8%","33%",141,175,10.3,1.9,"4.9%",151,"7.4%","6.9%",124,"10.5%",0,1.58,0.47,0.3
"Huni","TSM","Top",7,"29%","57%",12,18,21,1.8,"53.2%","19.4%","17.8%","14%",-53,128,4.3,8.7,"26.6%",477,"26.1%","23.8%",252,"23.7%",0,0.44,0.14,0.09
"IgNar","Immortals","Support",18,"22%","61%",4,43,80,2,"65.6%","3.1%","18.8%","17%",-65,-16,1,1,"2.4%",132,"7.5%","6.6%",80,"7.9%",0,1.89,0.59,0.34
"Impact","Evil Geniuses","Top",18,"83%","17%",50,54,130,3.3,"64.3%","17.9%","31.8%","28%",16,-45,-1.2,7.6,"23.0%",531,"22.7%","18.9%",276,"22.6%",0,0.41,0.11,0.13
"Inspired","Evil Geniuses","Jungle",18,"83%","56%",71,26,121,7.4,"68.6%","25.4%","15.3%","28%",-53,31,-0.9,7.1,"17.8%",331,"14.3%","15.5%",229,"18.8%",3,0.28,0.21,0.37
"Instinct","TSM","ADC",11,"36%","55%",35,25,53,3.5,"75.2%","29.9%","18.4%","9%",-335,-29,-1.5,9.4,"32.2%",498,"24.7%","28.1%",288,"26.4%",1,0.41,0.16,0.25
"Jensen","Cloud9","Middle",19,"58%","63%",69,39,108,4.5,"71.4%","27.8%","18.1%","11%",-30,205,-0.2,8.9,"26.1%",550,"25.1%","24.4%",280,"23.7%",0,0.41,0.14,0.2
"Johnsun","FlyQuest","ADC",19,"53%","79%",80,45,72,3.4,"71.4%","37.6%","20.9%","26%",71,92,-0.2,9.5,"31.4%",563,"28.9%","30.0%",311,"27.7%",0,0.49,0.19,0.34
"jojopyun","Evil Geniuses","Middle",18,"83%","61%",62,39,123,4.7,"66.1%","22.1%","22.9%","17%",117,-61,5.9,8.6,"24.7%",578,"23.8%","23.6%",278,"22.9%",0,0.49,0.21,0.21
"Josedeodo","FlyQuest","Jungle",19,"53%","37%",31,44,112,3.3,"67.1%","14.6%","20.5%","42%",103,123,2.4,6.2,"14.7%",218,"11.5%","11.7%",186,"16.8%",3,0.36,0.3,0.44
"k1ng","Cloud9","ADC",3,"0%","33%",3,9,10,1.4,"72.2%","16.7%","22.5%","33%",-420,-295,-31,6.3,"21.7%",404,"21.7%","23.4%",187,"20.3%",1,0.52,0.1,0.51
"Kenvi","Immortals","Jungle",18,"22%","44%",30,56,62,1.6,"71.9%","23.4%","24.5%","44%",-102,-114,-3.8,5.8,"15.6%",221,"12.5%","13.6%",175,"17.7%",4,0.45,0.34,0.48
"Licorice","Golden Guardians","Top",18,"28%","56%",34,55,67,1.8,"58.4%","19.7%","21.2%","22%",-137,-157,-3.9,8,"26.0%",457,"24.1%","20.5%",244,"22.7%",0,0.4,0.16,0.18
"LIDER","Golden Guardians","Middle",2,"0%","50%",5,8,5,1.3,"55.6%","27.8%","22.9%","0%",-589,-164,-8.5,8.7,"25.0%",365,"20.3%","19.9%",235,"24.4%",0,0.22,0.13,0.25
"Lost","Immortals","ADC",18,"22%","28%",32,43,51,1.9,"64.8%","25.0%","18.8%","11%",-86,-53,-0.2,8.7,"27.6%",385,"21.7%","22.0%",256,"25.2%",0,0.48,0.18,0.3
"Luger","Counter Logic Gaming","ADC",18,"61%","67%",62,39,94,4,"69.0%","27.4%","16.6%","39%",19,-77,-2.9,8.3,"26.3%",562,"25.1%","25.9%",289,"24.4%",0,0.37,0.1,0.46
"Maple","TSM","Middle",18,"33%","33%",41,43,81,2.8,"68.2%","22.9%","18.1%","17%",-31,-92,-0.5,9,"26.0%",519,"26.8%","28.4%",262,"24.4%",0,0.48,0.18,0.19
"Mia","TSM","Support",7,"29%","0%",3,28,40,1.5,"69.4%","4.8%","27.7%","57%",-327,-807,-27,0.7,"1.9%",157,"8.6%","6.7%",89,"8.1%",0,1.69,0.63,0.46
"Neo","Dignitas","ADC",9,"22%","44%",14,16,31,2.8,"58.4%","18.2%","16.5%","33%",22,-115,0.9,7.9,"25.7%",355,"20.4%","19.7%",234,"22.6%",0,0.62,0.21,0.53
"Olleh","Golden Guardians","Support",16,"31%","63%",17,41,100,2.9,"75.5%","11.0%","18.3%","31%",215,29,13.4,1.9,"5.3%",177,"9.3%","8.3%",116,"10.8%",0,1.42,0.43,0.32
"Palafox","Counter Logic Gaming","Middle",18,"61%","39%",60,44,85,3.3,"64.2%","26.5%","18.7%","28%",117,-12,-1.9,8.3,"23.6%",621,"27.2%","29.3%",271,"23.4%",1,0.55,0.17,0.25
"Philip","FlyQuest","Top",19,"53%","74%",33,56,92,2.2,"58.7%","15.5%","26.0%","21%",102,15,-1.5,8.2,"24.8%",478,"25.8%","24.7%",247,"22.2%",0,0.33,0.16,0.16
"Poome","Counter Logic Gaming","Support",18,"61%","56%",20,53,139,3,"70.4%","8.8%","22.6%","44%",-20,66,-2.3,1.4,"4.2%",209,"9.1%","7.8%",118,"10.2%",0,1.29,0.36,0.31
"PowerOfEvil","Immortals","Middle",18,"22%","56%",31,31,54,2.7,"66.4%","24.2%","13.5%","11%",-107,13,-3.3,8.9,"28.0%",615,"33.9%","35.7%",250,"25.3%",1,0.39,0.13,0.22
"Pridestalkr","Golden Guardians","Jungle",11,"36%","27%",18,30,46,2.1,"58.2%","16.4%","21.7%","9%",-334,-116,-0.8,7,"17.1%",292,"15.1%","16.8%",196,"17.9%",0,0.33,0.31,0.28
"Prismal","Golden Guardians","Support",2,"0%","50%",2,7,11,1.9,"72.2%","11.1%","20.0%","0%",-562,-138,0.5,0.5,"1.7%",138,"9.0%","7.7%",82,"8.6%",0,1.48,0.32,0.37
"Revenge","Immortals","Top",18,"22%","61%",31,56,47,1.4,"60.9%","24.2%","24.5%","33%",-92,-119,-0.9,8.3,"26.4%",434,"24.4%","22.3%",244,"23.8%",0,0.37,0.15,0.16
"River","Golden Guardians","Jungle",7,"14%","43%",11,27,34,1.7,"71.4%","17.5%","22.3%","14%",-145,197,6.1,5,"13.8%",243,"13.2%","13.3%",171,"17.6%",1,0.35,0.33,0.44
"River","Dignitas","Jungle",11,"18%","55%",21,33,43,1.9,"73.6%","24.1%","28.0%","36%",-214,-174,-6.1,6.3,"14.4%",250,"14.9%","15.0%",173,"16.8%",0,0.41,0.31,0.38
"s0ul","TSM","Top",4,"25%","50%",4,10,12,1.6,"50.0%","12.5%","22.7%","0%",-554,-280,-9.5,8.5,"27.4%",432,"25.5%","22.5%",237,"23.7%",0,0.48,0.22,0.15
"Santorin","Team Liquid","Jungle",18,"67%","72%",42,31,126,5.4,"70.6%","17.6%","18.5%","44%",129,-159,-4.4,5.4,"13.1%",270,"12.2%","12.5%",194,"16.2%",1,0.33,0.3,0.4
"Solo","TSM","Top",7,"43%","57%",9,18,40,2.7,"57.6%","10.6%","19.6%","43%",-92,174,6.4,8,"24.0%",463,"22.1%","17.7%",226,"20.8%",0,0.4,0.15,0.16
"Spawn","Dignitas","ADC",9,"11%","56%",22,16,25,2.9,"65.3%","30.6%","13.6%","11%",-302,-47,-8.2,9.6,"33.3%",434,"28.2%","31.4%",291,"28.9%",0,0.36,0.12,0.33
"Spica","TSM","Jungle",18,"33%","56%",50,48,89,2.9,"77.7%","27.9%","20.3%","44%",98,41,4.9,6.7,"15.4%",312,"16.0%","16.5%",204,"19.1%",0,0.33,0.34,0.38
"Ssumday","100 Thieves","Top",18,"78%","67%",52,30,105,5.2,"63.1%","20.9%","20.5%","22%",128,84,3.3,8.7,"27.4%",503,"25.2%","21.3%",279,"23.5%",0,0.36,0.17,0.19
"Stixxay","Golden Guardians","ADC",18,"28%","44%",51,43,69,2.8,"69.4%","29.5%","16.6%","28%",-144,-126,-14.6,8,"27.7%",484,"25.7%","28.1%",268,"25.3%",0,0.53,0.17,0.42
"Tactical","TSM","ADC",7,"29%","71%",14,20,19,1.7,"53.2%","22.6%","19.8%","43%",247,457,34.6,9.2,"28.2%",422,"22.7%","22.8%",253,"23.6%",0,0.49,0.21,0.27
"toucouille","FlyQuest","Middle",19,"53%","37%",48,26,87,5.2,"63.4%","22.5%","12.1%","11%",-4,-41,-0.1,8.9,"26.7%",539,"27.8%","28.6%",272,"24.5%",0,0.48,0.17,0.23
"VULCAN","Evil Geniuses","Support",18,"83%","33%",9,25,209,8.7,"77.9%","3.2%","14.7%","17%",-16,102,-5,1,"3.0%",176,"7.4%","6.6%",112,"9.2%",0,1.7,0.46,0.28
"Zven","Cloud9","Support",16,"69%","38%",13,37,152,4.5,"71.7%","5.7%","21.0%","19%",7,162,-3.6,1.2,"3.1%",190,"9.0%","7.5%",114,"9.3%",0,1.29,0.23,0.35
