"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"APA","Team Liquid","Middle",22,"55%","59%",47,61,118,2.7,"62.5%","17.8%","21.9%","18%",-76,-14,-1.9,8.5,"24.9%",539,"24.0%","23.3%",264,"22.5%",0,0.51,0.16,0.21
"Armao","Evil Geniuses","Jungle",2,"0%","0%",1,7,20,3,"100.0%","4.8%","16.3%","0%",-371,-96,-8.5,3.8,"8.9%",239,"10.1%","10.0%",152,"14.4%",1,0.22,0.19,0.19
"Berserker","Cloud9","ADC",10,"70%","60%",52,18,58,6.1,"70.1%","33.1%","11.9%","20%",164,76,2.4,10.3,"33.5%",757,"29.2%","31.9%",353,"29.0%",0,0.55,0.14,0.33
"Blaber","Cloud9","Jungle",10,"70%","50%",22,35,95,3.3,"74.5%","14.0%","23.2%","40%",138,36,6.2,5.7,"16.4%",384,"14.7%","15.1%",211,"17.4%",0,0.37,0.25,0.43
"Bugi","TSM","Jungle",10,"40%","50%",16,35,73,2.5,"73.0%","13.1%","22.7%","30%",23,-145,-1.6,5,"13.7%",306,"12.9%","13.5%",187,"16.4%",0,0.32,0.27,0.33
"Busio","100 Thieves","Support",4,"25%","100%",2,10,25,2.7,"77.1%","5.7%","29.4%","25%",55,79,-2.3,0.9,"1.8%",101,"5.8%","4.1%",85,"7.9%",0,2.27,0.63,0.38
"Chime","TSM","Support",10,"40%","60%",6,32,65,2.2,"58.2%","4.9%","20.8%","20%",-25,-5,-0.7,1.2,"3.3%",182,"7.7%","7.3%",97,"8.7%",0,1.68,0.4,0.37
"Closer","100 Thieves","Jungle",4,"25%","50%",2,9,25,3,"77.1%","5.7%","26.5%","25%",-102,-188,-2.5,4.6,"10.7%",141,"7.9%","8.1%",153,"14.8%",0,0.28,0.27,0.49
"Contractz","NRG","Jungle",20,"60%","70%",50,50,210,5.2,"78.1%","15.0%","18.8%","35%",49,-51,-3.6,5.1,"15.9%",351,"13.9%","14.2%",215,"18.1%",3,0.34,0.27,0.37
"CoreJJ","Team Liquid","Support",22,"55%","45%",14,66,166,2.7,"68.2%","5.3%","23.7%","23%",2,-57,-0.5,1.3,"3.1%",127,"5.7%","5.0%",106,"9.0%",0,1.59,0.45,0.51
"Dhokla","NRG","Top",20,"60%","35%",70,72,114,2.6,"55.3%","21.0%","27.1%","15%",-8,-223,-7.5,7.6,"23.9%",501,"20.3%","18.4%",253,"21.0%",0,0.41,0.15,0.19
"Doublelift","100 Thieves","ADC",4,"25%","75%",16,6,13,4.8,"82.9%","45.7%","17.6%","25%",426,194,6.8,10.1,"31.1%",637,"36.4%","38.7%",308,"28.9%",0,0.4,0.09,0.37
"EMENES","Cloud9","Middle",10,"70%","50%",44,32,67,3.5,"70.7%","28.0%","21.2%","10%",-39,103,4.5,8.4,"24.2%",748,"28.9%","28.0%",284,"22.9%",0,0.47,0.19,0.31
"Eyla","Evil Geniuses","Support",12,"33%","58%",6,34,97,3,"73.0%","4.3%","19.7%","17%",-30,-13,0.5,1.3,"3.1%",151,"6.9%","6.5%",107,"9.3%",0,1.52,0.42,0.4
"FBI","NRG","ADC",20,"60%","60%",115,46,125,5.2,"72.1%","34.5%","17.3%","10%",-22,70,2.2,9.5,"31.2%",805,"31.7%","33.8%",323,"26.6%",0,0.48,0.13,0.31
"Fudge","Cloud9","Top",10,"70%","60%",34,35,56,2.6,"57.3%","21.7%","23.2%","40%",-225,-139,-3.5,7.9,"23.6%",507,"21.1%","18.9%",269,"22.1%",0,0.45,0.13,0.16
"Gori","Golden Guardians","Middle",12,"50%","42%",45,37,72,3.2,"63.6%","24.5%","22.8%","8%",204,-50,4.2,8.5,"25.0%",727,"28.5%","28.7%",283,"23.1%",0,0.45,0.21,0.2
"Hauntzer","TSM","Top",10,"40%","30%",22,27,55,2.9,"63.1%","18.0%","17.5%","10%",-103,26,2.2,8.2,"25.1%",598,"24.1%","21.6%",253,"23.1%",0,0.52,0.18,0.13
"huhi","Golden Guardians","Support",12,"50%","50%",6,41,124,3.2,"70.7%","3.3%","25.3%","8%",124,135,1.6,1.3,"2.9%",171,"7.2%","6.6%",116,"9.5%",0,1.6,0.42,0.42
"IgNar","NRG","Support",20,"60%","40%",12,53,238,4.7,"75.1%","3.6%","19.9%","20%",-40,-45,0.8,1.1,"2.7%",136,"5.5%","4.9%",108,"9.0%",0,2.14,0.6,0.44
"Insanity","TSM","Middle",10,"40%","80%",42,27,46,3.3,"72.1%","34.4%","17.5%","10%",-195,-96,-3.5,8.5,"27.2%",701,"28.9%","29.6%",282,"24.8%",0,0.46,0.1,0.25
"Jensen","Dignitas","Middle",8,"38%","25%",32,22,37,3.1,"67.0%","31.1%","18.0%","63%",-37,21,1.8,9.1,"30.2%",618,"26.0%","26.4%",293,"25.4%",0,0.42,0.15,0.24
"jojopyun","Evil Geniuses","Middle",12,"33%","50%",41,43,67,2.5,"76.6%","29.1%","24.9%","33%",85,24,2.6,8.5,"26.9%",678,"30.6%","29.9%",289,"25.5%",1,0.59,0.26,0.31
"Licorice","Golden Guardians","Top",12,"50%","17%",32,27,75,4,"58.2%","17.4%","16.7%","33%",398,438,8.1,8.1,"25.1%",534,"22.0%","19.2%",271,"21.7%",0,0.44,0.16,0.11
"Palafox","NRG","Middle",20,"60%","45%",86,45,172,5.7,"77.5%","25.8%","16.9%","20%",20,-8,-3.7,8.4,"26.4%",719,"28.5%","28.7%",300,"25.3%",1,0.46,0.19,0.22
"Poome","Dignitas","Support",8,"38%","50%",6,28,74,2.9,"77.7%","5.8%","23.0%","50%",-154,-36,-0.6,1.1,"1.9%",179,"7.6%","6.7%",104,"9.2%",0,1.64,0.48,0.34
