"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"Golden Guardians","Jungle",1,"0%","100%",2,5,3,1,"71.4%","28.6%","27.8%","100%",377,-664,-7,4.9,"12.8%",266,"12.3%","11.6%",154,"16.1%",0,0.54,0.39,0.42
"Berserker","Cloud9","ADC",11,"82%","36%",68,18,56,6.9,"73.8%","40.5%","16.4%","36%",45,8,0.6,10,"32.4%",787,"32.1%","35.0%",356,"28.7%",0,0.48,0.18,0.36
"Bjergsen","100 Thieves","Middle",8,"25%","63%",15,13,46,4.7,"70.9%","17.4%","13.1%","13%",6,67,-1.3,8,"24.3%",486,"26.0%","24.5%",221,"21.4%",0,0.38,0.16,0.1
"Blaber","Cloud9","Jungle",11,"82%","55%",14,29,110,4.3,"73.8%","8.3%","26.4%","55%",-128,64,2.8,5.5,"15.0%",371,"14.7%","15.1%",207,"16.8%",3,0.4,0.26,0.36
"Busio","100 Thieves","Support",8,"25%","50%",3,23,72,3.3,"87.2%","3.5%","23.2%","63%",9,1,3.8,0.9,"1.8%",155,"8.2%","6.9%",89,"8.5%",0,1.46,0.34,0.2
"Closer","100 Thieves","Jungle",8,"25%","50%",19,23,42,2.7,"70.9%","22.1%","23.2%","50%",80,188,4.8,5.3,"14.4%",277,"14.3%","14.8%",197,"18.7%",1,0.28,0.25,0.4
"Contractz","Counter Logic Gaming","Jungle",7,"14%","29%",18,24,30,2,"64.9%","24.3%","23.3%","14%",-45,-179,-4,5.4,"16.4%",391,"19.2%","20.7%",183,"17.9%",0,0.28,0.25,0.37
"Dhokla","Counter Logic Gaming","Top",7,"14%","0%",6,19,28,1.8,"45.9%","8.1%","18.4%","0%",-43,-9,-1.4,7.4,"22.1%",360,"17.9%","15.7%",205,"19.9%",0,0.41,0.15,0.17
"Doublelift","100 Thieves","ADC",8,"25%","50%",41,19,30,3.7,"82.6%","47.7%","19.2%","63%",122,175,0.5,10,"37.0%",598,"31.1%","34.7%",331,"31.8%",0,0.4,0.16,0.51
"EMENES","Cloud9","Middle",11,"82%","55%",47,23,65,4.9,"66.7%","28.0%","20.9%","36%",-98,-36,-4.9,8.2,"24.3%",651,"25.7%","25.6%",283,"22.6%",0,0.43,0.18,0.3
