"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alphari","Team Vitality","Top",8,"38%","25%",26,22,44,3.2,"60.3%","22.4%","20.4%","38%",-40,-60,-2.9,8,"25.8%",487,"25.2%",,261,"22.9%",,0.48,0.15,0.18
"BrokenBlade","G2 Esports","Top",16,"81%","63%",66,35,109,5,"60.6%","22.8%","19.8%","19%",71,11,-5.4,7.5,"24.4%",460,"22.4%",,266,"22.1%",,0.55,0.24,0.14
"Caps","G2 Esports","Middle",16,"81%","69%",76,38,108,4.8,"63.7%","26.3%","21.5%","25%",-38,54,-1.4,7.9,"23.6%",556,"27.5%",,283,"23.5%",,0.45,0.13,0.28
"Carzzy","Team Vitality","ADC",8,"38%","63%",31,20,34,3.3,"56.0%","26.7%","18.5%","0%",200,255,7.9,9.4,"30.5%",543,"27.9%",,304,"26.7%",,0.4,0.11,0.36
"Comp","Rogue","ADC",12,"50%","17%",48,23,56,4.5,"55.3%","25.5%","15.1%","17%",112,-14,1.9,9.8,"35.1%",578,"27.1%","29.3%",319,"26.7%",0,0.46,0.11,0.31
"Finn","Excel Esports","Top",5,"40%","80%",12,20,26,1.9,"62.3%","19.7%","25.0%","40%",-18,89,-0.6,8.1,"27.5%",452,"23.9%",,255,"23.2%",,0.47,0.2,0.16
"Flakked","G2 Esports","ADC",16,"81%","63%",75,23,114,8.2,"65.4%","26.0%","13.0%","31%",-149,-102,-5.8,9.6,"33.6%",637,"30.6%",,330,"27.2%",,0.52,0.19,0.38
"HiRit","Misfits Gaming","Top",7,"14%","57%",15,29,14,1,"50.9%","26.3%","22.0%","0%",-248,83,1.7,7.7,"24.7%",430,"27.0%","15.1%",239,"24.5%",0,0.29,0.13,0.18
"Humanoid","Fnatic","Middle",12,"42%","25%",34,41,51,2.1,"59.9%","23.9%","19.7%","8%",82,-69,5.3,8.4,"25.4%",530,"25.9%",,272,"24.8%",,0.56,0.08,0.33
"Hylissang","Fnatic","Support",12,"42%","33%",7,60,85,1.5,"64.8%","4.9%","28.8%","0%",-136,32,1.2,1.2,"3.0%",131,"6.6%",,102,"8.9%",,1.43,0.39,0.42
"Jankos","G2 Esports","Jungle",16,"81%","44%",48,46,163,4.6,"73.0%","16.6%","26.0%","56%",8,-109,-4.4,4.9,"14.9%",255,"12.2%",,207,"17.1%",,0.42,0.33,0.46
"Labrov","Team Vitality","Support",8,"38%","50%",9,26,65,2.8,"63.8%","7.8%","24.1%","0%",15,123,5.8,1.1,"1.9%",121,"6.3%",,102,"9.0%",,1.81,0.6,0.36
"Larssen","Rogue","Middle",12,"50%","58%",52,23,64,5,"61.7%","27.7%","15.1%","25%",146,154,1.2,8.5,"26.0%",506,"24.2%","20.7%",293,"24.2%",0,0.35,0.07,0.16
"Malrang","Rogue","Jungle",12,"50%","75%",34,30,110,4.8,"76.6%","18.1%","19.7%","50%",226,31,-2.7,4.5,"12.5%",272,"12.8%","11.5%",201,"16.9%",0,0.51,0.4,0.45
"Markoon","Excel Esports","Jungle",5,"40%","40%",10,14,30,2.9,"65.6%","16.4%","17.5%","60%",30,-253,-8,4.8,"12.7%",246,"13.5%",,176,"15.9%",,0.33,0.37,0.42
"Mersa","Misfits Gaming","Support",7,"14%","57%",1,38,32,0.9,"57.9%","1.8%","28.8%","29%",-241,-228,1,0.9,"2.0%",120,"7.4%","4.3%",76,"7.9%",0,1.5,0.35,0.25
"Mikyx","Excel Esports","Support",5,"40%","40%",3,21,35,1.8,"62.3%","4.9%","26.3%","40%",109,-47,-8.8,1,"3.2%",127,"7.2%",,102,"9.0%",,2.09,0.68,0.55
"Neon","Misfits Gaming","ADC",7,"14%","57%",13,15,19,2.1,"56.1%","22.8%","11.4%","29%",-195,-136,-1.6,9.6,"35.2%",453,"28.0%","42.1%",272,"27.0%",0,0.38,0.11,0.2
"Nukeduck","Excel Esports","Middle",5,"40%","40%",21,13,17,2.9,"62.3%","34.4%","16.3%","20%",215,20,-0.4,9.1,"27.5%",603,"31.4%",,297,"26.8%",,0.55,0.16,0.17
"Odoamne","Rogue","Top",12,"50%","25%",38,34,80,3.5,"62.8%","20.2%","22.4%","17%",111,-16,1.6,7.7,"24.6%",576,"27.9%","27.4%",271,"22.8%",0,0.36,0.11,0.21
"Patrik","Excel Esports","ADC",5,"40%","60%",15,12,25,3.3,"65.6%","24.6%","15.0%","40%",37,-122,-5.6,8.9,"29.1%",479,"24.1%",,281,"25.1%",,0.48,0.19,0.28
"Perkz","Team Vitality","Middle",8,"38%","50%",24,16,43,4.2,"57.8%","20.7%","14.8%","0%",-162,-38,-0.3,8.9,"27.1%",470,"24.2%",,271,"23.8%",,0.42,0.1,0.38
"Razork","Fnatic","Jungle",12,"42%","50%",32,45,76,2.4,"76.1%","22.5%","21.6%","17%",-258,23,4.6,5.4,"15.1%",334,"17.4%",,201,"18.6%",,0.45,0.3,0.37
"Selfmade","Team Vitality","Jungle",8,"38%","50%",26,24,40,2.8,"56.9%","22.4%","22.2%","50%",187,296,9.5,5.6,"14.6%",319,"16.4%",,197,"17.6%",,0.44,0.25,0.41
"Shlatan","Misfits Gaming","Jungle",7,"14%","29%",9,32,30,1.2,"68.4%","15.8%","24.2%","29%",-198,-2,1.7,5.1,"14.0%",235,"14.6%","13.7%",171,"17.3%",1,0.41,0.31,0.22
"Targamas","G2 Esports","Support",16,"81%","56%",24,35,179,5.8,"70.2%","8.3%","19.8%","25%",-9,-129,0.4,1.3,"3.6%",153,"7.4%",,122,"10.1%",,1.44,0.39,0.47
