"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"Team BDS","Jungle",18,"17%","39%",24,60,91,1.9,"67.3%","14.0%","22.4%","44%",1,-88,0.7,5.1,"13.9%",233,"12.4%","12.5%",161,"16.6%",1,0.45,0.37,0.47
"Agresivoo","Team BDS","Top",18,"17%","67%",30,53,72,1.9,"59.6%","17.5%","19.8%","17%",-175,-2,-1.2,7.9,"26.1%",422,"22.9%","20.3%",223,"22.8%",0,0.39,0.17,0.18
"Alphari","Team Vitality","Top",19,"47%","26%",41,37,88,3.5,"54.0%","17.2%","15.6%","26%",420,238,10.3,8.3,"26.4%",515,"23.2%","20.5%",261,"23.0%",0,0.45,0.13,0.18
"Armut","MAD Lions","Top",18,"67%","39%",51,42,101,3.6,"58.9%","19.8%","21.2%","22%",257,66,3.4,8.1,"24.4%",495,"24.7%","22.9%",276,"23.1%",1,0.49,0.19,0.2
"BrokenBlade","G2 Esports","Top",18,"67%","33%",61,38,124,4.9,"63.4%","20.9%","18.2%","28%",-1,-18,-2.8,8.4,"27.1%",559,"24.6%","21.9%",295,"24.2%",0,0.47,0.18,0.17
"Caps","G2 Esports","Middle",18,"67%","50%",77,56,123,3.6,"68.5%","26.4%","26.8%","22%",-42,-91,1,8.5,"24.8%",645,"28.6%","29.3%",283,"23.3%",0,0.38,0.08,0.24
"Carzzy","Team Vitality","ADC",19,"47%","47%",56,50,105,3.2,"67.4%","23.4%","21.1%","11%",-317,-62,-10.8,7.7,"27.1%",685,"30.2%","32.1%",270,"24.2%",1,0.62,0.12,0.36
"Comp","Rogue","ADC",18,"61%","39%",82,33,99,5.5,"79.0%","35.8%","16.1%","17%",147,-91,2.7,9.4,"32.5%",626,"27.5%","30.3%",325,"27.8%",1,0.51,0.13,0.37
"Dajor","Astralis","Middle",18,"39%","67%",51,48,97,3.1,"69.8%","24.1%","20.7%","17%",-158,-35,-5.7,8.7,"27.5%",554,"25.2%","25.5%",267,"24.2%",0,0.39,0.17,0.19
"Elyoya","MAD Lions","Jungle",18,"67%","50%",52,41,137,4.6,"73.3%","20.2%","20.7%","44%",182,115,2.7,5.4,"15.5%",288,"14.4%","14.3%",204,"17.4%",1,0.41,0.4,0.5
"Erdote","Team BDS","Support",11,"9%","45%",6,24,64,2.9,"78.7%","6.7%","15.4%","45%",65,-2,3.8,1.6,"4.7%",186,"10.4%","9.2%",98,"9.4%",0,1.55,0.54,0.44
"Execute","Astralis","Support",18,"39%","61%",22,59,141,2.8,"76.9%","10.4%","25.4%","28%",-80,-150,-8,0.9,"2.2%",192,"8.9%","7.8%",99,"8.9%",0,2.08,0.48,0.37
