"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Armut","MAD Lions","Top",9,"33%","56%",18,31,41,1.9,"54.1%","16.5%","22.6%","11%",-58,-27,0.9,7.6,"25.7%",512,"26.5%","25.9%",233,"22.7%",0,0.44,0.19,0.14
"BrokenBlade","G2 Esports","Top",10,"60%","70%",19,22,58,3.5,"59.2%","14.6%","21.0%","20%",-284,-236,-9.2,7.9,"25.0%",522,"23.7%","21.1%",247,"21.4%",0,0.41,0.14,0.2
"Caps","G2 Esports","Middle",10,"60%","70%",37,18,63,5.6,"76.9%","28.5%","17.1%","20%",-58,-110,-0.2,8.8,"25.7%",608,"26.2%","26.9%",281,"24.0%",0,0.31,0.12,0.19
"Comp","Rogue","ADC",15,"60%","53%",80,23,71,6.6,"70.2%","37.2%","13.7%","0%",135,-24,0.4,10.1,"35.9%",722,"32.3%","36.2%",349,"29.9%",0,0.42,0.13,0.39
"Elyoya","MAD Lions","Jungle",9,"33%","67%",21,29,50,2.4,"65.1%","19.3%","21.2%","33%",141,34,5.2,4.7,"14.3%",281,"13.9%","13.4%",181,"17.3%",0,0.34,0.34,0.48
"Finn","Excel Esports","Top",5,"40%","40%",17,20,32,2.5,"66.2%","23.0%","23.5%","20%",-179,-203,-16,6.9,"25.2%",557,"21.3%","19.5%",235,"21.7%",0,0.47,0.16,0.19
"Flakked","G2 Esports","ADC",10,"60%","60%",34,18,64,5.4,"75.4%","26.2%","17.1%","0%",-236,21,-5.9,10,"32.7%",563,"26.1%","28.1%",327,"27.7%",0,0.49,0.18,0.3
"Humanoid","Fnatic","Middle",16,"63%","44%",53,40,84,3.4,"57.1%","22.1%","19.0%","6%",51,90,2.2,8.5,"25.7%",613,"25.7%","25.7%",273,"23.6%",0,0.4,0.07,0.22
"Hylissang","Fnatic","Support",16,"63%","56%",13,45,175,4.2,"78.3%","5.4%","21.4%","44%",-76,-150,2.4,0.6,"1.6%",183,"7.5%","6.6%",115,"9.8%",0,1.59,0.38,0.28
"Irrelevant","Misfits Gaming","Top",7,"14%","29%",5,32,43,1.5,"64.9%","6.8%","23.0%","29%",24,65,-3.1,7,"20.3%",435,"21.4%","19.2%",201,"19.5%",0,0.27,0.15,0.17
