"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"BrokenBlade","G2 Esports","Top",7,"86%","86%",18,10,49,6.7,"48.6%","13.0%","13.2%","0%",-492,-461,-15.7,7.9,"25.4%",382,"16.3%","14.5%",266,"20.3%",0,0.47,0.18,0.19
"Caps","G2 Esports","Middle",7,"86%","14%",31,19,49,4.2,"58.0%","22.5%","25.0%","14%",46,-73,-5.3,7.7,"22.1%",502,"20.8%","19.7%",285,"21.7%",0,0.29,0.09,0.32
"Carzzy","MAD Lions","ADC",12,"50%","50%",46,40,52,2.5,"56.0%","26.3%","20.5%","0%",-398,-210,-7.3,8.6,"30.8%",614,"26.1%","28.3%",295,"25.9%",0,0.37,0.06,0.28
"Chasy","MAD Lions","Top",12,"50%","33%",39,38,63,2.7,"58.3%","22.3%","19.5%","25%",430,486,11.3,8.3,"26.7%",641,"25.3%","22.7%",276,"23.5%",0,0.38,0.2,0.21
"Comp","KOI","ADC",8,"25%","50%",36,22,43,3.6,"73.8%","33.6%","16.2%","13%",282,118,3.3,9.3,"33.9%",705,"29.8%","32.6%",316,"28.7%",0,0.4,0.1,0.19
"Doss","SK Gaming","Support",5,"40%","60%",3,14,44,3.4,"75.8%","4.8%","18.7%","40%",-240,-157,-7,0.5,"2.1%",112,"5.8%","4.4%",99,"8.9%",0,1.29,0.28,0.25
"Elyoya","MAD Lions","Jungle",12,"50%","58%",40,35,84,3.5,"70.9%","22.9%","17.9%","33%",175,221,6.8,5.2,"15.5%",375,"15.3%","15.4%",221,"18.8%",1,0.31,0.27,0.43
"Exakick","SK Gaming","ADC",5,"40%","40%",25,15,23,3.2,"77.4%","40.3%","20.0%","40%",-44,-67,2.8,8.8,"35.1%",580,"27.9%","29.7%",306,"28.9%",0,0.45,0.13,0.27
"Hans Sama","G2 Esports","ADC",7,"86%","57%",46,10,48,9.4,"68.1%","33.3%","13.2%","29%",392,272,6.7,9.1,"28.1%",643,"25.5%","27.2%",352,"26.3%",0,0.4,0.11,0.19
"Hylissang","MAD Lions","Support",12,"50%","42%",10,44,93,2.3,"58.9%","5.7%","22.6%","8%",-64,-28,5.3,0.8,"2.3%",216,"9.1%","7.5%",108,"9.4%",0,1.43,0.31,0.32
"Irrelevant","SK Gaming","Top",5,"40%","80%",12,20,18,1.5,"48.4%","19.4%","26.7%","40%",-250,-306,-9.6,7.2,"23.3%",441,"21.1%","18.6%",238,"22.2%",0,0.3,0.17,0.24
"Larssen","KOI","Middle",8,"25%","63%",27,30,34,2,"57.0%","25.2%","22.1%","25%",193,320,6.8,7.8,"23.8%",581,"25.4%","25.0%",251,"23.3%",0,0.28,0.06,0.16
"Malrang","KOI","Jungle",8,"25%","50%",17,30,48,2.2,"60.7%","15.9%","22.1%","38%",-237,-188,-9.5,4.2,"14.3%",333,"14.9%","15.8%",173,"15.8%",0,0.51,0.3,0.32
"Markoon","SK Gaming","Jungle",5,"40%","60%",5,15,35,2.7,"64.5%","8.1%","20.0%","60%",-196,-340,-8.8,4.5,"14.4%",323,"16.2%","18.3%",180,"17.5%",0,0.54,0.21,0.37
"Mikyx","G2 Esports","Support",7,"86%","43%",9,22,72,3.7,"58.7%","6.5%","28.9%","29%",-56,6,4.4,1.2,"4.0%",336,"14.2%","12.6%",140,"10.6%",0,1.67,0.39,0.6
"Nisqy","MAD Lions","Middle",12,"50%","75%",40,38,59,2.6,"56.6%","22.9%","19.5%","25%",-89,-65,-2,8,"24.7%",595,"24.2%","26.1%",254,"22.3%",0,0.36,0.14,0.12
"Sertuss","SK Gaming","Middle",5,"40%","20%",17,11,20,3.4,"59.7%","27.4%","14.7%","0%",-159,-254,1.4,7.8,"25.1%",600,"28.9%","29.0%",246,"22.5%",0,0.46,0.16,0.2
"Szygenda","KOI","Top",8,"25%","25%",17,24,26,1.8,"40.2%","15.9%","17.6%","13%",-58,-134,2.9,7.9,"24.5%",405,"17.2%","15.2%",232,"21.5%",0,0.45,0.1,0.16
"Trymbi","KOI","Support",8,"25%","63%",10,30,65,2.5,"70.1%","9.3%","22.1%","13%",295,134,-7.4,0.9,"3.5%",311,"12.8%","11.4%",119,"10.7%",0,1.25,0.21,0.48
"Yike","G2 Esports","Jungle",7,"86%","29%",34,15,62,6.4,"69.6%","24.6%","19.7%","43%",111,79,5.6,6.2,"20.4%",584,"23.2%","26.0%",275,"21.2%",0,0.24,0.17,0.29
