"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Karmine Corp","Jungle",18,"67%","28%",48,51,130,3.5,"63.6%","17.1%","26.2%","44%",136,79,2.2,6.3,"14.9%",297,"14.5%","13.0%",200,"16.6%",0,0.39,0.28,0.27
"Absolute","Team Oplon","Support",18,"11%","67%",7,72,105,1.6,"60.9%","3.8%","23.5%","39%",20,53,0.8,1.1,"2.6%",108,"6.8%","5.8%",77,"7.9%",0,1.38,0.45,0.27
"Agresivoo","Team BDS Academy","Top",18,"67%","67%",61,50,87,3,"56.3%","23.2%","20.5%","6%",-196,-240,-1.9,8.1,"24.6%",541,"26.2%","25.4%",267,"22.8%",0,0.47,0.22,0.21
"Akabane","GameWard","Jungle",18,"39%","33%",63,51,105,3.3,"72.1%","27.0%","17.3%","28%",154,175,6.9,7.2,"16.9%",279,"13.0%","13.5%",215,"19.3%",2,0.37,0.34,0.33
"Asza","Solary","ADC",18,"44%","39%",73,41,95,4.1,"68.3%","29.7%","19.4%","33%",-4,-205,-3,9.1,"29.8%",478,"26.4%","27.7%",294,"26.3%",0,0.38,0.13,0.35
"Badlulu","Mirage Elyandra","Top",18,"33%","50%",39,55,43,1.5,"40.6%","19.3%","23.2%","11%",-287,-191,-11.7,8.3,"26.3%",336,"20.5%","18.0%",252,"22.9%",1,0.37,0.15,0.19
"Bruness","Team Oplon","Jungle",18,"11%","50%",41,66,88,2,"70.1%","22.3%","21.6%","39%",-49,-15,-0.4,6,"13.4%",243,"14.9%","15.0%",171,"17.6%",1,0.49,0.39,0.34
"Cabochard","Karmine Corp","Top",18,"67%","67%",70,42,95,3.9,"58.9%","25.0%","21.5%","22%",469,316,13.2,9,"27.2%",510,"25.5%","24.1%",300,"25.2%",0,0.37,0.18,0.18
"Cody Sun","Mirage Elyandra","ADC",18,"33%","44%",48,32,80,4,"63.4%","23.8%","13.5%","28%",-120,-13,-3.8,9.6,"30.8%",518,"31.2%","34.1%",294,"27.1%",0,0.41,0.15,0.3
"Crownie","Team BDS Academy","ADC",18,"67%","39%",74,40,110,4.6,"70.0%","28.1%","16.4%","22%",190,16,5.2,9.8,"31.5%",545,"26.9%","29.0%",314,"27.5%",0,0.48,0.17,0.44
"Czajek","Misfits Premier","Middle",18,"61%","39%",62,37,115,4.8,"67.3%","23.6%","15.8%","22%",-15,-89,-0.9,8.7,"26.4%",595,"27.7%","29.6%",274,"23.3%",0,0.49,0.25,0.21
"Czekolad","GameWard","Middle",18,"39%","50%",68,65,93,2.5,"69.1%","29.2%","22.0%","17%",-19,24,4.7,8.4,"27.0%",654,"30.3%","30.2%",282,"25.7%",0,0.46,0.19,0.15
"Darlik","Team Oplon","Top",18,"11%","61%",24,69,69,1.3,"50.5%","13.0%","22.5%","17%",-271,-173,-8.8,7.4,"23.2%",347,"21.2%","18.3%",203,"20.6%",0,0.44,0.22,0.14
"Diplex","Vitality.Bee","Middle",18,"61%","44%",58,43,115,4,"67.3%","22.6%","20.4%","17%",-84,-112,-4.4,8.4,"24.6%",435,"22.3%","23.3%",267,"22.8%",0,0.37,0.2,0.21
"Djoko","Solary","Jungle",18,"44%","50%",48,43,105,3.6,"62.2%","19.5%","20.4%","39%",69,145,2.4,7.1,"15.3%",276,"15.3%","15.8%",198,"17.6%",2,0.24,0.2,0.41
