"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Karmine Corp","Jungle",4,"25%","50%",5,18,23,1.6,"63.6%","11.4%","31.0%","0%",-248,-317,-3,5,"13.4%",286,"13.0%","9.6%",165,"15.0%",0,0.25,0.25,0.52
"Adam","Team BDS Academy","Top",8,"50%","50%",27,24,35,2.6,"50.4%","22.0%","20.5%","13%",-143,-296,-5.4,7.2,"21.8%",502,"21.9%","20.5%",247,"21.5%",0,0.42,0.15,0.18
"Akabane","GameWard","Jungle",8,"50%","25%",28,24,47,3.1,"75.0%","28.0%","20.2%","25%",130,195,4.9,5.6,"15.8%",285,"14.1%","13.2%",229,"19.9%",0,0.44,0.35,0.26
"Cabochard","Karmine Corp","Top",4,"25%","75%",12,7,16,4,"63.6%","27.3%","12.1%","0%",91,189,9.3,9.3,"28.7%",707,"31.1%","31.6%",292,"26.8%",0,0.36,0.2,0.23
"Crownie","Team BDS Academy","ADC",8,"50%","50%",29,17,55,4.9,"68.3%","23.6%","14.5%","0%",-72,30,-7.5,9.9,"36.3%",687,"28.5%","31.1%",313,"27.9%",0,0.35,0.05,0.39
"Czajek","Misfits Premier","Middle",3,"0%","33%",4,14,6,0.7,"47.6%","19.0%","19.2%","0%",-31,9,-4.7,8.4,"29.1%",490,"27.3%","30.4%",211,"23.5%",0,0.38,0.22,0.11
"Czekolad","GameWard","Middle",8,"50%","75%",29,28,32,2.2,"61.0%","29.0%","23.5%","13%",-33,-106,-0.5,8.6,"26.4%",570,"28.4%","29.3%",274,"23.4%",1,0.38,0.14,0.18
"Diplex","Vitality.Bee","Middle",12,"67%","50%",40,21,86,6,"56.3%","17.9%","14.4%","17%",152,168,4.8,8.4,"24.1%",520,"20.8%","21.4%",263,"21.4%",0,0.48,0.12,0.14
"Doss","LDLC OL","Support",13,"54%","38%",12,46,129,3.1,"70.9%","6.0%","22.9%","31%",-55,24,0.8,0.8,"2.1%",157,"6.7%","5.3%",101,"8.7%",0,1.4,0.3,0.29
"Eika","LDLC OL","Middle",13,"54%","46%",49,27,81,4.8,"65.3%","24.6%","13.4%","8%",-247,-297,-3.7,8.3,"25.5%",602,"26.3%","27.8%",270,"23.9%",0,0.58,0.11,0.28
"Erdote","Team BDS Academy","Support",8,"50%","50%",6,26,86,3.5,"74.8%","4.9%","22.2%","0%",-74,-120,0.4,0.8,"2.1%",174,"7.5%","5.7%",101,"8.7%",0,1.69,0.51,0.36
"Exakick","LDLC OL","ADC",13,"54%","54%",57,37,68,3.4,"62.8%","28.6%","18.4%","23%",61,-5,6.1,10.4,"36.7%",690,"29.5%","31.4%",335,"28.7%",0,0.5,0.2,0.39
"Hantera","Karmine Corp","Support",4,"25%","50%",4,8,32,4.5,"81.8%","9.1%","13.8%","25%",-5,38,4.8,1,"2.0%",122,"5.4%","5.6%",99,"8.9%",0,1.63,0.56,0.3
"Innaxe","GameWard","ADC",8,"50%","25%",28,24,42,2.9,"70.0%","28.0%","20.2%","25%",-243,-97,-10.6,7.8,"26.9%",495,"24.6%","26.5%",279,"23.6%",0,0.36,0.08,0.37
"Jactroll","Vitality.Bee","Support",12,"67%","58%",15,43,141,3.6,"69.6%","6.7%","29.5%","42%",130,110,1.1,1,"2.9%",185,"7.1%","6.1%",111,"8.9%",0,1.61,0.37,0.35
"Jeskla","Vitality.Bee","ADC",12,"67%","58%",60,27,97,5.8,"70.1%","26.8%","18.5%","33%",128,96,3.7,9.2,"31.2%",679,"28.0%","28.7%",316,"25.7%",0,0.48,0.17,0.25
"Kackos","Misfits Premier","Top",3,"0%","100%",6,16,8,0.9,"66.7%","28.6%","21.9%","33%",-681,-669,-20.7,7,"22.0%",372,"21.1%","18.5%",213,"23.5%",0,0.34,0.06,0.14
"kamilius","GameWard","Support",8,"50%","63%",4,29,72,2.6,"76.0%","4.0%","24.4%","25%",-70,-154,-3,0.9,"2.3%",155,"7.7%","6.9%",105,"9.1%",0,1.51,0.38,0.28
"Melonik","GameWard","Top",8,"50%","25%",11,14,41,3.7,"52.0%","11.0%","11.8%","13%",-236,-262,-8.8,8.4,"28.5%",497,"25.2%","24.2%",273,"24.1%",0,0.41,0.13,0.16
"Ragner","LDLC OL","Top",13,"54%","54%",31,43,97,3,"64.3%","15.6%","21.4%","23%",-18,250,-0.8,7.2,"20.5%",523,"23.1%","21.1%",242,"21.1%",0,0.39,0.11,0.15
"Reeker","Team BDS Academy","Middle",8,"50%","50%",28,23,61,3.9,"72.4%","22.8%","19.7%","13%",233,298,2.9,8.3,"25.5%",629,"26.4%","26.9%",269,"24.2%",0,0.38,0.18,0.21
"Rekkles","Karmine Corp","ADC",4,"25%","75%",12,11,16,2.5,"63.6%","27.3%","19.0%","25%",110,-12,7.5,10,"33.0%",689,"31.3%","34.6%",297,"27.4%",0,0.56,0.14,0.39
"Saken","Karmine Corp","Middle",4,"25%","25%",11,14,14,1.8,"56.8%","25.0%","24.1%","0%",-32,71,-3.5,8.1,"22.9%",468,"19.2%","18.6%",241,"21.9%",0,0.45,0.16,0.24
"Sheo","Team BDS Academy","Jungle",8,"50%","38%",33,27,58,3.4,"74.0%","26.8%","23.1%","0%",64,151,6.3,5.2,"14.2%",372,"15.6%","15.8%",203,"17.7%",0,0.41,0.28,0.45
"Shlatan","Misfits Premier","Jungle",3,"0%","67%",3,16,13,1,"76.2%","14.3%","21.9%","33%",-25,412,6.3,5.1,"12.4%",232,"12.3%","10.9%",158,"17.9%",0,0.57,0.45,0.29
"Skeanz","Vitality.Bee","Jungle",12,"67%","58%",62,24,105,7,"74.6%","27.7%","16.4%","67%",62,-140,-5.6,5.2,"15.0%",395,"16.0%","16.9%",238,"19.2%",0,0.36,0.41,0.27
"Szygenda","Vitality.Bee","Top",12,"67%","42%",47,31,77,4,"55.4%","21.0%","21.2%","33%",413,206,12.3,8.6,"26.7%",682,"28.0%","26.9%",304,"24.8%",0,0.42,0.17,0.23
"Vander","Misfits Premier","Support",3,"0%","33%",3,11,13,1.5,"76.2%","14.3%","15.1%","0%",111,139,-7.3,0.5,"2.4%",219,"11.1%","9.0%",84,"9.0%",0,1.24,0.37,0.23
"Woolite","Misfits Premier","ADC",3,"0%","33%",5,16,8,0.8,"61.9%","23.8%","21.9%","0%",-84,-171,-2.7,8.9,"34.1%",528,"28.3%","31.1%",245,"26.0%",0,0.36,0.12,0.21
"Yike","LDLC OL","Jungle",13,"54%","62%",50,48,85,2.8,"67.8%","25.1%","23.9%","46%",-95,-82,-2.2,5.2,"15.1%",342,"14.4%","14.3%",205,"17.6%",1,0.44,0.33,0.39
