"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Agresivoo","Team BDS Academy","Top",7,"57%","57%",15,13,27,3.2,"45.2%","16.1%","15.3%","0%",-246,-36,-1.7,7.6,"21.9%",423,"18.9%","16.6%",229,"19.7%",0,0.45,0.22,0.2
"Backlund","LDLC OL","Middle",7,"86%","71%",31,23,38,3,"69.0%","31.0%","31.1%","0%",-83,-83,-1.4,8.5,"25.6%",653,"28.4%","28.7%",280,"23.8%",0,0.32,0.09,0.14
"Badlulu","GameWard","Top",4,"25%","100%",3,10,8,1.1,"44.0%","12.0%","19.2%","0%",-334,-110,-3.3,8.5,"28.0%",308,"20.5%","14.6%",232,"23.5%",0,0.41,0.18,0.16
"Eckas","GameWard","Jungle",4,"25%","0%",8,9,11,2.1,"76.0%","32.0%","17.3%","0%",-113,266,4,5.9,"15.9%",192,"11.5%","11.6%",200,"20.5%",1,0.32,0.26,0.37
"Eika","Aegis","Middle",7,"14%","57%",25,20,22,2.4,"70.1%","37.3%","19.2%","43%",140,42,0.4,8.2,"26.2%",506,"27.4%","29.3%",255,"24.8%",0,0.47,0.17,0.26
"Erdote","Team BDS Academy","Support",7,"57%","57%",2,17,78,4.7,"86.0%","2.2%","20.0%","57%",162,-104,-5.4,0.7,"3.3%",186,"8.9%","7.6%",123,"10.9%",0,1.52,0.34,0.36
"Hantera","Aegis","Support",7,"14%","43%",6,12,44,4.2,"74.6%","9.0%","11.5%","29%",24,25,-1.6,1.1,"3.0%",114,"6.4%","5.1%",93,"9.3%",0,1.49,0.41,0.46
"Jeskla","LDLC OL","ADC",7,"86%","57%",34,7,48,11.7,"82.0%","34.0%","9.5%","43%",362,268,9.1,9.6,"32.6%",654,"29.0%","32.3%",330,"27.9%",0,0.5,0.16,0.29
"Jezu","Team GO","ADC",14,"64%","50%",66,25,68,5.4,"67.3%","33.2%","18.4%","21%",79,-5,-0.2,9.5,"33.6%",622,"30.5%","33.1%",319,"27.5%",1,0.45,0.19,0.3
"kamilius","Team GO","Support",14,"64%","57%",9,33,132,4.3,"70.9%","4.5%","24.3%","29%",-44,22,1.2,1.1,"2.7%",127,"6.3%","5.7%",107,"9.3%",0,1.52,0.36,0.45
"Kryze","LDLC OL","Top",7,"86%","14%",19,19,41,3.2,"60.0%","19.0%","25.7%","0%",0,207,6.1,8.3,"24.7%",488,"21.8%","18.8%",269,"23.0%",0,0.36,0.09,0.16
