"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Chemera","MNM Gaming","Middle",12,"67%","22%",51,23,80,5.7,"71.2%","27.7%","18.5%","25%",-136,-31,-6.3,8.3,"26.9%",574,"28.7%","29.5%",275,"23.9%",0,0.43,0.15,0.19
"Cl0x","Nativz","Support",9,"67%","67%",3,20,75,3.9,"69.6%","2.7%","24.1%","33%",-51,-73,-3.1,0.9,"2.5%",139,"6.7%","6.6%",99,"8.6%",0,1.32,0.24,0.28
"de sidere","UniQ Esports Club","Jungle",10,"40%","86%",35,37,55,2.4,"68.7%","26.7%","22.7%","30%",53,-28,-0.9,5.5,"17.1%",452,"21.8%","23.4%",220,"19.5%",0,0.17,0.14,0.29
"Eden Fox","UniQ Esports Club","Middle",10,"40%","57%",33,31,46,2.5,"60.3%","25.2%","19.0%","20%",239,284,8.7,8,"25.7%",535,"26.6%","27.1%",264,"24.1%",0,0.38,0.15,0.17
"Holmberg","UniQ Esports Club","ADC",10,"40%","43%",32,29,42,2.6,"56.5%","24.4%","17.8%","10%",-31,-177,3.1,8.4,"29.6%",449,"21.5%","22.0%",289,"26.2%",0,0.51,0.1,0.22
"Jopa","Nativz","ADC",6,"50%","17%",10,4,29,9.8,"60.9%","15.6%","6.2%","0%",161,317,8.7,9.2,"31.0%",449,"23.5%","26.9%",274,"25.2%",0,0.33,0.08,0.18
"Karakal Jr","MNM Gaming","Support",12,"67%","44%",7,24,137,6,"78.3%","3.8%","19.4%","33%",-30,-132,1.8,1.1,"3.3%",123,"5.9%","5.7%",116,"9.9%",0,1.31,0.37,0.36
"Kaylem","MNM Gaming","Top",12,"67%","22%",39,32,70,3.4,"59.2%","21.2%","25.8%","25%",181,71,1,7.3,"22.4%",529,"25.7%","20.9%",248,"21.4%",0,0.36,0.16,0.16
"Lunddorf","Nativz","Top",9,"67%","44%",35,24,33,2.8,"60.7%","31.3%","28.9%","33%",261,271,5.1,8.1,"24.7%",558,"27.1%","23.2%",275,"23.9%",0,0.28,0.08,0.15
"Mishigu","MNM Gaming","ADC",12,"67%","67%",33,22,91,5.6,"67.4%","17.9%","17.7%","17%",-199,-96,-10,8.3,"29.4%",481,"23.4%","27.2%",270,"23.7%",0,0.42,0.19,0.24
"Nijhuis","UniQ Esports Club","Top",10,"40%","43%",19,35,49,1.9,"51.9%","14.5%","21.5%","10%",57,230,4.1,7.3,"25.3%",418,"20.8%","19.2%",225,"20.6%",0,0.34,0.1,0.08
"Pehrson","Team Singularity","Middle",1,"0%","0%",0,5,0,0,"0.0%","0.0%","26.3%","0%",-1141,-1483,-16,7.6,"27.8%",182,"15.8%","16.6%",154,"21.2%",0,0.33,0.05,0.05
"Pehrson","Team Singularity","Support",6,"17%","17%",3,17,41,2.6,"74.6%","5.1%","16.8%","33%",210,199,1.7,0.9,"2.9%",172,"7.9%","6.9%",91,"9.4%",0,1.28,0.26,0.36
"Riberry","Nativz","ADC",3,"100%","0%",10,4,19,7.3,"60.4%","20.8%","22.2%","33%",-271,-14,-0.3,8.8,"30.2%",421,"19.1%","20.5%",280,"22.2%",0,0.33,0.04,0.15
"RotteBengi","UniQ Esports Club","Support",10,"40%","71%",12,31,70,2.6,"62.6%","9.2%","19.0%","10%",-40,87,-0.4,0.9,"2.2%",193,"9.4%","8.3%",109,"9.6%",0,1.11,0.31,0.17
"Rylle","Nativz","Middle",9,"67%","100%",24,8,48,9,"64.3%","21.4%","9.6%","22%",348,242,14.1,8.8,"27.0%",539,"26.7%","27.7%",273,"24.1%",0,0.44,0.11,0.32
"Scroody","Team Singularity","Jungle",7,"14%","14%",15,31,33,1.5,"80.0%","25.0%","25.8%","14%",-157,280,6.9,6.2,"19.8%",518,"27.0%","31.3%",204,"21.3%",0,0.12,0.04,0.22
"Sips","Team Singularity","Top",7,"14%","100%",6,26,27,1.3,"55.0%","10.0%","21.7%","0%",-728,-799,-14.1,8.3,"30.0%",513,"24.5%","21.4%",249,"25.3%",0,0.37,0.09,0.13
"Sn1lle","Nativz","Jungle",9,"67%","78%",30,23,54,3.7,"75.0%","26.8%","27.7%","67%",31,-40,-1.9,5.5,"15.0%",347,"17.4%","17.7%",221,"19.2%",0,0.26,0.19,0.24
"Sof","MNM Gaming","Jungle",12,"67%","22%",54,23,84,6,"75.0%","29.3%","18.5%","50%",24,-111,-1.8,5.6,"18.1%",341,"16.4%","16.8%",244,"21.2%",1,0.26,0.22,0.25
"Softorious","Team Singularity","Middle",6,"17%","17%",7,25,30,1.5,"62.7%","11.9%","24.8%","17%",-458,-527,-20.3,5,"13.7%",270,"13.1%","13.2%",138,"14.6%",0,0.22,0.04,0.1
"Softorious","Team Singularity","Support",1,"0%","0%",0,2,0,0,"0.0%","0.0%","10.5%","0%",-53,173,0,1.4,"1.1%",114,"9.9%","6.6%",62,"8.5%",0,1.33,0.14,0.05
"Zpikee","Team Singularity","ADC",7,"14%","86%",29,14,17,3.3,"76.7%","48.3%","11.7%","29%",363,151,5.4,9,"31.9%",596,"27.0%","26.8%",283,"28.6%",0,0.25,0.03,0.12
